S. No.,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured,Death
1,Andhra Pradesh,757,0,2,4
2,Chhattisgarh,10,0,2,3
3,Delhi,2081,700,50,104
4,Gujarat,2066,0,25,8
5,Haryana,1000,19,11,3
6,Himachal Pradesh,50,0,8,1
7,Karnataka,200,0,10,6
8,Kerala,365,7,20,19
9,Madhya Pradesh,1540,0,3,9
10,Maharashtra,4669,3,39,100
11,Odisha,50,0,9,11
12,Puducherry,10,0,0,0
13,Punjab,900,0,9,24
14,Rajasthan,1576,2,9,25
15,Tamil Nadu,1520,3,1,1
16,Telengana,911,11,1,0
17,Chandigarh,400,0,0,0
18,Jammu and Kashmir,158,0,8,15
19,Ladakh,20,0,0,0
20,Uttar Pradesh,1294,1,18,5
21,Uttarakhand,35,0,0,0
22,West Bengal,120,0,0,1
23,Bihar,39,0,0,1
24,Mizoram,56,0,0,0
25,Goa,200,0,0,0
26,Manipur,100,0,0,0
