team,over,batter,bowler,non_striker,runs_batter,runs_extras,runs_total,player_out,wicket_kind,fielders
Royal Challengers Bengaluru,0,V Kohli,I Sharma,F du Plessis,0,0,0,,,[]
Royal Challengers Bengaluru,0,V Kohli,I Sharma,F du Plessis,1,0,1,,,[]
Royal Challengers Bengaluru,0,F du Plessis,I Sharma,V Kohli,1,0,1,,,[]
Royal Challengers Bengaluru,0,V Kohli,I Sharma,F du Plessis,0,0,0,,,[]
Royal Challengers Bengaluru,0,V Kohli,I Sharma,F du Plessis,2,0,2,,,[]
Royal Challengers Bengaluru,0,V Kohli,I Sharma,F du Plessis,6,0,6,,,[]
Royal Challengers Bengaluru,1,F du Plessis,KK Ahmed,V Kohli,0,0,0,,,[]
Royal Challengers Bengaluru,1,F du Plessis,KK Ahmed,V Kohli,4,0,4,,,[]
Royal Challengers Bengaluru,1,F du Plessis,KK Ahmed,V Kohli,0,1,1,,,[]
Royal Challengers Bengaluru,1,V Kohli,KK Ahmed,F du Plessis,1,0,1,,,[]
Royal Challengers Bengaluru,1,F du Plessis,KK Ahmed,V Kohli,1,0,1,,,[]
Royal Challengers Bengaluru,1,V Kohli,KK Ahmed,F du Plessis,6,0,6,,,[]
Royal Challengers Bengaluru,2,F du Plessis,Mukesh Kumar,V Kohli,0,0,0,,,[]
Royal Challengers Bengaluru,2,F du Plessis,Mukesh Kumar,V Kohli,0,0,0,F du Plessis,caught,['J Fraser-McGurk']
Royal Challengers Bengaluru,2,WG Jacks,Mukesh Kumar,V Kohli,1,0,1,,,[]
Royal Challengers Bengaluru,2,V Kohli,Mukesh Kumar,WG Jacks,0,0,0,,,[]
Royal Challengers Bengaluru,2,V Kohli,Mukesh Kumar,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,2,WG Jacks,Mukesh Kumar,V Kohli,0,0,0,,,[]
Royal Challengers Bengaluru,3,V Kohli,I Sharma,WG Jacks,4,0,4,,,[]
Royal Challengers Bengaluru,3,V Kohli,I Sharma,WG Jacks,6,0,6,,,[]
Royal Challengers Bengaluru,3,V Kohli,I Sharma,WG Jacks,0,0,0,,,[]
Royal Challengers Bengaluru,3,V Kohli,I Sharma,WG Jacks,0,1,1,,,[]
Royal Challengers Bengaluru,3,V Kohli,I Sharma,WG Jacks,0,0,0,V Kohli,caught,['Abishek Porel']
Royal Challengers Bengaluru,3,RM Patidar,I Sharma,WG Jacks,0,0,0,,,[]
Royal Challengers Bengaluru,3,RM Patidar,I Sharma,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,4,RM Patidar,Mukesh Kumar,WG Jacks,4,0,4,,,[]
Royal Challengers Bengaluru,4,RM Patidar,Mukesh Kumar,WG Jacks,0,0,0,,,[]
Royal Challengers Bengaluru,4,RM Patidar,Mukesh Kumar,WG Jacks,2,0,2,,,[]
Royal Challengers Bengaluru,4,RM Patidar,Mukesh Kumar,WG Jacks,4,0,4,,,[]
Royal Challengers Bengaluru,4,RM Patidar,Mukesh Kumar,WG Jacks,4,0,4,,,[]
Royal Challengers Bengaluru,4,RM Patidar,Mukesh Kumar,WG Jacks,0,0,0,,,[]
Royal Challengers Bengaluru,5,WG Jacks,AR Patel,RM Patidar,0,0,0,,,[]
Royal Challengers Bengaluru,5,WG Jacks,AR Patel,RM Patidar,1,0,1,,,[]
Royal Challengers Bengaluru,5,RM Patidar,AR Patel,WG Jacks,0,0,0,,,[]
Royal Challengers Bengaluru,5,RM Patidar,AR Patel,WG Jacks,6,0,6,,,[]
Royal Challengers Bengaluru,5,RM Patidar,AR Patel,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,5,WG Jacks,AR Patel,RM Patidar,2,0,2,,,[]
Royal Challengers Bengaluru,6,RM Patidar,Kuldeep Yadav,WG Jacks,0,0,0,,,[]
Royal Challengers Bengaluru,6,RM Patidar,Kuldeep Yadav,WG Jacks,6,0,6,,,[]
Royal Challengers Bengaluru,6,RM Patidar,Kuldeep Yadav,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,6,WG Jacks,Kuldeep Yadav,RM Patidar,6,0,6,,,[]
Royal Challengers Bengaluru,6,WG Jacks,Kuldeep Yadav,RM Patidar,1,0,1,,,[]
Royal Challengers Bengaluru,6,RM Patidar,Kuldeep Yadav,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,7,RM Patidar,AR Patel,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,7,WG Jacks,AR Patel,RM Patidar,1,0,1,,,[]
