sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,79,細懸浮微粒,普通,1.8,0.19,48.7,52.9,60,18,3.1,3.8,0.7,3.2,89,"2023/11/24 16:00:00",0.2,26.7,73,2,121.760056,25.129167,1
汐止,新北市,81,細懸浮微粒,普通,2.7,0.17,39.9,44.8,54,13,11.1,12.1,0.9,4.5,33,"2023/11/24 16:00:00",0.2,27.5,71,2,121.64081,25.06624,2
萬里,新北市,105,懸浮微粒,對敏感族群不健康,1,0.18,51.6,54.8,104,20,2.5,3.5,0.9,9.9,53,"2023/11/24 16:00:00",0.2,29.2,113,1,121.689881,25.179667,3
新店,新北市,84,細懸浮微粒,普通,0.5,0.23,43.1,48.2,43,17,7.7,9.1,1.3,2.5,106,"2023/11/24 16:00:00",0.3,28.7,66,0,121.537778,24.977222,4
土城,新北市,97,細懸浮微粒,普通,1.1,0.23,37.4,42.2,51,20,9.2,10.2,1,2.2,125,"2023/11/24 16:00:00",0.4,34.1,74,1,121.451861,24.982528,5
板橋,新北市,81,細懸浮微粒,普通,0.7,0.31,33.9,42.1,55,16,17.2,19.3,2,3.1,94,"2023/11/24 16:00:00",0.4,27.6,71,0,121.458667,25.012972,6
新莊,新北市,98,懸浮微粒,普通,0.6,0.19,41.9,45.8,85,15,8.4,9.6,1.2,6.9,59,"2023/11/24 16:00:00",0.3,29,98,0,121.4325,25.037972,7
菜寮,新北市,80,細懸浮微粒,普通,1,0.24,43.4,47.4,49,14,8,9.5,1.5,3.7,79,"2023/11/24 16:00:00",0.3,27.4,71,1,121.481028,25.06895,8
林口,新北市,79,細懸浮微粒,普通,0.9,0.19,42.7,46.5,53,17,9.1,10.9,1.7,4.4,64,"2023/11/24 16:00:00",0.3,26.7,71,0,121.36548982,25.07798949,9
淡水,新北市,86,細懸浮微粒,普通,1.9,0.18,47.9,51.5,56,17,3.1,3.7,0.6,,,"2023/11/24 16:00:00",0.2,29.7,71,2,121.449239,25.1645,10
士林,臺北市,87,細懸浮微粒,普通,0.7,0.18,43.6,48.6,63,16,9,10.6,1.5,3.6,44,"2023/11/24 16:00:00",0.2,30.1,76,1,121.51666356,25.10334003,11
中山,臺北市,85,細懸浮微粒,普通,0.6,0.3,36.3,39.3,63,20,14.7,18.9,4.1,2.5,105,"2023/11/24 16:00:00",0.4,29.2,77,0,121.526528,25.062361,12
萬華,臺北市,92,細懸浮微粒,普通,1,0.28,35.8,41.7,54,17,16.1,18.4,2.3,3.4,79,"2023/11/24 16:00:00",0.3,32.1,77,1,121.507972,25.046503,13
古亭,臺北市,88,細懸浮微粒,普通,1.8,0.18,38.1,42.9,56,21,11.5,12.7,1.2,2.5,48,"2023/11/24 16:00:00",0.3,30.7,75,1,121.529556,25.020608,14
松山,臺北市,94,細懸浮微粒,普通,1,0.21,36,41.7,58,20,12.8,15,2.2,2.2,55,"2023/11/24 16:00:00",0.3,32.9,74,1,121.578611,25.05,15
大同,臺北市,96,細懸浮微粒,普通,0.6,0.44,26.9,32.1,65,20,23.2,41.3,18,-,-,"2023/11/24 16:00:00",0.5,33.7,80,1,121.51342074,25.06331455,16
桃園,桃園市,88,細懸浮微粒,普通,0.8,0.28,39.2,44.7,56,18,12,13.8,1.8,3,51,"2023/11/24 16:00:00",0.4,30.5,74,1,121.30500531,24.9947107,17
大園,桃園市,99,懸浮微粒,普通,2.6,0.19,37.5,42.6,77,15,15.3,18.4,3.1,7.3,55,"2023/11/24 16:00:00",0.3,29.2,99,2,121.20251473,25.06100357,18
觀音,桃園市,107,懸浮微粒,對敏感族群不健康,1.1,0.17,44.7,50.5,91,20,5.8,6.9,1.1,7.8,102,"2023/11/24 16:00:00",0.2,36.2,119,1,121.08283092,25.03556747,19
平鎮,桃園市,81,細懸浮微粒,普通,1.1,0.27,40.9,46.4,53,15,9.2,12.2,3,4.7,73,"2023/11/24 16:00:00",0.4,27.5,74,1,121.203986,24.952786,20
龍潭,桃園市,84,細懸浮微粒,普通,1.4,0.2,43.8,51.1,49,12,5.5,6.3,0.8,8.5,63,"2023/11/24 16:00:00",0.3,29.1,68,1,121.21645772,24.86400048,21
湖口,新竹縣,92,細懸浮微粒,普通,1.3,0.23,44.6,52,61,20,6.5,8.6,2.1,8.6,57,"2023/11/24 16:00:00",0.3,32.3,80,1,121.03886894,24.90009696,22
竹東,新竹縣,84,細懸浮微粒,普通,0.4,0.17,47.4,57.3,39,16,3.4,4.7,1.3,7.4,45,"2023/11/24 16:00:00",0.3,28.8,56,0,121.08895493,24.74091408,23
新竹,新竹市,89,細懸浮微粒,普通,1.4,0.22,44.5,52.6,47,16,8.8,10.5,1.6,5.8,51,"2023/11/24 16:00:00",0.3,31.1,68,1,120.97236752,24.8056356,24
頭份,苗栗縣,82,懸浮微粒,普通,1.2,0.2,46.8,57.3,67,16,6.9,8.5,1.5,4.8,54,"2023/11/24 16:00:00",0.3,26.7,82,1,120.89869286,24.69690679,25
苗栗,苗栗縣,73,細懸浮微粒,普通,1.8,0.22,48,58.1,50,11,5.2,6.9,1.7,4.6,11,"2023/11/24 16:00:00",0.3,24.3,56,2,120.82011468,24.56499183,26
三義,苗栗縣,73,細懸浮微粒,普通,0.9,0.25,53.3,61.8,41,18,4.5,5.2,0.6,5.9,15,"2023/11/24 16:00:00",0.3,24.3,51,1,120.75956754,24.38248443,27
豐原,臺中市,77,細懸浮微粒,普通,2.2,0.28,59,58.2,53,25,4.7,5.4,0.7,1.5,20,"2023/11/24 16:00:00",0.3,26,48,1,120.74252414,24.25699731,28
沙鹿,臺中市,94,細懸浮微粒,普通,2.1,0.34,53.9,64.4,78,29,9,10.1,1,4.8,348,"2023/11/24 16:00:00",0.4,33.1,71,1,120.568794,24.225628,29
大里,臺中市,88,細懸浮微粒,普通,,0.35,59.1,55.6,66,30,,,,3.2,344,"2023/11/24 16:00:00",0.5,30.5,56,1,120.67844444,24.09961111,30
忠明,臺中市,78,細懸浮微粒,普通,1.4,0.32,52.7,54.6,65,26,12.1,13.7,1.5,2.4,349,"2023/11/24 16:00:00",0.4,26.5,56,1,120.641092,24.151958,31
西屯,臺中市,86,細懸浮微粒,普通,1.4,0.27,56.9,58.3,71,25,7.8,10,2.2,5.2,9,"2023/11/24 16:00:00",0.3,29.7,61,1,120.616917,24.162197,32
彰化,彰化縣,90,細懸浮微粒,普通,1.7,0.43,59.9,58.4,89,39,13,14.9,1.9,4.6,2,"2023/11/24 16:00:00",0.4,31.5,71,1,120.541519,24.066,33
線西,彰化縣,99,懸浮微粒,普通,2.2,0.36,42.5,50.8,100,29,10.6,12.3,1.7,6.8,29,"2023/11/24 16:00:00",0.4,31.8,99,2,120.469061,24.131672,34
