Timestamp,時間,大項目,數量,支出金額,收入金額,支出方法,說明,消費縣市,消費地址,Username,收據照片
11/5/2016 15:57:43,11/3/2016,食,1,40,,現金,羊肉湯,新北,,,
11/5/2016 15:58:37,11/4/2016,食,2,150,,現金,coffee,板橋,,,
11/6/2016 21:20:19,11/6/2016,食,1,110,,現金,雞排x2,板橋,,,
11/6/2016 21:22:08,11/6/2016,行,1,87,,現金,自強號 車票,板橋,,,
11/6/2016 21:23:00,11/6/2016,食,1,28,,現金,三明治,中壢,,,
11/6/2016 21:23:39,11/6/2016,食,1,28,,現金,奶茶,中壢,,,
11/6/2016 21:24:18,11/6/2016,食,1,80,,現金,水餃,中壢,,,
11/7/2016 18:25:49,11/7/2016,行,1,280,,信用卡,高鐵,新竹,,,
11/7/2016 18:26:29,11/7/2016,食,1,39,,悠遊卡,7-11早餐,板橋,,,
11/7/2016 18:27:05,11/7/2016,食,1,28,,悠遊卡,奶茶,新竹,,,
11/7/2016 18:27:43,11/7/2016,行,1,100,,悠遊卡,公車票,新竹,,,
11/7/2016 19:06:06,11/7/2016,行,1,35,,悠遊卡,捷運,台北,,,
11/11/2016 16:25:30,11/11/2016,食,1,178,,現金,忘記了,板橋,,,
11/14/2016 19:28:44,11/14/2016,行,1,269,,現金,忘記了,新竹,,,
11/14/2016 19:29:14,11/14/2016,行,1,100,,現金,公車,新竹,,,
11/14/2016 19:30:08,11/14/2016,行,1,25,,現金,捷運,台北,,,
11/11/2016 13:05:56,11/8/2016,食,1,28,,悠遊卡,奶茶,新竹,,,
11/11/2016 13:05:56,11/8/2016,食,1,10,,悠遊卡,車輪餅,台北,,,
11/11/2016 13:05:56,11/8/2016,行,1,100,,悠遊卡,公車票,新竹,,,
11/11/2016 13:05:56,11/9/2016,食,1,35,,現金,豆花,板橋,,,
11/11/2016 13:05:56,11/9/2016,食,1,25,,現金,寄發票,板橋,,,
11/11/2016 13:05:56,11/9/2016,食,1,65,,現金,酸辣湯和煎餃,板橋,,,
11/11/2016 13:05:56,11/9/2016,食,1,104,,現金,水果,台北,,,
11/11/2016 13:05:56,11/9/2016,食,1,90,,現金,米台目和肉圓,台北,,,
11/11/2016 13:03:56,11/11/2016,食,1,58,,現金,午餐,中壢,,,
11/11/2016 13:05:14,11/10/2016,食,2,75,,現金,coffee,板橋,,,
11/11/2016 13:05:56,11/10/2016,食,1,15,,現金,Bus,板橋,,,
