SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,55,懸浮微粒,普通,0.8,0.07,10,65,1,1.5,,174,1,2.38,.84,2016-09-27 14:00
三重,新北市,24,,良好,0.1,0.16,,24,2,3.9,,,1,10.92,6.99,2016-09-27 14:00
三義,苗栗縣,0,,,0.5,0.04,22,23,,0.9,,85,,1.62,.72,2016-09-27 14:00
土城,新北市,21,,良好,1.1,0.07,26,7,5,2.3,9.1,172,1,3.77,1.43,2016-09-27 14:00
士林,臺北市,22,,良好,0.7,0.07,27,9,6,1.8,8,88,1,2.32,.52,2016-09-27 14:00
大同,臺北市,28,,良好,0.8,0.1,,25,7,1,,,1,2.62,1.6,2016-09-27 14:00
大里,臺中市,11,,良好,1.2,0.07,19,15,2,1.6,11,207,1,2.21,.62,2016-09-27 13:00
大園,桃園市,39,,良好,0.8,0.08,22,40,4,2.2,,182,1,3.13,.95,2016-09-27 14:00
大寮,高雄市,33,,良好,0.4,0.06,13,48,1,3.9,6.8,170,1,6.43,2.54,2016-09-27 13:00
小港,高雄市,40,,良好,1.1,0.04,16,54,3,4.5,8.4,279,1,7.87,3.41,2016-09-27 14:00
中山,臺北市,21,,良好,0.5,0.07,25,5,6,1.7,7.2,138,1,3.35,1.62,2016-09-27 14:00
中壢,桃園市,23,,良好,1,0.13,21,21,4,5.2,6.2,113,1,6.56,1.38,2016-09-27 14:00
仁武,高雄市,39,,良好,0.5,0.1,17,55,1,2.4,9.4,306,1,3.65,1.21,2016-09-27 14:00
斗六,雲林縣,0,,,1.5,0.08,12,69,8,2.2,11,91,,3,.8,2016-09-27 11:00
冬山,宜蘭縣,41,,良好,1.6,0.08,26,48,1,0.7,5.5,76,1,2.08,1.41,2016-09-27 13:00
古亭,臺北市,20,,良好,2,0.08,24,20,6,2.7,11,75,1,3.8,1.12,2016-09-27 14:00
左營,高雄市,45,,良好,0.7,0.06,17,70,8,3.1,8.1,297,1,4.99,1.9,2016-09-27 14:00
平鎮,桃園市,24,,良好,0.8,0.1,22,27,1,2.3,13,57,1,4.09,1.84,2016-09-27 14:00
永和,新北市,20,,良好,1,0.11,24,8,1,2,9.4,85,1,4.04,2.07,2016-09-27 14:00
安南,臺南市,40,,良好,1.3,0.06,16,45,5,1.2,10,306,1,2.21,1.04,2016-09-27 14:00
朴子,嘉義縣,53,懸浮微粒,普通,1.7,0.05,19,56,12,0.6,11,298,1,2.11,1.47,2016-09-27 14:00
汐止,新北市,23,,良好,1.8,0.08,23,26,1,1.7,11,49,1,2.03,.35,2016-09-27 14:00
竹山,南投縣,24,,良好,1.2,0.06,21,38,5,2.1,7.5,308,1,3.36,1.31,2016-09-27 14:00
竹東,新竹縣,18,,良好,1.1,0.07,22,2,9,1.9,12,90,1,2.91,1,2016-09-27 14:00
西屯,臺中市,26,,良好,1.3,0.07,23,26,6,1.7,,278,1,3.3,1.58,2016-09-27 14:00
沙鹿,臺中市,40,,良好,0.4,0.05,19,37,9,1.8,,309,1,3.21,1.41,2016-09-27 13:00
宜蘭,宜蘭縣,26,,良好,1.3,0.1,26,38,3,0.6,6.4,82,1,1.13,.52,2016-09-27 13:00
忠明,臺中市,18,,良好,1,0.06,22,28,6,1.7,7.2,299,1,2.93,1.2,2016-09-27 14:00
松山,臺北市,23,,良好,2.8,0.11,25,20,6,1.6,11,60,1,3.96,2.36,2016-09-27 14:00
板橋,新北市,20,,良好,2,0.09,24,16,5,1.5,13,61,1,3.36,1.86,2016-09-27 14:00
林口,新北市,20,,良好,1.2,0.07,25,12,5,0.3,15,57,1,1.48,1.19,2016-09-27 14:00
林園,高雄市,26,,良好,1.7,0.04,16,36,10,2.5,11,296,1,3.53,1.06,2016-09-27 14:00
花蓮,花蓮縣,28,,良好,0.9,0.08,22,8,3,0.2,8.4,231,1,.91,.75,2016-09-27 14:00
金門,金門縣,56,懸浮微粒,普通,1,0.07,23,28,1,2.2,4.9,258,1,3.3,1.13,2016-09-27 14:00
前金,高雄市,36,,良好,1.4,0.08,19,48,5,2.2,8.4,256,1,3.37,1.13,2016-09-27 14:00
前鎮,高雄市,39,,良好,1,0.1,16,55,9,2.3,3.5,243,1,4.15,1.85,2016-09-27 14:00
南投,南投縣,30,,良好,0.3,0.1,19,42,11,2.4,10,278,2,4.22,1.84,2016-09-27 14:00
屏東,屏東縣,21,,良好,1.7,0.09,16,30,14,2.4,7.3,290,2,3.19,.77,2016-09-27 14:00
恆春,屏東縣,43,,良好,1.5,0.04,20,48,4,2.1,11,264,1,2.35,.24,2016-09-27 14:00
美濃,高雄市,17,,良好,1.2,0.06,14,9,3,0.8,3.9,240,1,3.67,2.91,2016-09-27 14:00
苗栗,苗栗縣,32,,良好,1.6,0.08,21,50,4,2.4,13,117,1,3.34,.95,2016-09-27 14:00
