日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/01/02,"16,775,306","1,182,131,473",71.4,71.4,69.9,70.1,-0.7,"7,968"
108/01/03,"36,659,461","2,526,323,765",69,69.4,68.5,68.9,-1.2,"17,345"
108/01/04,"37,313,571","2,520,135,828",68.2,68.2,67,67.6,-1.3,"18,110"
108/01/07,"24,084,557","1,661,796,863",68.7,69.4,68.3,69.3,1.7,"11,167"
108/01/08,"18,303,188","1,258,685,500",69.6,69.6,68.2,68.6,-0.7,"8,027"
108/01/09,"31,946,504","2,226,173,028",68.9,70.2,68.8,69.9,1.3,"12,390"
108/01/10,"19,041,006","1,318,925,953",69.8,69.8,68.9,69.3,-0.6,"6,868"
108/01/11,"23,895,923","1,666,289,347",69.8,70.2,69.4,69.4,0.1,"8,299"
108/01/14,"14,186,528","978,121,932",69.3,69.7,68.6,68.7,-0.7,"5,838"
108/01/15,"34,095,247","2,391,707,840",69.5,70.6,69.5,70.3,1.6,"13,090"
108/01/16,"16,978,789","1,190,557,739",69.8,70.5,69.8,70.2,-0.1,"7,213"
108/01/17,"14,229,333","1,001,981,116",70.7,70.9,70,70.4,0.2,"6,079"
108/01/18,"13,989,609","987,788,089",70.5,70.8,70.3,70.8,0.4,"5,758"
108/01/21,"13,812,012","982,801,352",71.3,71.4,70.9,71.2,0.4,"6,076"
108/01/22,"9,804,658","692,841,394",71.2,71.2,70.3,70.7,-0.5,"4,294"
108/01/23,"14,218,510","995,321,209",70.5,70.5,69.6,69.7,-1,"6,712"
108/01/24,"21,008,129","1,467,646,630",69.5,70.1,69.5,70,0.3,"6,872"
108/01/25,"37,127,222","2,619,546,538",70.2,70.9,70.2,70.7,0.7,"9,069"
108/01/28,"25,776,596","1,824,318,059",70.8,71,70.6,70.8,0.1,"6,705"
108/01/29,"25,436,535","1,781,646,390",69.9,70.6,69.8,69.9,-0.9,"7,599"
108/01/30,"32,866,799","2,303,214,538",69.9,70.5,69.8,70,0.1,"7,053"
