tb_name,code
中央銀行統計資料庫_我國與主要貿易對手通貨對美元之匯率_日,BP01D01.px
中央銀行統計資料庫_我國與主要貿易對手通貨對美元之匯率_月,BP01M01.px
中央銀行統計資料庫_我國與主要貿易對手通貨對美元之匯率_年,BP01Y01.px
中央銀行統計資料庫_金融統計月報_重要金融指標_貨幣_年,EF01Y01.px
中央銀行統計資料庫_金融統計月報_重要金融指標_貨幣_月,EF01M01.px
中央銀行統計資料庫_金融統計月報_重要金融指標_存款_年,EF03Y01.px
中央銀行統計資料庫_金融統計月報_重要金融指標_存款_月,EF03M01.px
中央銀行統計資料庫_金融統計月報_重要金融指標_放款與投資(以原始成本衡量)_年,EFA4Y01.px
中央銀行統計資料庫_金融統計月報_重要金融指標_放款與投資(以原始成本衡量)_月,EFA4M01.px
中央銀行統計資料庫_金融統計月報_重要金融指標_金融市場_年,EF05Y01.px
中央銀行統計資料庫_金融統計月報_重要金融指標_金融市場_月,EF05M01.px
中央銀行統計資料庫_金融統計月報_重要金融指標_其他_年,EF07Y01.px
中央銀行統計資料庫_金融統計月報_重要金融指標_其他_月,EF07M01.px
中央銀行統計資料庫_金融統計月報_重要金融指標_季節調整後重要金融指標_月,EF10M01.px
中央銀行統計資料庫_金融統計月報_貨幣_準備貨幣_日平均數_年,EF11Y01.px
中央銀行統計資料庫_金融統計月報_貨幣_準備貨幣_日平均數_月,EF11M01.px
中央銀行統計資料庫_金融統計月報_貨幣_準備貨幣_月底數_年,EF12Y01.px
中央銀行統計資料庫_金融統計月報_貨幣_準備貨幣_月底數_月,EF12M01.px
中央銀行統計資料庫_金融統計月報_貨幣_準備貨幣_變動因素分析_年,EF13Y01.px
中央銀行統計資料庫_金融統計月報_貨幣_準備貨幣_變動因素分析_月,EF13M01.px
中央銀行統計資料庫_金融統計月報_貨幣_貨幣總計數_日平均數_年,EF15Y01.px
中央銀行統計資料庫_金融統計月報_貨幣_貨幣總計數_日平均數_月,EF15M01.px
中央銀行統計資料庫_金融統計月報_貨幣_貨幣總計數_月底數_年,EF17Y01.px
中央銀行統計資料庫_金融統計月報_貨幣_貨幣總計數_月底數_月,EF17M01.px
中央銀行統計資料庫_金融統計月報_貨幣_貨幣總計數_M1B變動因素分析_年,EF19Y01.px
中央銀行統計資料庫_金融統計月報_貨幣_貨幣總計數_M1B變動因素分析_月,EF19M01.px
中央銀行統計資料庫_金融統計月報_貨幣_貨幣總計數_M2變動因素分析_年,EF21Y01.px
中央銀行統計資料庫_金融統計月報_貨幣_貨幣總計數_M2變動因素分析_月,EF21M01.px
中央銀行統計資料庫_金融統計月報_貨幣_準備率_日,EF71D01.px
中央銀行統計資料庫_金融統計月報_貨幣_金融機構準備金_年,EF72Y01.px
中央銀行統計資料庫_金融統計月報_貨幣_金融機構準備金_月,EF72M01.px
中央銀行統計資料庫_金融統計月報_貨幣_存款機構流動比率與流動準備_年,EF73Y01.px
中央銀行統計資料庫_金融統計月報_貨幣_存款機構流動比率與流動準備_月,EF73M01.px
中央銀行統計資料庫_金融統計月報_貨幣_流動性負債_年,EFA1Y01.px
中央銀行統計資料庫_金融統計月報_貨幣_流動性負債_月,EFA1M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_全體金融機構合併報表_資產-年,EF39Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_全體金融機構合併報表_資產-月,EF39M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_全體金融機構合併報表_負債-年,EF41Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_全體金融機構合併報表_負債-月,EF41M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_全體貨幣機構合併報表_資產-年,EF35Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_全體貨幣機構合併報表_資產-月,EF35M01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_全體貨幣機構合併報表_負債-年,EF37Y01.px
中央銀行統計資料庫_金融統計月報_資產負債統計表_全體金融機構_全體貨幣機構合併報表_負債-月,EF37M01.px
