,評等,評語
0,5.0,水壺竟然是雞湯，精緻服務好。桃園相演已經不錯吃了，但屋馬烤吃來都更好吃。一個吃到飽，一個用點
1,5.0,服務態度好 有一次店員不小心幫我把蝦子烤焦直接送一組新的蝦子來候位時候有飲料喝 雖然外觀沒有崇德店新穎但是值得一去再去的燒烤店吃了兩次味道都沒變 口味沒有被稀釋的感覺
2,5.0,服務比食物棒 但是也不錯吃
3,5.0,屋馬真的是我到台中的原因！服務好氣氛佳！服務員還會幫你剝蝦。當日壽星還送手臂大明蝦⋯真的爽！可惜沒辦法喝酒
4,5.0,一如往昔的美味
5,5.0,"Great prices, superb meat quality, extremely great services. I can see how there's always such a long wait!"
6,3.0,相較於過去吃屋馬的經驗，這次感覺品質下降了一點。環境較為吵雜，用餐品質降低，雞湯的口味感覺也比以往淡了一點，肉質整體上還算不錯，但豬肉的部分感覺有點偏油。 ⋯⋯更多相較於過去吃屋馬的經驗，這次感覺品質下降了一點。環境較為吵雜，用餐品質降低，雞湯的口味感覺也比以往淡了一點，肉質整體上還算不錯，但豬肉的部分感覺有點偏油。服務人員整體的服務仍然不錯，尤其是99號服務人員，有笑容且親切為我們服務，但另一位點餐人員感覺相較起來沒那麼親切，點餐時匆匆帶過，詢問問題時也比較沒有耐心還皺眉了一下。用餐完後覺得整體的感受，相較前次用餐屋馬，稍微下降了些。
7,5.0,(由 Google 提供翻譯) 非常美味好吃(原始評論)非常美味好吃
8,1.0,從候餐就覺得不行了，有訂位且提早到，只是叫我們拿菜單旁邊坐，坐也沒先後順序，時間到了隨意帶...弄個號碼牌或者座位順序，很難嗎？入坐後被帶至一個沒裝潢的大包廂，然後7組人馬併桌，圍成ㄇ字型...飼料雞圈養嗎？ ⋯⋯更多從候餐就覺得不行了，有訂位且提早到，只是叫我們拿菜單旁邊坐，坐也沒先後順序，時間到了隨意帶...弄個號碼牌或者座位順序，很難嗎？入坐後被帶至一個沒裝潢的大包廂，然後7組人馬併桌，圍成ㄇ字型...飼料雞圈養嗎？電話有告知併桌，我們併桌也ok不過環境跟官網介紹有落差時，是否主動告知詢問？還是只要想辦法增加入席量就好？點餐也是問題，告知服務員，食量較大，請問套餐大致份量約幾oz ？服務生再三說「蛤」...究竟是耳朵不好，我發音不標準，還是妳自己也不知道？至今還是不明白...只好換個問法，詢問:我吃比較多，請問這套餐，肉量有多少，多重？結果回答不出來...我再詢問，哪我們兩個人想點三人餐，適合嗎？服務生只告知:兩人餐是兩個大男人吃都會覺得撐的量，不建議點三人....於是信服務員，畢竟妳也沒有更好形容詞，結果哪個量....我吃1.5人份都還覺得少...肉量少的可憐，我們願意付錢做升級，也被直接拒絕...所以事前詢問，來的東西不符合，吹噓很大，想加價也不行...再來是肉品，品質怎麼這麼差？還是附近消費內容就這樣子？還沒吃飽只覺得嘴很油膩...這個肉完全沒哪個價值，實在不推薦這家...事後知道服務不周到，內容客人不滿意，說下次再補充招待...這不是處理方法吧...都已經不開心了，還期待下次光臨？文已經輕描淡寫了，希望給予回應，或者像其他負評都不要回應，哪我有空再詳細補償沒修辭的詞句。(剛剛滑評價看到的，滿意回覆，不滿意沒有回覆)
9,4.0,在飯店裡面，看起來很氣派，但入口處人真的太多，有點像菜市場。這次點2980和牛套餐，份量蠻夠的，服務人員都很親切熱心，會幫忙剝蝦跟建議怎麼烤，海鮮粥超好吃，如果可以再安靜一點應該是很高檔的享受
10,1.0,預約用餐時間，服務人員會提醒座位保留10分鐘。準時到了現場報到，等了超過25分鐘還無法入席，已經遇過兩次以上這種經歷，這間分店的時間管理有很嚴重的問題。
11,5.0,好吃 服務態度也很好
12,1.0,"要開放現場候位,不是應該該留一些現場的位子嗎？詢問工作人員都回答要有人取消才能補位置，如果都沒人取消可能現場等了超過兩個小時還吃不到，真的一顆星都不想給..."
13,5.0,肉好吃，服務態度親切，烤網更換頻率非常高，好店！
14,5.0,點心有Haagen Dazs
15,4.0,遇過電話最難打通的店沒有之一，即使一個月前訂在假日，也只能訂到9點，建議早點訂並有打10通以上的心理準備。肉品有些不錯有些普通，沒有很驚艷。朋友是很喜歡，伊比利豬與和牛都讓他滿意。 ⋯⋯更多遇過電話最難打通的店沒有之一，即使一個月前訂在假日，也只能訂到9點，建議早點訂並有打10通以上的心理準備。肉品有些不錯有些普通，沒有很驚艷。朋友是很喜歡，伊比利豬與和牛都讓他滿意。蝦子升級無感，覺得沒那必要雞湯略淡，沙拉調味還不錯，甜點味道紮實。覺得最好的是服務品質，迅速周到非常完美。
16,5.0,不吃牛也超好吃吃得好開心好滿足      
17,5.0,服務很好，吃1880雙人套餐就很爽了
18,5.0,服務非常棒氣氛很好設施很讚
19,5.0,雞湯很好喝，服務也超讚，烤網換很勤
20,5.0,A5和牛很好吃，生日畫盤很有特色，清潔很用心，服務態度很好。
21,5.0,今天5人來 點了一份3人套餐一份雙人套餐，食材好吃 分量也足夠，店員服務極好 尤其服務我們的97號萱萱 親切熱忱👍 有空想吃烤肉必再訪。
22,5.0,除了價錢貴和人太多以外，沒什麼想挑剔的。
23,5.0,5個人點三人餐和雙人餐各一，稍嫌不足，但雞湯很好喝，服務也超讚，烤網換很勤
