車種車次 (始發站 → 終點站),出發時間,抵達時間,行駛時間,經由,詳細資訊,全票,孩童票,訂票
區間快2011(七堵→彰化),05:27,06:07,40 分,山線,詳細,$ 57,$ 29,
區間1107(七堵→苗栗),05:37,06:24,47 分,山線,詳細,$ 57,$ 29,
區間2133(基隆→嘉義),05:56,06:43,47 分,山線,詳細,$ 57,$ 29,
區間1117(基隆→苗栗),06:18,07:12,54 分,山線,詳細,$ 57,$ 29,
自強103(七堵→潮州),06:27,07:06,39 分,海線,詳細,$ 89,$ 45,訂票
區間1121(基隆→新竹),06:40,07:27,47 分,-,詳細,$ 57,$ 29,
區間4103(宜蘭→北湖),06:49,07:36,47 分,-,詳細,$ 57,$ 29,
自強105(基隆→屏東),07:00,07:42,42 分,山線,詳細,$ 89,$ 45,訂票
區間2143(基隆→嘉義),07:04,07:51,47 分,山線,詳細,$ 57,$ 29,
莒光507(七堵→新左營),07:13,08:01,48 分,海線,詳細,$ 68,$ 34,訂票
區間1127(基隆→苗栗),07:24,08:12,48 分,山線,詳細,$ 57,$ 29,
區間1131(基隆→新竹),07:35,08:23,48 分,-,詳細,$ 57,$ 29,
區間1129(基隆→北湖),07:47,08:41,54 分,-,詳細,$ 57,$ 29,
區間2153(基隆→嘉義),08:03,08:58,55 分,山線,詳細,$ 57,$ 29,
自強109(基隆→彰化),08:13,08:52,39 分,海線,詳細,$ 89,$ 45,訂票
區間1135(基隆→北湖),08:17,09:13,56 分,-,詳細,$ 57,$ 29,
自強113(七堵→屏東),08:28,09:07,39 分,山線,詳細,$ 89,$ 45,訂票
區間1137(基隆→苗栗),08:32,09:19,47 分,山線,詳細,$ 57,$ 29,
區間1141(基隆→新竹),08:48,09:35,47 分,-,詳細,$ 57,$ 29,
自強115(基隆→屏東),08:59,09:42,43 分,山線,詳細,$ 89,$ 45,訂票
區間2163(基隆→嘉義),09:06,09:53,47 分,山線,詳細,$ 57,$ 29,
莒光511(七堵→潮州),09:17,10:04,47 分,海線,詳細,$ 68,$ 34,訂票
區間1147(基隆→苗栗),09:26,10:13,47 分,山線,詳細,$ 57,$ 29,
區間1151(基隆→新竹),09:44,10:33,49 分,-,詳細,$ 57,$ 29,
自強117(基隆→潮州),10:00,10:39,39 分,山線,詳細,$ 89,$ 45,訂票
區間2173(基隆→嘉義),10:05,10:52,47 分,山線,詳細,$ 57,$ 29,
區間1157(基隆→苗栗),10:25,11:12,47 分,山線,詳細,$ 57,$ 29,
區間1161(基隆→新竹),10:45,11:32,47 分,-,詳細,$ 57,$ 29,
自強121(七堵→屏東),11:00,11:39,39 分,山線,詳細,$ 89,$ 45,訂票
區間2183(基隆→嘉義),11:06,11:53,47 分,山線,詳細,$ 57,$ 29,
莒光513(七堵→潮州),11:18,12:05,47 分,海線,詳細,$ 68,$ 34,訂票
區間1167(基隆→北湖),11:30,12:17,47 分,-,詳細,$ 57,$ 29,
區間1171(瑞芳→北湖),11:52,12:46,54 分,-,詳細,$ 57,$ 29,
自強123(七堵→屏東),11:58,12:37,39 分,山線,詳細,$ 89,$ 45,訂票
區間2193(基隆→嘉義),12:08,12:55,47 分,山線,詳細,$ 57,$ 29,
區間1177(瑞芳→苗栗),12:22,13:09,47 分,山線,詳細,$ 57,$ 29,
區間1181(基隆→新竹),12:39,13:33,54 分,-,詳細,$ 57,$ 29,
普悠瑪271(花蓮→彰化),12:45,13:17,32 分,山線,詳細,$ 89,$ 45,訂票
自強125(七堵→屏東),12:58,13:40,42 分,山線,詳細,$ 89,$ 45,訂票
區間2203(基隆→嘉義),13:04,13:51,47 分,山線,詳細,$ 57,$ 29,
區間1187(基隆→苗栗),13:17,14:12,55 分,山線,詳細,$ 57,$ 29,
區間1191(基隆→新竹),13:34,14:21,47 分,-,詳細,$ 57,$ 29,
莒光561(花蓮→潮州),13:40,14:28,48 分,海線,詳細,$ 68,$ 34,訂票
