排名,名稱,網址,圖片,價格
1,田馥甄 / 無人知曉 (精裝書衣CD預購版),https://www.books.com.tw/products/0020218559?loc=P_0004_001,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/002/021/85/0020218559.jpg&v=5f36301d&w=150&h=150,優惠價：550元
2,[MUJI無印良品]聚丙烯檔案盒.標準型.1/2.白灰.約10x32x12cm,https://www.books.com.tw/products/N001176090?loc=P_0004_002,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/117/60/N001176090.jpg&v=5ea8065c&w=150&h=150,優惠價：89元
3,腦科學權威的最高休息法：11年腦科學實證，8種簡易實踐法，改變生活小習慣，終結疲勞、提升腦力，成為高效工作者 (電子書),https://www.books.com.tw/products/E050057090?loc=P_0004_003,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/E05/005/70/E050057090.jpg&v=5dba80d1&w=150&h=150,優惠價：66元
4,我的老闆是總統：817萬票的幕後小英雄,https://www.books.com.tw/products/0010865379?loc=P_0004_004,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/53/0010865379.jpg&v=5f27f539&w=150&h=150,優惠價：79折300元
5,日日減醣瘦身料理：肉品海鮮．蔬食沙拉．鍋物料理，吃飽吃滿還瘦18公斤，無痛減醣瘦身家常菜111道 (電子書),https://www.books.com.tw/products/E050041962?loc=P_0004_005,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/E05/004/19/E050041962.jpg&v=5c9ddbca&w=150&h=150,優惠價：66元
6,[MUJI無印良品]自由換芯膠墨筆芯/紅0.5mm,https://www.books.com.tw/products/N001076545?loc=P_0004_006,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/107/65/N001076545.jpg&v=5d8c68f9&w=150&h=150,優惠價：19元
7,明公啟示錄：隱修門談驅魔與靈界真相,https://www.books.com.tw/products/0010865454?loc=P_0004_007,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/086/54/0010865454.jpg&v=5f1fa6f9&w=150&h=150,優惠價：79折442元
8,人人都有強迫症：善用你的執著，從日常生活中獲得成就感、更有自信 (電子書),https://www.books.com.tw/products/E050052660?loc=P_0004_008,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/E05/005/26/E050052660.jpg&v=5d5f6792&w=150&h=150,優惠價：182元
9,低醣生酮瘦身便當：一週減醣生酮便當，跟著生酮夫婦大吃大喝減掉46.4kg！ (電子書),https://www.books.com.tw/products/E050052279?loc=P_0004_009,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/E05/005/22/E050052279.jpg&v=5d5a04bd&w=150&h=150,優惠價：88折234元
10,希望之線（博客來獨家書衣版）,https://www.books.com.tw/products/0010847924?loc=P_0004_010,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/084/79/0010847924.jpg&v=5e25813a&w=150&h=150,優惠價：79折348元
11,你不是失敗，你是值得更好的,https://www.books.com.tw/products/0010844332?loc=P_0004_011,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/084/43/0010844332.jpg&v=5df9ffac&w=150&h=150,優惠價：66折231元
12,[MUJI無印良品]無選別年輪蛋糕/宇治抹茶/1個【保存期限至2020/10/19】,https://www.books.com.tw/products/N001203043?loc=P_0004_012,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/120/30/N001203043.jpg&v=5f17db81&w=150&h=150,優惠價：69元
13,【老媽拌麵】麻辣鴨血寬粉(540g/盒),https://www.books.com.tw/products/N001161055?loc=P_0004_013,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/116/10/N001161055.jpg&v=5e72dd62&w=150&h=150,優惠價：149元
