query,exploreLink,rank,date
藝FUN券,/trends/explore?q=%E8%97%9DFUN%E5%88%B8&date=today+1-m&geo=TW,1,2020-07-17
陳玉珍,/trends/explore?q=%E9%99%B3%E7%8E%89%E7%8F%8D&date=today+1-m&geo=TW,2,2020-07-17
對馬戰鬼,/trends/explore?q=%E5%B0%8D%E9%A6%AC%E6%88%B0%E9%AC%BC&date=today+1-m&geo=TW,3,2020-07-17
張玉嬿,/trends/explore?q=%E5%BC%B5%E7%8E%89%E5%AC%BF&date=today+1-m&geo=TW,4,2020-07-17
大考中心,/trends/explore?q=%E5%A4%A7%E8%80%83%E4%B8%AD%E5%BF%83&date=today+1-m&geo=TW,5,2020-07-17
指考落點,/trends/explore?q=%E6%8C%87%E8%80%83%E8%90%BD%E9%BB%9E&date=today+1-m&geo=TW,6,2020-07-17
李建群,/trends/explore?q=%E6%9D%8E%E5%BB%BA%E7%BE%A4&date=today+1-m&geo=TW,7,2020-07-17
陳菊,/trends/explore?q=%E9%99%B3%E8%8F%8A&date=today+1-m&geo=TW,8,2020-07-17
博恩,/trends/explore?q=%E5%8D%9A%E6%81%A9&date=today+1-m&geo=TW,9,2020-07-17
指考放榜,/trends/explore?q=%E6%8C%87%E8%80%83%E6%94%BE%E6%A6%9C&date=today+1-m&geo=TW,10,2020-07-17
賴品妤,/trends/explore?q=%E8%B3%B4%E5%93%81%E5%A6%A4&date=today+1-m&geo=TW,11,2020-07-17
小米手環4C,/trends/explore?q=%E5%B0%8F%E7%B1%B3%E6%89%8B%E7%92%B04C&date=today+1-m&geo=TW,12,2020-07-17
宏碁,/trends/explore?q=%E5%AE%8F%E7%A2%81&date=today+1-m&geo=TW,13,2020-07-17
搖滾台中,/trends/explore?q=%E6%90%96%E6%BB%BE%E5%8F%B0%E4%B8%AD&date=today+1-m&geo=TW,14,2020-07-17
夏季旅展,/trends/explore?q=%E5%A4%8F%E5%AD%A3%E6%97%85%E5%B1%95&date=today+1-m&geo=TW,15,2020-07-17
生技展,/trends/explore?q=%E7%94%9F%E6%8A%80%E5%B1%95&date=today+1-m&geo=TW,16,2020-07-17
