本週,上週,片名,上映日期,預告片,網友滿意度
1,1,屍速列車：感染半島,2020-07-15,預告片,3.4
2,,追殺艾娃,2020-08-05,預告片,3.7
3,,怪胎,2020-08-07,預告片,4
4,3,鋼鐵雨：深潛行動,2020-07-29,預告片,4.3
5,4,翻供,2020-07-22,預告片,4
6,2,超危險駕駛,2020-07-29,預告片,3.8
7,5,角落小夥伴電影版：魔法繪本裡的新朋友,2020-07-10,預告片,3.9
8,,記憶拼圖,2020-08-05,預告片,4.5
9,,心靈咖啡館的驅魔師,2020-08-07,預告片,3
10,,6號鬼病床,2020-08-07,預告片,2.9
11,,哈囉少女,2020-08-07,預告片,3.9
12,7,北海小英雄,2020-07-31,預告片,4
13,6,打噴嚏,2020-07-15,預告片,2.8
14,9,不丹是教室,2020-07-17,預告片,4.3
15,8,藍色恐懼：數位修復版,2020-07-17,預告片,4.2
16,,陰眼,2020-08-07,預告片,3.8
17,,隱藏的畫家,未定,,0
18,,地下社會,2020-08-07,預告片,4.3
19,,原本以為只是手機掉了2：被囚禁的殺人魔,2020-08-07,預告片,3.6
20,,家靈,2020-08-07,預告片,3.2
