證券商代號,證券商名稱,開業日,地址,電話
1021,合庫- 台中,1001202,台中市西區民權路91號6樓,04-22255141
1022,合庫-台南,1001202,台南市北區成功路48號3樓,06-2260148
1023,合庫-高雄,1001202,高雄市大勇路97號5樓,07-5319755
1024,合庫-嘉義,1001202,嘉義市國華街279號2樓,05-2220016
1025,合庫-基隆,1001202,基隆市仁二路255號3樓,02-24288468
1028,合庫 - 彰化,1010516,彰化縣彰化市民生路279號5樓,04-7295528
1029,合庫 - 鳳山,1010518,高雄市鳳山區鳳松路3號,07-7905555
102A,合庫-新竹,1001202,新竹市東區東門街60號5樓,03-5262711
102C,合庫-自強,1001202,台北市中山區南京東路2段85、87號3樓,02-25218815
102E,合庫-桃園,1001202,桃園市桃園區中華路12號3樓,03-347-3456
102F,合庫-西台中,1050204,台中市西屯區漢口路二段151號3樓,04-2316-6368
102G,合庫-三重,1050307,新北市三重區正義南路17號1樓,02-2977-9588
102Q,合庫-國際證券,1061101,台北市松山區長安東路二段225號5樓、6樓,02-27319987
1020,合庫,100/12/02,台北市大安區忠孝東路四段325號2樓(部分)、經紀部複委託科地址：台北市松山區長安東路二段225號5樓,02-27528000
1031,土銀-台中,530420,台中市自由路2段1號4樓,04-22266845
1032,土銀-台南,640819,台南市中正路26號4樓,06-2200558
1033,土銀-高雄,530420,高雄市大勇路131號,07-5319591
1034,土銀-嘉義,640409,嘉義市中山路309號3 樓,05-2224930
1035,土銀-新竹,630612,新竹市中央路1號4、5樓,03-5213211
1036,土銀-玉里,890418,花蓮縣玉里鎮中山路二段五十五號一、二樓,03-8884900
1037,土銀-花蓮,670216,花蓮縣花蓮市中山路356號3樓,038-330723
1038,土銀-和平,890622,台北市和平東路3段15號3樓部分,02-27001555
1039,土銀-士林,890627,台北市中山北路五段六八九號三樓,02-28323842
103A,土銀-建國,890612,高雄市建國一路458號3樓,07-2224911
103B,土銀-彰化,910730,彰化市光復路九十八號六樓,04-7201777
103C,土銀-白河,910716,台南市白河區三民路三九五號三樓,06-6852888
103F,土銀-南港,990927,台北市南港區南港路1段364號5樓,02-26539955
1030,土銀,51/02/09,台北市延平南路八十一號,02-23483948
1041,臺銀-鳳山,970102,鳳山市曹公路20號3樓,07-7452126
1042,臺銀-臺南,970102,臺南市中正路240號4樓,06-2202507
1043,臺銀-民權,970102,臺北市承德路2段239號3樓,02-25529458
1045,臺銀-新竹,1010305,新竹市林森路29號5樓,03-5266799
104A,臺銀-臺中,970102,台中市民權路95號3樓,04-22238370
104C,臺銀-高雄,970102,高雄市苓雅區成功一路261號3樓,07-2711434
104D,臺銀-金山,970102,台北市金山南路2段189號3樓,02-23418678
