標題(日期),NTD/USD
2020/08/27,29.510
2020/08/26,29.515
2020/08/25,29.507
2020/08/24,29.517
2020/08/21,29.512
2020/08/20,29.522
2020/08/19,29.508
2020/08/18,29.518
2020/08/17,29.526
2020/08/14,29.542
2020/08/13,29.536
2020/08/12,29.540
2020/08/11,29.531
2020/08/10,29.520
2020/08/07,29.514
2020/08/06,29.503
2020/08/05,29.506
2020/08/04,29.539
2020/08/03,29.531
2020/07/31,29.502
2020/07/30,29.521
2020/07/29,29.501
2020/07/28,29.502
2020/07/27,29.507
2020/07/24,29.556
2020/07/23,29.536
2020/07/22,29.527
2020/07/21,29.553
2020/07/20,29.565
2020/07/17,29.593
2020/07/16,29.596
2020/07/15,29.582
2020/07/14,29.595
2020/07/13,29.584
2020/07/10,29.613
2020/07/09,29.581
2020/07/08,29.606
2020/07/07,29.580
2020/07/06,29.551
2020/07/03,29.609
2020/07/02,29.586
2020/07/01,29.612
2020/06/30,29.660
2020/06/29,29.625
2020/06/24,29.640
2020/06/23,29.635
2020/06/22,29.660
2020/06/20,29.660
2020/06/19,29.660
2020/06/18,29.655
2020/06/17,29.682
2020/06/16,29.704
2020/06/15,29.770
2020/06/12,29.762
2020/06/11,29.733
2020/06/10,29.716
2020/06/09,29.803
2020/06/08,29.811
2020/06/05,29.839
2020/06/04,29.926
2020/06/03,29.905
2020/06/02,29.988
2020/06/01,29.952
2020/05/29,30.032
2020/05/28,30.045
2020/05/27,30.030
2020/05/26,29.988
2020/05/25,30.076
2020/05/22,30.009
2020/05/21,29.950
2020/05/20,29.960
2020/05/19,29.950
2020/05/18,29.980
2020/05/15,29.950
2020/05/14,29.948
2020/05/13,29.906
2020/05/12,29.920
2020/05/11,29.861
2020/05/08,29.902
2020/05/07,29.950
2020/05/06,29.910
2020/05/05,29.880
2020/05/04,29.900
2020/04/30,29.802
2020/04/29,29.951
2020/04/28,30.036
2020/04/27,30.025
2020/04/24,30.080
2020/04/23,30.072
2020/04/22,30.100
2020/04/21,30.102
2020/04/20,30.072
2020/04/17,30.102
2020/04/16,30.120
2020/04/15,30.031
2020/04/14,30.071
2020/04/13,30.120
2020/04/10,30.103
2020/04/09,30.152
2020/04/08,30.160
2020/04/07,30.152
2020/04/06,30.231
2020/04/01,30.308
2020/03/31,30.254
2020/03/30,30.250
2020/03/27,30.236
2020/03/26,30.306
2020/03/25,30.325
2020/03/24,30.316
2020/03/23,30.405
2020/03/20,30.302
2020/03/19,30.506
2020/03/18,30.276
2020/03/17,30.250
2020/03/16,30.220
2020/03/13,30.210
2020/03/12,30.150
2020/03/11,30.095
2020/03/10,30.036
2020/03/09,30.130
2020/03/06,30.040
2020/03/05,29.960
2020/03/04,30.038
2020/03/03,30.087
2020/03/02,30.124
2020/02/27,30.330
2020/02/26,30.383
2020/02/25,30.402
2020/02/24,30.472
2020/02/21,30.403
2020/02/20,30.254
2020/02/19,30.152
2020/02/18,30.125
2020/02/17,30.056
2020/02/15,30.051
2020/02/14,30.051
2020/02/13,30.037
2020/02/12,30.032
2020/02/11,30.068
2020/02/10,30.102
2020/02/07,30.126
2020/02/06,30.082
2020/02/05,30.152
2020/02/04,30.207
2020/02/03,30.332
2020/01/31,30.250
2020/01/30,30.277
2020/01/22,30.006
2020/01/21,29.998
2020/01/20,29.960
2020/01/17,29.960
2020/01/16,29.955
2020/01/15,29.950
2020/01/14,29.942
2020/01/13,29.952
2020/01/10,30.019
2020/01/09,30.008
2020/01/08,30.087
2020/01/07,30.082
2020/01/06,30.110
2020/01/03,30.105
2020/01/02,30.114
2019/12/31,30.106
2019/12/30,30.135
2019/12/27,30.203
2019/12/26,30.201
2019/12/25,30.203
2019/12/24,30.205
2019/12/23,30.215
2019/12/20,30.210
2019/12/19,30.208
2019/12/18,30.233
2019/12/17,30.210
2019/12/16,30.263
2019/12/13,30.317
2019/12/12,30.406
2019/12/11,30.505
2019/12/10,30.503
2019/12/9,30.502
2019/12/6,30.500
2019/12/5,30.500
2019/12/4,30.508
2019/12/3,30.507
2019/12/2,30.509
2019/11/29,30.513
2019/11/28,30.505
2019/11/27,30.515
2019/11/26,30.512
2019/11/25,30.507
2019/11/22,30.517
2019/11/21,30.524
2019/11/20,30.500
2019/11/19,30.509
2019/11/18,30.501
2019/11/15,30.538
2019/11/14,30.582
2019/11/13,30.503
2019/11/12,30.422
2019/11/11,30.435
2019/11/8,30.412
2019/11/7,30.406
2019/11/6,30.400
2019/11/5,30.371
2019/11/4,30.405
2019/11/1,30.479
2019/10/31,30.462
2019/10/30,30.533
2019/10/29,30.522
2019/10/28,30.572
2019/10/25,30.594
2019/10/24,30.586
2019/10/23,30.611
2019/10/22,30.594
2019/10/21,30.592
2019/10/18,30.611
2019/10/17,30.681
2019/10/16,30.722
2019/10/15,30.686
2019/10/14,30.620
2019/10/9,30.850
2019/10/8,30.842
2019/10/7,30.902
2019/10/5,30.973
2019/10/4,30.973
2019/10/3,31.064
2019/10/2,31.063
2019/10/1,31.045
2019/9/27,31.042
2019/9/26,31.040
2019/9/25,31.034
2019/9/24,31.013
2019/9/23,31.057
2019/9/20,30.980
2019/9/19,31.006
2019/9/18,31.000
2019/9/17,31.035
2019/9/16,31.002
2019/9/12,31.055
2019/9/11,31.220
2019/9/10,31.230
2019/9/9,31.250
2019/9/6,31.257
2019/9/5,31.280
2019/9/4,31.365
2019/9/3,31.432
2019/9/2,31.402
2019/8/30,31.410
2019/8/29,31.442
2019/8/28,31.420
2019/8/27,31.415
2019/8/26,31.451
2019/8/23,31.402
2019/8/22,31.384
2019/8/21,31.366
2019/8/20,31.405
2019/8/19,31.352
2019/8/16,31.366
2019/8/15,31.405
2019/8/14,31.402
2019/8/13,31.506
2019/8/12,31.400
2019/8/8,31.363
2019/8/7,31.487
2019/8/6,31.510
2019/8/5,31.628
2019/8/2,31.376
2019/8/1,31.182
2019/7/31,31.096
2019/7/30,31.075
2019/7/29,31.102
2019/7/26,31.090
2019/7/25,31.085
2019/7/24,31.084
2019/7/23,31.091
2019/7/22,31.083
2019/7/19,31.050
2019/7/18,31.077
2019/7/17,31.075
2019/7/16,31.042
2019/7/15,31.052
2019/7/12,31.081
2019/7/11,31.026
2019/7/10,31.160
2019/7/9,31.181
2019/7/8,31.196
2019/7/5,31.107
2019/7/4,31.102
2019/7/3,31.130
2019/7/2,31.052
2019/7/1,31.002
2019/6/28,31.072
2019/6/27,31.101
2019/6/26,31.140
2019/6/25,31.115
2019/6/24,31.110
2019/6/21,31.150
2019/6/20,31.175
2019/6/19,31.350
2019/6/18,31.528
2019/6/17,31.520
2019/6/14,31.530
2019/6/13,31.512
2019/6/12,31.430
2019/6/11,31.436
2019/6/10,31.436
2019/6/6,31.402
2019/6/5,31.390
2019/6/4,31.480
2019/6/3,31.503
