幣別,幣別,現金匯率,,即期匯率,,遠期匯率,歷史匯率,歷史匯率,現金匯率,,即期匯率,
,本行買入,本行賣出,本行買入,本行賣出,,本行買入,本行賣出,本行買入,本行賣出
                                美金 (USD)                                                            美金 (USD)                            ,28.95,29.62,29.3,29.4,查詢,查詢,28.95,29.62,29.3,29.4
                                港幣 (HKD)                                                            港幣 (HKD)                            ,3.631,3.835,3.757,3.817,查詢,查詢,3.631,3.835,3.757,3.817
                                英鎊 (GBP)                                                            英鎊 (GBP)                            ,37.54,39.66,38.54,38.96,查詢,查詢,37.54,39.66,38.54,38.96
                                澳幣 (AUD)                                                            澳幣 (AUD)                            ,20.93,21.71,21.2,21.43,查詢,查詢,20.93,21.71,21.2,21.43
                                加拿大幣 (CAD)                                                            加拿大幣 (CAD)                            ,21.87,22.78,22.26,22.48,查詢,查詢,21.87,22.78,22.26,22.48
                                新加坡幣 (SGD)                                                            新加坡幣 (SGD)                            ,20.92,21.83,21.41,21.59,查詢,查詢,20.92,21.83,21.41,21.59
                                瑞士法郎 (CHF)                                                            瑞士法郎 (CHF)                            ,31.47,32.67,32.13,32.42,查詢,查詢,31.47,32.67,32.13,32.42
                                日圓 (JPY)                                                            日圓 (JPY)                            ,0.2658,0.2786,0.2731,0.2771,查詢,查詢,0.2658,0.2786,0.2731,0.2771
                                南非幣 (ZAR)                                                            南非幣 (ZAR)                            ,-,-,1.682,1.762,查詢,查詢,-,-,1.682,1.762
                                瑞典幣 (SEK)                                                            瑞典幣 (SEK)                            ,2.98,3.5,3.32,3.42,查詢,查詢,2.98,3.5,3.32,3.42
                                紐元 (NZD)                                                            紐元 (NZD)                            ,19.02,19.87,19.4,19.6,查詢,查詢,19.02,19.87,19.4,19.6
                                泰幣 (THB)                                                            泰幣 (THB)                            ,0.8111,1.0011,0.9235,0.9635,查詢,查詢,0.8111,1.0011,0.9235,0.9635
                                菲國比索 (PHP)                                                            菲國比索 (PHP)                            ,0.5314,0.6644,-,-,查詢,查詢,0.5314,0.6644,-,-
                                印尼幣 (IDR)                                                            印尼幣 (IDR)                            ,0.00168,0.00238,-,-,查詢,查詢,0.00168,0.00238,-,-
                                歐元 (EUR)                                                            歐元 (EUR)                            ,33.88,35.22,34.5,34.9,查詢,查詢,33.88,35.22,34.5,34.9
                                韓元 (KRW)                                                            韓元 (KRW)                            ,0.02302,0.02692,-,-,查詢,查詢,0.02302,0.02692,-,-
                                越南盾 (VND)                                                            越南盾 (VND)                            ,0.00089,0.00139,-,-,查詢,查詢,0.00089,0.00139,-,-
                                馬來幣 (MYR)                                                            馬來幣 (MYR)                            ,5.915,7.54,-,-,查詢,查詢,5.915,7.54,-,-
                                人民幣 (CNY)                                                            人民幣 (CNY)                            ,4.169,4.331,4.241,4.291,查詢,查詢,4.169,4.331,4.241,4.291
