個股日成交資訊  
股票代號:3479
股票名稱:安勤            
資料日期:112/10
日 期,成交仟股,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
"112/10/02","324","32,491","99.50","101.00","99.50","100.50","1.80","296"
"112/10/03","296","29,591","100.50","101.00","99.10","99.10","-1.40","288"
"112/10/04","195","19,359","99.00","99.70","98.70","99.30","0.20","165"
"112/10/05","184","18,408","99.50","100.50","99.50","100.50","1.20","171"
"112/10/06","326","32,525","100.50","101.00","99.30","99.90","-0.60","256"
"112/10/11","589","57,796","100.00","100.00","97.40","97.40","-2.50","548"
"112/10/12","292","28,564","98.40","98.50","97.40","98.10","0.70","265"
"112/10/13","291","28,478","98.20","98.50","97.40","98.40","0.30","251"
"112/10/16","440","42,557","98.00","98.00","96.30","96.80","-1.60","385"
"112/10/17","674","64,304","97.80","97.80","94.80","94.80","-2.00","604"
"112/10/18","542","50,718","94.80","95.00","93.00","93.60","-1.20","448"
"112/10/19","230","21,690","93.50","94.50","93.50","93.80","0.20","185"
"112/10/20","521","48,183","93.80","94.40","91.00","93.10","-0.70","460"
"112/10/23","198","18,344","92.80","93.50","91.80","92.10","-1.00","213"
"112/10/24","246","22,977","92.40","94.80","91.60","94.50","2.40","251"
"112/10/25","201","19,201","94.70","96.40","94.50","96.20","1.70","229"
"112/10/26","219","20,799","95.00","96.00","94.50","94.60","-1.60","212"
"112/10/27","225","21,506","94.70","96.40","94.70","95.40","0.80","210"
"112/10/30","238","23,030","95.50","97.50","95.20","97.00","1.60","240"
"112/10/31","374","36,062","97.00","98.00","94.30","94.60","-2.40","390"
共20筆
