1101 台泥             年度 成交資訊,,,,,,,,
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
80,"1,039,525,654","91,746,579,128","432,507",114,5月10日,60,1月17日,84.08
81,"468,122,568","28,423,548,095","159,911",77.5,1月27日,45,9月18日,59.55
82,"1,266,413,190","76,642,604,419","336,138",75,12月31日,48.5,1月8日,56.87
83,"949,580,499","58,495,417,380","272,378",79.5,1月6日,48,12月1日,58.71
84,"823,353,076","37,931,497,397","203,912",59,1月19日,30.7,11月18日,43.46
85,"1,714,074,216","91,723,034,778","401,332",68,6月29日,33.5,1月6日,51.86
86,"1,250,558,864","61,377,571,027","319,127",65,3月13日,31.9,11月17日,47.3
87,"1,849,661,361","60,131,838,290","382,571",40.5,4月7日,26,6月16日,31.91
88,"2,685,525,513","68,297,053,690","523,001",32.8,12月28日,18.8,11月26日,23.6
89,"5,548,023,141","182,625,692,190","1,161,183",55.5,2月18日,14.3,12月28日,26.13
90,"1,884,731,211","21,413,943,866","327,735",19.9,2月5日,7,11月30日,10.84
91,"4,689,899,084","49,714,536,126","597,953",13.9,4月23日,7.1,10月4日,9.99
92,"8,585,837,061","120,207,437,824","1,074,848",18,11月5日,9.85,5月2日,13.38
93,"5,485,320,455","99,820,233,639","757,635",21.8,3月2日,13.45,6月18日,17.55
94,"2,394,787,904","48,137,984,259","365,817",24.2,12月29日,17.5,4月1日,20.02
95,"2,583,983,536","65,383,983,531","435,681",31.1,12月4日,20.85,6月13日,25.13
96,"4,126,638,970","167,703,307,146","967,113",57.8,10月29日,24.9,3月5日,37.75
97,"5,751,198,365","216,149,688,843","1,521,166",60.7,3月24日,14.15,10月28日,38.48
98,"4,451,668,530","141,790,897,674","1,265,913",39.8,8月10日,21.9,1月21日,32.42
99,"3,412,904,787","104,291,531,761","940,779",36.4,1月7日,24.6,5月7日,30.43
100,"4,585,345,607","170,209,855,530","1,342,223",49.45,7月22日,29,9月26日,36.8
101,"2,554,837,863","91,718,648,714","792,658",39.75,12月7日,31.6,5月18日,35.78
102,"2,041,291,919","81,456,590,334","692,587",46.95,12月3日,33.75,6月25日,39.82
103,"2,119,645,016","96,426,110,871","763,165",49.8,4月16日,41.35,2月5日,45.68
104,"1,762,081,869","66,608,208,505","738,484",45.4,4月24日,26.9,12月14日,37.82
105,"1,690,005,680","55,453,414,560","778,946",38.3,12月12日,25.45,1月26日,33
106,"1,577,585,615","55,647,316,462","564,142",38.9,3月2日,33.35,11月10日,35.14
107,"4,253,325,391","169,504,306,124","1,426,975",47.3,5月16日,32.7,11月27日,39.26
108,"4,072,159,593","168,017,925,459","1,417,293",46.6,7月2日,34.9,1月4日,41.02
109,"4,163,490,627","177,036,346,938","1,577,494",47.55,8月7日,33.35,3月19日,42.55
近年最高價,日期,近年最低價,日期,,,,,
114,1980/5/10,7,1990/11/30,,,,,
備註:,,,,,,,,
本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,
