SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
二林,彰化縣,38,,良好,4,0.27,0.2,19,28,24,16,11,12,1.1,1.9,159,2019/8/14 00:00,12,19,3,120.409653,23.925175,35
三重,新北市,41,,良好,2.4,0.49,1.3,-,,30,14,23,42,19,,,2019/8/14 00:00,13,30,3,121.493806,25.072611,67
三義,苗栗縣,39,,良好,1.6,0.11,0.2,35,35,19,11,1.3,2,0.8,3.7,191,2019/8/14 00:00,12,19,2,120.758833,24.382942,27
土城,新北市,42,,良好,1.4,0.42,0.5,18,35,28,12,18,20,1.5,1.3,161,2019/8/14 00:00,13,24,3,121.451861,24.982528,5
士林,臺北市,45,,良好,2.3,0.31,0.3,28,42,24,5,11,12,0.7,1.6,323,2019/8/14 00:00,14,22,2,121.515389,25.105417,11
大同,臺北市,53,細懸浮微粒,普通,2.8,0.78,1.4,-,,25,19,18,22,3.5,,,2019/8/14 00:00,16,26,3,121.513311,25.0632,16
大里,臺中市,31,,良好,2.6,0.23,0.4,25,32,24,6,7.7,8.2,0.5,0.9,357,2019/8/14 00:00,10,22,3,120.677689,24.099611,30
大園,桃園市,55,細懸浮微粒,普通,3.3,0.24,0.3,28,40,23,20,6.9,8.1,1.2,1.8,204,2019/8/14 00:00,17,23,3,121.201811,25.060344,18
大寮,高雄市,49,,良好,2.4,0.48,0.4,13,22,29,16,16,16,0.2,0.9,94,2019/8/14 00:00,15,29,5,120.425081,22.565747,51
小港,高雄市,37,,良好,4.6,0.65,0.6,8.2,17,41,24,27,30,3.1,1.1,49,2019/8/14 00:00,11,30,3,120.337736,22.565833,58
中山,臺北市,56,細懸浮微粒,普通,2,0.62,0.9,18,21,26,20,20,23,2.6,1.2,23,2019/8/14 00:00,17,27,1,121.526528,25.062361,12
中壢,桃園市,61,細懸浮微粒,普通,2.2,0.78,1.6,16,16,25,17,19,28,8.8,1.1,199,2019/8/14 00:00,20,21,2,121.221667,24.953278,68
仁武,高雄市,44,,良好,2.1,0.6,0.6,12,19,29,14,18,19,1.1,1.1,104,2019/8/14 00:00,14,29,4,120.332631,22.689056,49
斗六,雲林縣,30,,良好,1,0.22,0.4,27,31,19,6,5.4,7.3,1.9,0.8,185,2019/8/14 00:00,9,18,1,120.544994,23.711853,37
冬山,宜蘭縣,58,細懸浮微粒,普通,2,0.3,0.3,25,36,47,15,4.2,4.9,0.7,0.7,262,2019/8/14 00:00,18,44,2,121.792928,24.632203,66
古亭,臺北市,45,,良好,1.6,0.34,0.5,26,40,20,10,12,13,0.7,1.6,140,2019/8/14 00:00,14,22,2,121.529556,25.020608,14
左營,高雄市,28,,良好,4,0.99,0.8,7.6,17,27,14,30,35,5.3,1.9,120,2019/8/14 00:00,8,25,3,120.292917,22.674861,54
平鎮,桃園市,43,,良好,2.1,0.31,0.4,25,32,28,11,13,14,1.9,1.2,226,2019/8/14 00:00,13,26,2,121.203986,24.952786,20
永和,新北市,50,,良好,2,0.47,1,26,30,15,13,13,16,2.5,1.7,156,2019/8/14 00:00,15,23,3,121.516306,25.017,70
安南,臺南市,57,細懸浮微粒,普通,1.8,0.38,0.5,17,30,20,25,14,14,0.2,2.3,110,2019/8/14 00:00,18,24,2,120.2175,23.048197,45
朴子,嘉義縣,32,,良好,2,0.28,0.4,18,27,23,10,10,12,1.8,1.4,135,2019/8/14 00:00,10,23,2,120.24781,23.467123,40
汐止,新北市,60,細懸浮微粒,普通,2.1,0.51,0.4,18,38,30,21,23,24,0.7,1.3,221,2019/8/14 00:00,19,26,2,121.6423,25.067131,2
竹山,南投縣,26,,良好,,0.17,0.2,13,28,26,4,3.4,4.6,1.2,0.5,330,2019/8/14 00:00,6,22,,120.677306,23.756389,69
竹東,新竹縣,32,,良好,1.7,0.25,0.3,14,35,16,ND,4.8,5.9,1.1,2,139,2019/8/14 00:00,9,19,1,121.088903,24.740644,23
西屯,臺中市,27,,良好,2.3,0.4,0.4,9.6,24,27,8,21,22,1.5,1.7,134,2019/8/14 00:00,8,21,1,120.616917,24.162197,32
沙鹿,臺中市,36,,良好,2.6,0.23,0.4,30,31,17,8,6.8,8.7,1.9,3.1,169,2019/8/14 00:00,11,18,3,120.568794,24.225628,29
宜蘭,宜蘭縣,62,細懸浮微粒,普通,1.9,0.26,0.3,27,39,33,20,3.2,3.5,0.3,0.4,188,2019/8/14 00:00,20,35,2,121.746394,24.747917,65
忠明,臺中市,47,,良好,1.7,0.29,0.4,25,28,18,15,10,12,1.5,0.9,166,2019/8/14 00:00,14,19,2,120.641092,24.151958,31
松山,臺北市,56,細懸浮微粒,普通,1.4,0.53,0.5,19,35,25,18,20,24,3.5,0.8,337,2019/8/14 00:00,17,24,1,121.578611,25.05,15
板橋,新北市,62,細懸浮微粒,普通,4.8,0.36,0.5,26,36,25,15,14,16,1.8,0.7,221,2019/8/14 00:00,20,25,6,121.458667,25.012972,6
林口,新北市,36,,良好,3.9,0.28,0.3,22,39,28,12,16,17,0.6,2.7,242,2019/8/14 00:00,10,24,4,121.376869,25.077197,9
林園,高雄市,61,細懸浮微粒,普通,2.6,0.49,0.4,17,29,89,25,17,17,0.4,1.1,113,2019/8/14 00:00,20,51,7,120.41175,22.4795,52
花蓮,花蓮縣,58,細懸浮微粒,普通,2,0.23,0.3,24,35,35,23,4.8,5.3,0.5,2.1,203,2019/8/14 00:00,18,40,2,121.599769,23.971306,63
金門,金門縣,61,細懸浮微粒,普通,2,0.12,0.2,29,45,30,16,6.2,6.7,0.5,3.3,192,2019/8/14 00:00,20,38,3,118.312256,24.432133,77
前金,高雄市,33,,良好,2.8,1.04,0.8,7.2,18,33,11,28,34,6.3,1.4,35,2019/8/14 00:00,10,27,2,120.288086,22.632567,56
前鎮,高雄市,38,,良好,2.3,1.21,1.3,3.3,10,25,13,33,39,6.8,0.6,55,2019/8/14 00:00,12,27,2,120.307564,22.605386,57
南投,南投縣,34,,良好,1.4,0.33,0.4,11,28,27,11,11,13,1.5,1.4,141,2019/8/14 00:00,10,21,1,120.685306,23.913,36
屏東,屏東縣,37,,良好,2.6,0.58,0.6,8.5,27,32,12,16,17,1,1.4,353,2019/8/14 00:00,12,23,3,120.488033,22.673081,59
屏東(琉球),屏東縣,34,,良好,2,0.33,0.3,22,36,28,12,13,14,1.1,0.6,190,2019/8/14 00:00,10,22,,120.377222,22.352222,204
恆春,屏東縣,46,,良好,1.5,0.13,0.1,41,50,24,7,2.4,3,0.5,3.6,229,2019/8/14 00:00,7,18,2,120.788928,21.958069,61
