108年08月27日每5秒委託成交統計,,,,,,,
時間,累積委託買進筆數,累積委託買進數量,累積委託賣出筆數,累積委託賣出數量,累積成交筆數,累積成交數量,累積成交金額
09:00:00,"240,176","3,516,484","161,252","1,025,109",0,0,0
09:00:05,"242,229","3,534,571","162,771","1,040,538","7,812","28,959","1,036"
09:00:10,"244,464","3,562,166","164,273","1,051,132","12,420","45,904","1,689"
09:00:15,"246,659","3,640,732","165,896","1,127,701","15,005","52,747","2,031"
09:00:20,"248,458","3,657,464","167,319","1,136,086","17,260","63,198","2,416"
09:00:25,"250,104","3,690,608","168,573","1,149,824","18,584","68,664","2,594"
09:00:30,"252,854","3,796,889","170,960","1,225,401","19,925","72,465","2,725"
09:00:35,"256,715","4,144,193","174,393","1,422,063","21,031","76,354","2,855"
09:00:40,"259,421","4,231,536","176,739","1,474,488","22,111","80,768","3,000"
09:00:45,"263,841","4,444,858","180,523","1,622,398","22,969","84,743","3,115"
09:00:50,"268,488","4,611,759","184,493","1,755,297","23,828","88,093","3,220"
09:00:55,"270,855","4,633,346","186,573","1,761,542","24,635","91,034","3,320"
09:01:00,"273,330","4,665,017","189,006","1,777,389","25,553","93,810","3,433"
09:01:05,"278,102","5,188,370","193,579","2,142,512","26,511","98,681","3,568"
09:01:10,"281,922","5,318,548","196,873","2,201,426","27,392","102,167","3,668"
09:01:15,"285,041","5,378,609","199,811","2,250,570","28,314","105,755","3,781"
09:01:20,"288,682","5,425,906","203,296","2,277,251","29,242","110,315","3,894"
09:01:25,"291,887","5,472,002","206,398","2,301,655","30,023","113,630","3,994"
09:01:30,"295,265","5,562,595","209,628","2,350,357","30,797","117,058","4,079"
09:01:35,"298,524","5,703,489","212,696","2,438,756","31,628","119,973","4,188"
09:01:40,"301,882","5,798,467","215,953","2,466,315","32,474","124,015","4,292"
09:01:45,"305,142","5,890,557","218,986","2,493,725","33,296","128,571","4,390"
09:01:50,"308,866","6,248,075","222,540","2,575,300","34,154","133,059","4,499"
09:01:55,"311,761","6,345,860","225,532","2,593,056","35,014","136,429","4,619"
09:02:00,"315,255","6,455,149","229,160","2,634,413","36,015","142,706","4,814"
09:02:05,"320,310","6,759,766","234,372","2,849,354","36,919","147,305","4,939"
09:02:10,"323,820","6,871,611","237,950","2,912,799","37,926","151,739","5,059"
09:02:15,"327,969","7,108,561","242,208","3,068,993","38,873","155,220","5,158"
09:02:20,"333,078","7,401,167","247,245","3,260,612","39,636","158,534","5,252"
09:02:25,"336,444","7,488,261","250,819","3,324,568","40,485","162,235","5,352"
09:02:30,"340,130","7,570,215","254,505","3,341,215","41,287","166,445","5,436"
09:02:35,"345,132","7,855,139","259,510","3,549,742","42,106","171,446","5,519"
09:02:40,"348,537","7,865,429","263,451","3,574,953","42,928","176,117","5,613"
09:02:45,"351,348","7,898,353","266,588","3,591,730","43,672","180,207","5,699"
09:02:50,"354,778","7,956,275","270,138","3,619,690","44,503","186,046","5,790"
09:02:55,"357,820","7,967,823","273,593","3,633,024","45,205","189,239","5,864"
09:03:00,"360,716","7,976,467","276,729","3,637,396","45,881","192,744","5,932"
09:03:05,"365,046","8,438,358","281,492","3,923,654","46,503","195,578","6,007"
09:03:10,"368,945","8,597,308","285,719","4,035,989","47,312","198,888","6,089"
09:03:15,"372,900","8,888,572","290,009","4,214,148","48,027","203,034","6,166"
09:03:20,"376,214","8,933,262","293,634","4,181,787","48,720","206,664","6,240"
09:03:25,"379,927","9,128,608","297,833","4,271,087","49,442","210,677","6,318"
09:03:30,"384,626","9,386,516","303,118","4,373,257","50,330","216,696","6,408"
09:03:35,"388,382","9,411,024","307,586","4,392,073","51,137","220,614","6,495"
09:03:40,"391,967","9,650,056","311,829","4,553,716","51,840","224,435","6,570"
09:03:45,"395,369","9,925,659","315,934","4,723,430","52,449","227,080","6,632"
09:03:50,"398,301","9,967,995","319,389","4,737,899","53,167","230,986","6,709"
09:03:55,"400,443","10,000,533","322,349","4,750,874","53,771","233,836","6,776"
09:04:00,"403,205","10,040,251","326,114","4,781,992","54,467","237,466","6,847"
09:04:05,"406,866","10,449,695","330,048","4,932,603","55,161","241,533","6,914"
09:04:10,"411,263","11,000,760","334,835","5,179,095","55,829","244,425","6,980"
09:04:15,"415,591","11,784,158","339,667","5,620,119","56,546","248,555","7,053"
09:04:20,"420,238","12,259,149","344,929","5,917,288","57,325","253,304","7,135"
09:04:25,"424,223","12,524,748","349,597","6,077,923","57,904","256,325","7,209"
09:04:30,"427,319","12,696,841","353,344","6,128,051","58,544","259,812","7,273"
09:04:35,"430,934","12,848,343","357,838","6,176,959","59,248","263,874","7,350"
09:04:40,"433,429","12,916,996","361,075","6,180,859","59,893","268,135","7,417"
09:04:45,"436,475","12,963,041","365,027","6,210,622","60,555","271,714","7,499"
09:04:50,"440,202","13,426,220","369,455","6,506,653","61,104","274,399","7,565"
09:04:55,"442,929","13,479,581","372,825","6,536,459","61,695","277,302","7,627"
09:05:00,"446,240","13,493,735","376,855","6,537,935","62,425","280,632","7,709"
09:05:05,"449,312","13,688,386","380,880","6,645,213","63,014","283,739","7,773"
09:05:10,"452,587","13,829,885","385,364","6,695,623","63,763","290,561","7,861"
09:05:15,"455,865","13,915,850","389,747","6,731,845","64,526","294,265","7,951"
09:05:20,"459,676","14,026,989","394,548","6,768,407","65,370","298,913","8,060"
09:05:25,"463,537","14,089,333","399,208","6,766,925","66,106","302,670","8,141"
09:05:30,"467,844","14,225,225","404,309","6,845,957","66,770","305,963","8,216"
09:05:35,"471,181","14,412,771","408,744","6,939,949","67,426","312,405","8,287"
09:05:40,"474,329","14,484,955","412,532","6,924,522","68,184","318,798","8,380"
09:05:45,"477,634","14,562,200","416,811","6,972,734","68,831","323,188","8,450"
09:05:50,"481,195","14,618,449","421,220","7,002,712","69,492","328,471","8,543"
09:05:55,"484,727","14,724,422","425,865","7,032,428","70,194","334,071","8,620"
09:06:00,"488,216","14,784,098","430,221","7,065,267","70,853","339,118","8,687"
09:06:05,"492,145","14,969,581","435,181","7,158,325","71,457","343,697","8,754"
09:06:10,"494,811","15,030,625","439,097","7,193,781","72,082","346,750","8,824"
09:06:15,"498,418","15,096,393","443,796","7,209,741","72,744","350,119","8,915"
09:06:20,"501,395","15,183,343","447,809","7,242,575","73,346","354,011","8,991"
09:06:25,"505,126","15,223,134","452,404","7,244,775","73,941","358,606","9,052"
09:06:30,"508,198","15,293,857","456,544","7,266,561","74,564","362,886","9,121"
09:06:35,"511,069","15,369,174","460,828","7,327,174","75,205","365,696","9,197"
09:06:40,"514,608","15,387,616","465,507","7,335,847","75,886","370,808","9,271"
09:06:45,"517,207","15,503,275","469,214","7,384,836","76,449","373,623","9,347"
09:06:50,"520,314","15,529,007","473,476","7,423,222","77,059","378,235","9,413"
09:06:55,"523,056","15,571,786","477,468","7,441,779","77,622","381,624","9,476"
09:07:00,"527,188","15,623,818","482,634","7,446,438","78,190","384,693","9,548"
09:07:05,"530,648","15,677,613","487,416","7,477,366","78,846","387,655","9,608"
09:07:10,"534,591","15,732,836","492,490","7,511,108","79,440","390,607","9,684"
09:07:15,"538,642","15,759,510","497,756","7,501,456","80,072","393,559","9,751"
09:07:20,"541,850","15,827,580","502,402","7,506,502","80,684","396,245","9,811"
09:07:25,"545,250","15,926,015","507,247","7,531,667","81,225","399,408","9,875"
09:07:30,"548,062","15,994,118","511,392","7,576,694","81,743","401,869","9,930"
09:07:35,"551,514","16,108,620","515,815","7,595,544","82,290","405,434","9,979"
09:07:40,"554,304","16,169,701","519,760","7,638,313","82,840","409,831","10,056"
09:07:45,"556,731","16,211,759","523,436","7,646,014","83,289","413,419","10,108"
09:07:50,"558,786","16,303,488","526,684","7,679,208","83,763","416,610","10,178"
09:07:55,"561,344","16,358,232","530,441","7,704,551","84,331","419,940","10,242"
09:08:00,"563,978","16,406,111","534,118","7,709,570","84,921","422,467","10,292"
09:08:05,"566,504","16,493,714","537,731","7,747,105","85,433","424,653","10,348"
09:08:10,"569,250","16,522,321","541,648","7,764,058","85,919","427,327","10,400"
09:08:15,"572,118","16,536,263","545,757","7,782,238","86,465","432,641","10,490"
09:08:20,"575,375","16,523,932","550,427","7,769,763","86,965","435,261","10,539"
09:08:25,"578,157","16,562,109","554,295","7,808,162","87,502","439,368","10,605"
09:08:30,"580,203","16,592,412","557,452","7,819,520","87,989","442,803","10,658"
09:08:35,"582,304","16,635,371","560,694","7,837,981","88,432","446,105","10,708"
09:08:40,"585,098","16,636,474","564,574","7,833,435","88,930","449,446","10,767"
09:08:45,"587,470","16,648,527","568,391","7,841,318","89,447","453,015","10,837"
09:08:50,"589,996","16,667,373","572,290","7,867,807","89,940","456,179","10,890"
09:08:55,"592,386","16,682,954","576,154","7,898,532","90,475","459,562","10,941"
09:09:00,"594,634","16,692,910","579,674","7,886,712","90,972","462,338","10,989"
09:09:05,"597,279","16,690,942","583,331","7,870,307","91,472","465,531","11,043"
09:09:10,"599,495","16,668,672","586,998","7,889,743","92,078","468,693","11,105"
09:09:15,"602,679","16,639,794","591,386","7,873,179","92,805","472,719","11,212"
09:09:20,"605,864","16,651,540","595,885","7,881,647","93,530","476,724","11,302"
09:09:25,"608,495","16,646,551","599,924","7,901,709","94,259","479,653","11,385"
09:09:30,"611,260","16,631,165","604,213","7,916,466","94,885","483,475","11,457"
09:09:35,"613,734","16,636,412","607,962","7,929,571","95,490","486,354","11,535"
09:09:40,"616,353","16,612,267","611,798","7,908,126","96,062","488,618","11,594"
09:09:45,"618,343","16,643,964","615,184","7,919,947","96,566","491,484","11,644"
09:09:50,"620,854","16,627,001","618,874","7,917,760","97,028","493,459","11,693"
09:09:55,"622,866","16,645,130","622,039","7,927,772","97,629","496,365","11,756"
09:10:00,"625,150","16,642,785","625,732","7,908,207","98,224","499,542","11,820"
09:10:05,"628,141","16,743,755","630,089","7,988,639","98,755","502,150","11,879"
09:10:10,"630,635","16,776,411","633,612","8,016,631","99,256","504,189","11,926"
09:10:15,"633,622","16,771,858","637,892","8,016,534","99,736","505,842","11,983"
09:10:20,"635,442","16,843,151","641,161","8,054,378","100,306","508,015","12,047"
09:10:25,"637,723","16,832,898","644,756","8,047,252","100,756","509,740","12,092"
09:10:30,"640,068","16,823,041","648,467","8,051,373","101,179","511,635","12,132"
09:10:35,"642,086","16,817,142","652,024","8,053,911","101,575","513,219","12,166"
09:10:40,"644,734","16,865,853","655,971","8,049,819","101,983","514,946","12,201"
09:10:45,"647,335","16,907,403","659,398","8,052,121","102,478","517,147","12,260"
09:10:50,"649,523","16,913,023","662,633","8,059,959","102,874","519,026","12,296"
09:10:55,"652,255","16,894,545","666,507","8,059,098","103,336","520,710","12,337"
09:11:00,"654,343","16,908,530","669,965","8,080,813","103,727","522,520","12,381"
09:11:05,"656,487","16,896,933","673,392","8,085,985","104,142","524,864","12,423"
09:11:10,"658,880","16,917,789","677,309","8,088,977","104,548","526,472","12,465"
09:11:15,"661,115","16,943,297","680,623","8,104,195","104,901","528,125","12,494"
09:11:20,"662,500","16,963,321","683,188","8,106,903","105,240","529,581","12,524"
09:11:25,"664,425","16,945,926","686,262","8,108,316","105,632","530,935","12,563"
09:11:30,"666,536","16,910,548","689,723","8,088,701","106,065","534,393","12,615"
09:11:35,"668,663","16,916,754","693,313","8,119,631","106,552","536,704","12,671"
09:11:40,"671,415","16,912,586","697,170","8,116,004","107,096","541,377","12,769"
09:11:45,"673,714","16,935,263","700,676","8,131,468","107,548","543,191","12,814"
09:11:50,"675,371","16,996,501","703,447","8,183,528","108,002","544,605","12,858"
09:11:55,"677,254","16,916,806","706,364","8,119,769","108,412","546,829","12,900"
09:12:00,"679,199","16,899,684","709,833","8,119,233","108,912","550,910","12,971"
09:12:05,"682,081","16,913,652","713,987","8,148,598","109,524","553,157","13,042"
09:12:10,"684,706","16,908,626","717,810","8,140,938","110,046","555,697","13,102"
09:12:15,"687,034","16,966,014","721,417","8,165,426","110,557","558,503","13,152"
09:12:20,"689,704","16,970,747","725,079","8,162,813","111,025","561,246","13,200"
09:12:25,"692,056","17,001,759","728,560","8,176,168","111,555","563,478","13,253"
09:12:30,"694,687","17,008,515","732,396","8,181,968","112,064","565,274","13,298"
09:12:35,"696,561","17,037,217","735,424","8,191,730","112,542","567,003","13,341"
09:12:40,"699,025","17,114,462","738,746","8,204,008","112,948","568,789","13,384"
09:12:45,"700,787","17,095,548","741,708","8,217,966","113,351","571,181","13,421"
09:12:50,"702,448","17,121,113","744,537","8,242,484","113,730","572,333","13,462"
09:12:55,"704,444","17,210,739","747,714","8,255,195","114,098","573,670","13,502"
09:13:00,"706,342","17,198,281","750,860","8,243,903","114,480","575,671","13,548"
09:13:05,"708,936","17,299,991","754,346","8,271,795","114,870","578,017","13,592"
09:13:10,"711,432","17,371,553","758,003","8,301,435","115,258","579,900","13,627"
09:13:15,"713,366","17,372,612","761,068","8,309,636","115,607","581,464","13,659"
09:13:20,"715,274","17,447,201","764,199","8,343,611","116,001","583,450","13,697"
09:13:25,"717,297","17,494,797","767,537","8,358,406","116,348","584,791","13,731"
09:13:30,"718,933","17,523,875","770,218","8,353,796","116,718","586,536","13,765"
09:13:35,"722,793","17,277,224","773,001","8,326,687","117,103","588,113","13,802"
09:13:40,"725,769","17,687,580","776,610","8,384,322","117,517","589,676","13,843"
09:13:45,"728,482","17,667,878","780,470","8,374,328","117,939","591,954","13,894"
09:13:50,"730,499","17,761,539","783,404","8,403,471","118,354","593,033","13,938"
09:13:55,"732,481","17,816,052","786,232","8,432,412","118,737","594,615","13,974"
09:14:00,"734,472","17,908,333","789,278","8,450,960","119,157","596,306","14,023"
09:14:05,"737,513","18,208,443","793,188","8,632,760","119,569","597,896","14,067"
09:14:10,"739,660","18,345,907","796,364","8,720,989","119,900","599,081","14,102"
09:14:15,"741,449","18,379,203","799,187","8,737,565","120,253","600,349","14,132"
09:14:20,"743,864","18,430,255","802,749","8,744,096","120,683","602,770","14,188"
09:14:25,"746,095","18,518,652","805,999","8,774,303","121,019","604,250","14,228"
09:14:30,"747,938","18,571,972","808,888","8,790,570","121,371","605,760","14,272"
09:14:35,"749,947","18,593,375","811,940","8,777,310","121,810","608,009","14,316"
09:14:40,"752,107","18,588,243","815,600","8,790,638","122,264","611,068","14,363"
09:14:45,"754,540","18,624,647","819,380","8,824,333","122,587","612,435","14,399"
09:14:50,"756,195","18,599,238","822,138","8,785,010","122,908","614,033","14,433"
09:14:55,"758,480","18,710,429","825,460","8,852,069","123,257","616,531","14,465"
09:15:00,"760,244","18,731,571","828,380","8,869,731","123,559","618,025","14,507"
09:15:05,"762,957","18,817,006","832,313","8,911,801","123,921","619,663","14,544"
09:15:10,"765,162","18,817,351","835,579","8,936,139","124,284","621,729","14,582"
09:15:15,"767,736","18,816,847","839,398","8,951,904","124,714","626,455","14,629"
09:15:20,"771,338","18,848,958","844,210","8,964,299","125,204","629,488","14,691"
09:15:25,"774,330","18,855,546","848,302","8,996,431","125,639","631,933","14,737"
09:15:30,"776,557","18,897,410","851,713","9,013,895","126,086","634,349","14,804"
09:15:35,"778,871","18,892,296","855,279","8,999,745","126,473","636,378","14,840"
09:15:40,"781,066","18,921,331","858,651","9,005,212","126,866","638,296","14,880"
09:15:45,"783,724","18,917,734","862,548","9,007,448","127,277","640,361","14,930"
09:15:50,"786,517","18,949,850","866,800","9,019,654","127,693","642,332","14,974"
09:15:55,"788,821","18,969,185","870,214","9,030,104","128,075","644,248","15,008"
09:16:00,"792,128","18,908,148","874,478","8,990,602","128,630","647,206","15,074"
09:16:05,"795,433","18,929,903","878,840","9,008,184","129,098","650,490","15,127"
09:16:10,"798,188","18,989,838","882,656","9,029,839","129,499","652,516","15,163"
09:16:15,"800,368","18,986,186","885,847","9,028,720","129,930","654,930","15,203"
09:16:20,"803,320","18,952,588","889,883","9,026,730","130,435","657,751","15,252"
09:16:25,"805,637","18,942,045","893,210","9,030,032","130,979","660,155","15,336"
09:16:30,"807,581","19,009,625","896,104","9,060,402","131,440","662,755","15,378"
09:16:35,"809,167","19,015,958","898,834","9,056,686","131,863","664,052","15,414"
09:16:40,"811,425","19,011,062","902,375","9,066,546","132,305","666,774","15,459"
09:16:45,"813,730","19,013,195","905,738","9,048,988","132,717","668,892","15,504"
09:16:50,"816,226","19,001,120","909,315","9,051,318","133,150","671,352","15,541"
09:16:55,"818,047","18,988,825","912,267","9,067,470","133,573","673,475","15,573"
09:17:00,"819,789","19,005,686","915,056","9,072,694","134,058","675,846","15,622"
09:17:05,"822,171","18,933,010","918,630","9,010,020","134,695","679,358","15,692"
09:17:10,"825,355","18,979,441","922,844","9,062,030","135,312","685,551","15,768"
09:17:15,"828,375","18,997,970","927,085","9,089,548","135,912","689,933","15,849"
09:17:20,"831,181","18,991,463","931,265","9,085,630","136,567","694,091","15,924"
09:17:25,"835,245","19,011,083","936,615","9,080,068","137,094","698,096","16,002"
09:17:30,"837,748","19,029,681","940,400","9,101,206","137,624","701,178","16,061"
09:17:35,"839,883","19,027,921","943,754","9,100,596","138,022","703,366","16,093"
09:17:40,"842,433","19,037,937","947,380","9,116,315","138,372","705,343","16,124"
09:17:45,"844,292","19,067,584","950,681","9,104,552","138,748","706,807","16,161"
09:17:50,"846,364","19,119,482","953,932","9,145,799","139,133","708,752","16,198"
09:17:55,"847,965","19,119,965","956,932","9,156,427","139,489","710,177","16,233"
09:18:00,"849,640","19,122,673","959,720","9,175,014","139,912","711,832","16,277"
09:18:05,"852,414","19,063,834","963,545","9,134,996","140,371","713,384","16,319"
09:18:10,"854,772","19,100,933","967,144","9,140,730","140,701","714,932","16,349"
09:18:15,"856,820","19,167,788","970,414","9,166,278","141,098","717,036","16,392"
09:18:20,"859,676","19,174,555","974,174","9,182,005","141,519","720,229","16,426"
09:18:25,"861,996","19,166,347","977,579","9,175,530","141,871","721,464","16,460"
09:18:30,"864,035","19,169,365","980,866","9,187,168","142,209","722,829","16,491"
09:18:35,"866,156","19,168,833","984,330","9,200,533","142,550","723,782","16,531"
09:18:40,"868,253","19,152,928","987,759","9,216,331","142,862","725,910","16,562"
09:18:45,"871,038","19,128,295","991,815","9,183,076","143,459","728,369","16,618"
09:18:50,"872,794","19,130,740","994,937","9,214,772","143,901","729,871","16,657"
09:18:55,"874,555","19,149,888","997,936","9,214,721","144,264","731,109","16,693"
09:19:00,"876,383","19,152,811","1,000,860","9,208,496","144,704","732,654","16,750"
09:19:05,"878,733","19,123,669","1,004,517","9,209,674","145,069","735,309","16,787"
09:19:10,"880,565","19,172,130","1,007,962","9,241,209","145,448","736,660","16,826"
09:19:15,"882,227","19,191,798","1,011,099","9,262,741","145,870","738,468","16,867"
09:19:20,"884,284","19,191,301","1,014,317","9,247,293","146,255","739,845","16,908"
09:19:25,"885,975","19,209,116","1,017,286","9,269,790","146,565","741,197","16,941"
09:19:30,"887,771","19,204,322","1,020,388","9,278,253","147,002","742,694","17,002"
09:19:35,"890,874","19,181,778","1,024,550","9,241,625","147,522","745,328","17,064"
09:19:40,"892,987","19,192,995","1,028,024","9,247,256","148,038","748,092","17,123"
09:19:45,"894,950","19,176,705","1,031,466","9,246,813","148,458","750,504","17,174"
09:19:50,"896,397","19,186,365","1,034,376","9,259,125","148,837","751,882","17,214"
09:19:55,"897,880","19,174,401","1,037,245","9,239,454","149,207","753,286","17,253"
09:20:00,"899,840","19,217,564","1,040,450","9,260,820","149,598","755,108","17,309"
