個股日成交資訊  ,,,,,,,,
股票代號:3083,,,,,,,,
股票名稱:網龍,,,,,,,,
資料日期:108/07,,,,,,,,
日 期,成交仟股,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
108/07/01,"1,551","97,114",62.6,63.5,61.6,63.5,1.9,"1,066"
108/07/02,"2,171","137,177",63.6,64.2,62.3,63.8,0.3,"1,525"
108/07/03,"1,571","99,823",63.2,64.3,62.7,63.4,-0.4,"1,195"
108/07/04,946,"59,901",63.7,64.1,62.9,63.1,-0.3,686
108/07/05,"1,599","102,126",63.5,64.5,63.1,63.3,0.2,"1,194"
108/07/08,866,"55,003",63.9,64.1,63,63.3,0,661
108/07/09,"1,954","126,160",63.6,65.2,63.6,64.6,1.3,"1,409"
108/07/10,"1,102","71,163",64.6,65.2,64.2,64.5,-0.1,784
108/07/11,"1,523","97,079",64,64.4,63.3,63.6,-0.9,"1,032"
108/07/12,578,"36,904",64.2,64.4,63.5,63.5,-0.1,424
108/07/15,800,"50,695",63.9,63.9,63,63.2,-0.3,570
108/07/16,618,"38,988",63.6,63.7,62.8,62.9,-0.3,438
108/07/17,946,"59,135",62.9,63.7,61.5,61.6,-1.3,727
108/07/18,"2,890","170,868",61.6,61.6,58,58.2,-3.4,"2,003"
108/07/19,977,"57,142",58.7,59.1,58,58.5,0.3,709
108/07/22,697,"41,205",59.6,59.6,58.8,59.4,0.9,499
108/07/23,"2,092","119,558",59.4,60,55.9,56.3,-3.1,"1,607"
108/07/24,"1,626","89,816",56.4,57,54.5,55.1,-1.2,"1,099"
108/07/25,913,"51,040",56,56.5,55.3,55.3,0.2,723
108/07/26,780,"42,542",55.1,55.1,54,54.5,-0.8,568
108/07/29,590,"32,500",54.3,55.9,54.3,55.7,1.2,464
108/07/30,"1,254","68,112",56.1,56.1,53.5,53.5,-2.2,802
108/07/31,531,"28,421",53,54.3,52.6,53.8,0.3,390
共23筆,,,,,,,,
