國文,數學,自然,社會
100,73,78,67
,96,67,60
72,66,76,97
44,,,64
94,54,44,79
,,,
99,66,86,83
72,66,76,97
73,50,55,96
72,83,56,76
74,62,61,72
63,61,59,96
52,82,42,43
72,76,58,62
42,71,66,83
62,59,60,52
69,74,50,76
82,99,79,57
92,87,83,69
91,69,97,58
43,58,80,80
81,68,71,91
48,51,46,90
95,84,60,48
98,40,66,98
57,91,82,90
52,41,90,44
100,100,70,41
66,87,100,71
67,89,64,100
56,71,62,80
64,78,50,62
45,65,97,87
44,57,45,64
50,93,65,74
91,58,42,80
79,83,65,46
49,81,76,73
44,58,72,86
77,43,54,87
43,48,53,91
84,95,77,95
76,58,65,62
97,82,53,72
48,50,91,67
85,77,45,40
76,52,47,79
48,53,66,48
57,45,95,93
46,67,88,76
