row.names,home.dest,room,ticket,boat,sex
1,"St Louis, MO",B-5,24160 L221,2,female
2,"Montreal, PQ / Chesterville, ON",C26,,,female
3,"Montreal, PQ / Chesterville, ON",C26,,(135),male
4,"Montreal, PQ / Chesterville, ON",C26,,,female
5,"Montreal, PQ / Chesterville, ON",C22,,11,male
6,"New York, NY",E-12,,3,male
7,"Hudson, NY",D-7,13502 L77,10,female
8,"Belfast, NI",A-36,,,male
9,"Bayside, Queens, NY",C-101,,2,female
10,"Montevideo, Uruguay",,,(22),male
11,"New York, NY",,17754 L224 10s 6d,(124),male
12,"New York, NY",,17754 L224 10s 6d,4,female
13,"Paris, France",B-35,17477 L69 6s,9,female
14,"Hessle, Yorks",A-23,,B,male
15,"New York, NY",,,,male
16,"Montreal, PQ",B-58/60,,6,female
17,"Montreal, PQ",B-58/60,,,male
18,"Winnipeg, MN",C-6,,,male
19,"New York, NY",D-35,,5,male
20,"New York, NY",D-35,,5,female
21,"New York, NY",C-148,,5,male
22,"San Francisco, CA",,,(148),male
23,"Dowagiac, MI",B-49,,7,male
24,"Dowagiac, MI",B-49,,7,female
25,"Stockholm, Sweden / Washington, DC",, ,D,male
26,"Trenton, NJ",,,(241),male
27,"Glen Ridge, NJ",A-31,,7,male
28,"Youngstown, OH",C-7,,8,female
29,"Birkdale, England Cleveland, Ohio",C-103,,8,female
30,"London / Winnipeg, MB",D-21/2,,,male
31,"Cooperstown, NY",,,4,female
32,"St Leonards-on-Sea, England Ohio",,,6,female
33,"Los Angeles, CA",,,15,male
34,"Pomeroy, WA",,,,male
35,"Omaha, NE",,17591 L50 9s 11d,(208),male
36,"Philadelphia, PA",,,,male
37,"Denver, CO",,17610 L27 15s 5d,6,female
38,"Belmont, MA",C-101,,D,female
39,"Philadelphia, PA",,,8,female
40,"Washington, DC",,,,male
41,"New York, NY",,,5/7,male
42,"Washington, DC",,,6,female
43,"Germantown, Philadelphia, PA",B-51/3/5,17755 L512 6s,3,female
44,"Austria-Hungary / Germantown, Philadelphia, PA",B-51/3/5,17755 L512 6s,3,male
45,"New York, NY",,,,male
46,"Montevideo, Uruguay",,,,male
47,"Montevideo, Uruguay",,,,male
48,"Bryn Mawr, PA",,,C,male
49,"Bryn Mawr, PA",,,4,female
50,"Bryn Mawr, PA",,,4,female
51,"Bryn Mawr, PA",,,4,male
