商品編號,商品名稱,價格
51,【NBA】NIKE 騎士隊 運動長褲 彈力材質 吸濕排汗 休閒長褲 彈力棉褲 運動褲 慢跑 籃球 健身(NBA長褲),"1,090"
52,【NBA】NIKE 公牛隊 女版 運動長褲 彈力材質 吸濕排汗 休閒長褲 彈力棉褲 運動褲 慢跑 籃球 健身(NBA長褲),"1,090"
53,【NBA】NIKE 籃網隊 Therma Flex 熱身連帽外套 運動外套 連帽外套 熱身外套 跑步外套 健身(NBA外套),"2,290"
54,【NBA】NIKE 公牛隊 Therma Flex 熱身連帽外套 運動外套 連帽外套 熱身外套 跑步外套 健身(NBA外套),"2,290"
55,【NBA】NIKE 騎士隊 Therma Flex 熱身連帽外套 運動外套 連帽外套 熱身外套 跑步外套 健身(NBA外套),"2,290"
56,【NBA】NIKE 火箭隊 Therma Flex 熱身連帽外套 運動外套 連帽外套 熱身外套 跑步外套 健身(NBA外套),"2,290"
57,【NBA】NIKE 雷霆隊 Therma Flex 熱身連帽外套 運動外套 連帽外套 熱身外套 跑步外套 健身(NBA外套),"2,290"
58,【NBA】NIKE 馬刺隊 Therma Flex 熱身連帽外套 運動外套 連帽外套 熱身外套 跑步外套 健身(NBA外套),"2,290"
59,【NBA】NIKE  騎士隊 長袖上衣 基本款 深灰 運動上衣 運動服 健身 慢跑(NBA上衣),"1,180"
60,【NBA】NIKE 勇士隊 長袖上衣 基本款 深藍 運動上衣 運動服 健身 慢跑(NBA上衣),"1,180"
