中文片名,英文片名,期待度,海報圖片,上映日
露草,Tsuyukusa,43%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/uammKdP3vxys9UOC0PPC-737x1077.jpg,2022-06-10
我的夏日大戀習,One Summer Story,60%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/m0xCqOM4PtkSZdhf9ILI-1080x1543.jpg,2022-06-10
餘命10年,The Last 10 Years,98%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/yM1FhvrguPsUg3YhPiF6-1080x1542.jpg,2022-06-10
黎巴嫩的天空,1982,100%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/Z8iDlKYWdnHjlhej07Rq-1080x1541.jpg,2022-06-10
熟女解放中,The Book of Delights,100%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/e5kk8HmBvptUQDfgbWda-1080x1543.jpg,2022-06-10
侏羅紀世界：統霸天下,Jurassic World Dominion,98%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/3YlWZrhHyJ303TaWbMoE-1080x1711.jpg,2022-06-08
PINA,PINA,80%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/4UwHYjHe6gjflmxUHOGp-1080x1542.jpg,2022-06-03
終極夜路,Gasoline Alley,80%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/dn2BIzDFfJ0D3eaX43Sf-1080x1543.jpg,2022-06-02
進擊的地才,The Novice,75%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/O4HyAZj90xX3lvCzGylw-1080x1600.jpg,2022-06-02
們,Men,100%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/OWNsqJ2a0TRIuVhiUitb-992x1417.jpg,2022-06-02
劇場版FREE! 男子游泳部–the Final Stroke–後篇,Free! -the Final Stroke- the second volume,100%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/b10XOUrtfea0rdP9RDTg-1080x1543.jpg,2022-06-02
噪音,Noise,100%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/I21tgvQP5bJez3j9sXEX-1080x1542.jpg,2022-06-02
失速母親,Full Time,100%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/tKvHc1IU1xn3SR8RHbJO-1080x1543.jpg,2022-06-02
懾影屍,Post Mortem,75%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/H7I3Srk0VFe2OyPxbnwN-1080x1543.jpg,2022-06-02
自然就樹美,The Hidden Life Of Trees,67%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/m5FmTmLm2tqGAy6PuDTB-1080x1538.jpg,2022-06-02
愛在書店相遇時,A Bookshop in Paris,100%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/w57odRhRc5vWTHdkwmbd-1080x1535.jpg,2022-06-02
劇場版「黃金拼圖Thank you!!」,Kiniro Mosaic: Thank You!!,100%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/wmBl4258OsDKEn6tqaCe-1080x1526.jpg,2022-06-02
電影版 99.9 不可能的翻案,99.9 Criminal Lawyer The Movie,95%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/WT76Xu8RIQROWlvk5hz8-1080x1543.JPG,2022-05-27
藍色是最溫暖的顏色,Blue is the Warmest Color,67%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/SF9KxqCM9i1P4U1qhdQX-1080x1543.jpg,2022-05-27
教練,At Your Service,40%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/6UejPvIPWWe7PXr32FpW-1080x1543.jpg,2022-05-27
費爾的旅程,Phil's Journey,73%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/PxImpZfuhGsJPmY3Dxe0-800x1129.jpg,2022-05-27
好好說再見,Peaceful,100%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/1JnL2X4WRQK27C7cyL0x-1080x1601.jpg,2022-05-27
捍衛戰士：獨行俠,Top Gun: Maverick,94%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/IPaDhsb4uOa5QvdXGh3G-1080x1601.jpg,2022-05-25
再會啦 白宮,See You White House,78%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/January2022/65z2Zkof9rJDx2AuQIYr-1080x1530.jpg,2022-05-20
給阿媽的一封信,A Letter to A'ma,38%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/mwbXj2BC1Nd4AmGsov25-1080x1527.jpg,2022-05-20
犯罪都市2,The Roundup,95%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/MjbrwWBJM2wVBLhEWJ8q-1080x1543.jpg,2022-05-20
牛首村,Ox-Head Village,96%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/NCSnbxMEf9FjDZiklfPT-1080x1543.JPG,2022-05-20
秋天的童話,An Autumn's Tale,90%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/v7T6nuXmoAysjJkb7bKg-1080x1543.jpg,2022-05-20
淒厲人僧：卡到陰,Pee Nak 3,80%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/VaBSRvPkaMbuAV9OXSq7-800x1143.jpg,2022-05-20
愛在暹邏：數位經典版,Love of siam,94%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/XTbJRb2lb8JS0ABpE7AQ-1080x1543.jpg,2022-05-20
鬼雙胞,The Twin,98%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/x60F1wXx1inSoqDbR2Jm-800x1143.jpg,2022-05-20
阿巴斯。風的滋味,,50%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/urZh5pfpR6r2nbmTdfgl-1080x1538.jpg,2022-05-20
第一人夫,First Gentleman,0,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/1hNkihXT97AgRAmZ1IwV-1080x1542.jpg,2022-05-20
輪到你了 劇場版,Your Turn to Kill: The Movie,96%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/bQxHkeSHdDORoEap5AuT-800x1170.jpg,2022-05-13
漁港的肉子,Fortune Favors Lady Nikuko,67%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/RbVTCHgTnAY8sYmSSGlX-1080x1519.jpg,2022-05-13
鹿王,The Deer King,80%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/JAKAE2vLOWehh060lnPy-1080x1524.jpg,2022-05-13
鯊顫,Shark Bait,50%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/YWYdrtFluudRhvjnUKLr-1080x1544.jpg,2022-05-13
空氣殺人,Toxic,98%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/VKAOVgevov2cZslSSX35-800x1146.jpg,2022-05-13
猛鬼大學：第2學期,Haunted Universities 2：Second Semester,75%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/GqsIJtVsyDwQxPKNMSQE-1080x1538.jpg,2022-05-13
阿哈：帶我走,A-ha - The Movie,75%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/hifG2p8uCfgkJMLXa928-1080x1538.jpg,2022-05-13
格瑞特真相,The Greater Good,0,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/DFCHLzl4bDZtR2cvE4Rz-1080x1542.jpg,2022-05-13
親愛的童伴,Petite maman,100%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/YGUENvRxfkTBl1Y7Lat5-1080x1538.jpg,2022-05-13
一家之主,Reclaim,60%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/TmwgD5qn0ZyHeE2lbCRf-1080x1542.jpg,2022-05-06
奇異博士2：失控多重宇宙,Doctor Strange in the Multiverse of Madness,98%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/rzHcO2XZWzQxrMn1TlMG-1280x1827.jpg,2022-05-04
售命,Life For Sale,76%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/3FoVA64X6Zu1uLAlZ2qo-1080x1537.jpg,2022-04-29
媽的多重宇宙,Everything Everywhere All at Once,87%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/eJLS7BFacgQXl6hbNAAv-1080x1542.jpg,2022-04-22
急急復雞雞,Popran,100%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/zcrGaCwktQlveEr2qFW0-1080x1543.jpg,2022-04-22
超吉任務,The Unbearable Weight of Massive Talent,98%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/3HIxYQVqyFQ7iMEqNluz-992x1418.jpg,2022-04-22
重慶森林,Chungking Express,100%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/xmWDTQw6GgKot1A02dBS-1080x1538.jpg,2022-04-22
友你才精彩,Beautiful Minds,50%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/atpFKQr8KwA541NmMrYw-1080x1543.jpg,2022-04-15
怪獸與鄧不利多的秘密,Fantastic Beasts: The Secrets of Dumbledore,96%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/gyDW2yUJ0rEXsmI6czOD-1080x1541.jpg,2022-04-14
那些得不到保護的人,In The Wake,89%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/February2022/RoANW1VVoBZjG5NAwxCi-1280x1824.jpg,2022-04-08
電影版 如果30歲還是處男，似乎就能成為魔法師,“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie,98%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/zKLpDTkCEOtqSGQektqi-1080x1543.jpg,2022-04-08
魔比斯,Morbius,88%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/February2022/sXZa4xYtkB4DvEtBjq8x-1080x1542.jpg,2022-04-01
音速小子2,Sonic the Hedgehog 2,83%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/GuXfkhKMr4jyuc00EydE-1080x1558.jpg,2022-04-01
頭七,Funeral,88%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/5TYtQSNnyRiSvYk71qhC-1280x1850.jpg,2022-04-01
劫命救護,Ambulance,81%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/76rrlWhYXNTAQywJjFNz-1280x2132.jpg,2022-03-25
咒,Incantation,97%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/February2022/vjyrHV1QwVaAya1lA1Jg-500x714.jpg,2022-03-18
壞蛋聯盟,The Bad Guys,90%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/December2021/XWMtyWEGyund7zaagAKt-514x700.jpg,2022-03-18
獵殺戰場,Monsters of Man,89%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/February2022/kQiuswnoPyfwytzYTB88-1080x1539.jpg,2022-03-18
丟包大作戰,You Keep The Kids!,83%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/February2022/4YlyOXGMPUHXq0zw3Cfl-1080x1543.jpg,2022-03-18
全面掃蕩,Clean,86%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/February2022/ps52d9uFlR08cUepQoDz-1080x1527.jpg,2022-03-18
少年吔,Untouchable,78%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/February2022/o69axPeHfwtdHoCEaAS2-1080x1594.jpg,2022-03-18
貝爾法斯特,Belfast,75%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/February2022/ofOcjGp56Jr9WUkpoLXF-1080x1558.jpg,2022-03-11
蝙蝠俠,The Batman,94%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/January2022/0Y14kp9wm5gx1gJNRBr6-1382x2048.jpg,2022-03-03
黑光行動,Blacklight,94%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/January2022/wkiheuzmUhyRDsodLksD-1080x1542.jpg,2022-02-25
劇場版 咒術迴戰 0,Jujutsu Kaisen 0: The Movie,96%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/January2022/I2Sygucd2Fgiv8RyJZGr-1080x1542.jpg,2022-02-24
世界上最爛的人,The Worst Person in the World,77%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/January2022/038DsCAblJ85ZYCjNFJX-1080x1542.jpg,2022-02-18
秘境探險,Uncharted,91%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/January2022/KBW5d0AM3mVAOKbP0PJh-1280x1827.jpg,2022-02-17
尼羅河謀殺案,Death on the Nile,93%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/December2021/J1J7mxhTzoiWimP41M0n-1080x1543.jpg,2022-02-11
娶我吧！,Marry Me,76%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/November2021/Dv6fbzDa88oMRFgqbTri-1080x1711.jpg,2022-02-11
在車上,Drive My Car,89%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/January2022/rXlmPq6jO5OTpca2NupK-1080x1543.jpg,2022-02-11
素還真,DEMIGOD：The Legend Begins,92%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/December2021/vWEVhnM9b0DicJxyJLgZ-1080x1528.jpg,2022-01-28
天堂計劃,Everything Went Fine,75%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/December2021/BYQ3ZeyDSgKiaNVnBnu6-2480x3508.jpg,2022-01-07
