中文片名,英文片名,期待度,海報圖片,上映日
露草,Tsuyukusa,43%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/uammKdP3vxys9UOC0PPC-737x1077.jpg,2022-06-10
我的夏日大戀習,One Summer Story,60%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/m0xCqOM4PtkSZdhf9ILI-1080x1543.jpg,2022-06-10
餘命10年,The Last 10 Years,98%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/yM1FhvrguPsUg3YhPiF6-1080x1542.jpg,2022-06-10
黎巴嫩的天空,1982,100%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/Z8iDlKYWdnHjlhej07Rq-1080x1541.jpg,2022-06-10
熟女解放中,The Book of Delights,100%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/e5kk8HmBvptUQDfgbWda-1080x1543.jpg,2022-06-10
侏羅紀世界：統霸天下,Jurassic World Dominion,98%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/3YlWZrhHyJ303TaWbMoE-1080x1711.jpg,2022-06-08
PINA,PINA,80%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/4UwHYjHe6gjflmxUHOGp-1080x1542.jpg,2022-06-03
終極夜路,Gasoline Alley,80%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/dn2BIzDFfJ0D3eaX43Sf-1080x1543.jpg,2022-06-02
進擊的地才,The Novice,75%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/O4HyAZj90xX3lvCzGylw-1080x1600.jpg,2022-06-02
們,Men,100%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/OWNsqJ2a0TRIuVhiUitb-992x1417.jpg,2022-06-02
