幣別,幣別,現金匯率,,即期匯率,,遠期匯率,歷史匯率,歷史匯率,現金匯率,,即期匯率,
,本行買入,本行賣出,本行買入,本行賣出,,本行買入,本行賣出,本行買入,本行賣出
美金 (USD)                                                            美金 (USD),29.34,30.01,29.69,29.79,查詢,查詢,29.34,30.01,29.69,29.79
港幣 (HKD)                                                            港幣 (HKD),3.632,3.836,3.758,3.818,查詢,查詢,3.632,3.836,3.758,3.818
英鎊 (GBP)                                                            英鎊 (GBP),34.59,36.71,35.6,36,查詢,查詢,34.59,36.71,35.6,36
澳幣 (AUD)                                                            澳幣 (AUD),20.16,20.94,20.45,20.65,查詢,查詢,20.16,20.94,20.45,20.65
加拿大幣 (CAD)                                                            加拿大幣 (CAD),22.45,23.36,22.85,23.05,查詢,查詢,22.45,23.36,22.85,23.05
新加坡幣 (SGD)                                                            新加坡幣 (SGD),20.81,21.72,21.3,21.48,查詢,查詢,20.81,21.72,21.3,21.48
瑞士法郎 (CHF)                                                            瑞士法郎 (CHF),28.97,30.17,29.65,29.9,查詢,查詢,28.97,30.17,29.65,29.9
日圓 (JPY)                                                            日圓 (JPY),0.2117,0.2245,0.219,0.223,查詢,查詢,0.2117,0.2245,0.219,0.223
南非幣 (ZAR)                                                            南非幣 (ZAR),-,-,1.821,1.901,查詢,查詢,-,-,1.821,1.901
瑞典幣 (SEK)                                                            瑞典幣 (SEK),2.55,3.07,2.89,2.99,查詢,查詢,2.55,3.07,2.89,2.99
紐元 (NZD)                                                            紐元 (NZD),18.04,18.89,18.42,18.62,查詢,查詢,18.04,18.89,18.42,18.62
泰幣 (THB)                                                            泰幣 (THB),0.72,0.91,0.8324,0.8724,查詢,查詢,0.72,0.91,0.8324,0.8724
菲國比索 (PHP)                                                            菲國比索 (PHP),0.4831,0.6161,-,-,查詢,查詢,0.4831,0.6161,-,-
印尼幣 (IDR)                                                            印尼幣 (IDR),0.00168,0.00238,-,-,查詢,查詢,0.00168,0.00238,-,-
歐元 (EUR)                                                            歐元 (EUR),30.37,31.71,30.99,31.39,查詢,查詢,30.37,31.71,30.99,31.39
韓元 (KRW)                                                            韓元 (KRW),0.02129,0.02519,-,-,查詢,查詢,0.02129,0.02519,-,-
越南盾 (VND)                                                            越南盾 (VND),0.00106,0.00147,-,-,查詢,查詢,0.00106,0.00147,-,-
馬來幣 (MYR)                                                            馬來幣 (MYR),5.718,7.198,-,-,查詢,查詢,5.718,7.198,-,-
人民幣 (CNY)                                                            人民幣 (CNY),4.325,4.487,4.397,4.447,查詢,查詢,4.325,4.487,4.397,4.447
