NO,salary,educ,freq,compan,purpose,average
1,3,4,4,3,2,2
2,4,4,1,1,1,2
3,3,3,6,2,1,2
4,4,4,2,3,2,4
5,1,3,1,3,2,2
6,1,3,4,3,2,3
7,1,2,4,1,1,4
8,6,4,3,1,1,4
9,5,3,3,2,1,2
10,4,3,3,3,1,3
11,1,2,2,2,1,2
12,2,3,2,3,3,3
13,3,3,2,3,2,3
14,3,3,4,1,1,3
15,4,3,4,1,1,3
16,2,3,4,2,1,2
17,3,3,2,1,1,2
18,2,3,4,3,2,2
19,3,4,2,4,1,2
20,3,3,4,4,1,3
21,3,3,4,3,1,2
22,2,3,1,3,2,2
23,5,4,1,2,5,2
24,3,3,3,3,3,2
25,4,3,4,3,2,2
26,2,3,4,3,2,2
27,3,3,3,3,2,2
28,2,3,5,3,1,2
29,3,3,4,3,2,4
30,3,3,5,1,1,2
31,2,3,4,3,1,3
32,2,3,2,1,1,2
33,3,3,4,3,1,2
34,1,4,4,3,2,2
35,2,3,2,4,2,3
36,3,3,4,3,1,2
37,2,3,5,6,5,1
38,4,4,1,5,4,4
39,2,3,4,4,2,2
40,2,3,4,6,1,3
41,3,3,3,4,2,2
42,2,3,4,3,2,1
43,3,3,1,3,3,2
44,2,4,3,3,2,2
45,2,3,4,3,4,5
46,1,3,1,3,5,2
47,2,3,5,1,2,2
48,2,3,4,3,1,2
49,2,3,4,3,3,3
50,2,3,2,4,1,2
51,1,3,1,3,5,2
52,6,3,2,4,4,5
53,4,3,1,5,1,2
54,4,4,2,4,2,3
55,6,3,1,4,4,2
56,2,3,5,6,5,5
57,2,3,4,3,2,2
58,2,3,5,3,2,2
59,2,3,5,6,5,2
60,3,3,1,4,3,5
61,6,3,3,3,2,4
62,3,3,3,3,1,2
63,6,3,2,4,1,2
64,3,3,1,4,4,3
65,3,3,4,3,2,4
66,4,3,1,1,1,2
67,2,3,4,1,3,4
68,3,3,3,3,1,3
69,3,3,3,3,2,4
70,2,3,3,2,3,3
71,4,3,1,1,1,2
72,3,3,4,3,2,2
73,2,3,2,4,1,3
74,4,3,1,3,1,3
75,4,4,2,4,4,3
76,6,3,1,3,3,2
77,5,3,2,5,4,2
78,3,3,2,1,1,4
79,2,3,3,5,3,2
80,3,3,2,5,2,3
81,2,3,5,3,2,2
82,5,4,1,3,2,3
83,4,4,1,1,1,2
84,6,3,3,3,3,3
85,4,4,2,1,3,3
86,1,3,3,1,2,3
87,3,3,3,1,1,2
88,4,4,1,1,3,3
89,1,3,1,3,1,5
90,4,3,4,1,2,2
91,1,3,4,3,5,1
92,6,3,5,4,2,4
93,4,4,4,3,2,2
94,3,3,1,3,2,2
95,3,3,4,3,2,1
96,5,3,1,3,2,2
97,4,3,4,4,2,2
98,5,3,1,1,2,5
99,4,3,2,3,1,3
100,3,3,2,4,2,2
101,3,3,3,2,3,2
102,1,3,4,3,1,2
103,3,3,3,3,2,2
104,3,3,4,3,2,1
105,3,3,4,3,2,1
106,3,3,4,3,2,1
107,3,3,4,3,1,2
108,3,3,4,1,1,2
109,3,3,4,2,2,2
110,3,3,5,3,1,2
111,4,1,2,2,1,2
112,3,3,5,3,1,2
113,4,4,1,3,2,3
114,3,3,3,3,1,2
115,3,3,4,3,2,2
116,3,3,4,1,3,2
117,3,3,4,3,2,2
118,3,4,4,3,2,1
119,1,3,2,1,3,3
120,3,3,4,3,1,2
121,3,3,5,6,2,2
122,3,3,2,2,1,3
123,1,3,4,3,1,2
124,1,3,1,3,1,2
125,1,3,1,3,1,2
126,5,3,5,6,5,1
127,5,4,1,2,2,3
128,3,4,5,2,2,2
129,3,3,1,3,2,2
130,4,3,3,3,2,3
131,5,3,2,2,1,2
132,4,4,3,3,2,3
133,3,3,5,1,2,2
134,1,3,1,1,3,1
135,5,3,4,1,2,2
136,1,3,4,1,3,2
137,6,3,4,3,4,5
138,3,3,4,3,2,2
139,2,3,1,1,3,3
140,4,3,2,4,4,4
141,4,3,3,1,1,4
142,3,3,4,1,1,4
143,4,4,4,4,3,3
144,4,3,1,1,1,4
145,3,2,2,1,1,2
146,4,3,4,3,1,2
147,3,3,2,3,2,4
148,5,3,4,4,1,3
149,4,4,1,1,3,5
150,5,4,2,3,2,5
151,4,3,4,3,2,1
152,3,2,2,2,2,4
153,5,3,5,6,5,3
154,6,3,2,2,2,4
155,5,1,2,2,1,5
156,4,3,4,2,2,5
157,2,2,2,3,2,2
158,6,4,2,4,4,5
159,4,2,2,3,2,4
160,1,2,1,1,3,4
161,3,2,2,3,2,3
162,6,3,2,3,2,5
163,4,3,4,4,1,5
164,3,2,4,2,2,3
165,3,2,2,2,2,4
166,6,2,2,5,1,5
167,5,4,2,1,4,3
168,1,4,2,3,1,5
169,2,4,2,3,1,5
170,1,2,1,3,2,2
171,3,3,1,2,1,2
172,4,4,1,2,1,3
173,3,4,1,2,1,3
174,2,3,2,2,2,2
175,6,3,2,2,2,4
176,4,1,4,4,1,4
177,4,1,1,2,3,4
178,6,1,1,1,2,5
179,1,4,2,3,2,2
180,3,2,2,3,1,2
181,5,3,2,1,4,3
182,6,4,4,1,3,2
183,1,4,1,1,3,3
184,1,4,5,5,4,2
185,3,3,4,3,2,2
186,4,3,1,3,2,2
187,6,3,1,3,2,3
188,6,3,2,3,4,3
189,4,3,2,1,2,2
190,5,3,1,3,4,3
191,5,3,1,3,4,3
192,5,3,2,5,4,4
193,5,3,4,5,4,3
194,5,4,2,3,2,2
195,6,3,1,5,4,4
196,3,3,4,3,2,2
197,4,3,4,4,4,2
198,4,3,2,3,1,2
199,4,4,2,4,4,3
200,5,3,4,2,1,3
201,1,3,4,2,2,3
202,4,3,4,4,2,1
203,5,3,4,4,1,2
204,6,4,2,2,2,5
205,1,3,5,3,1,2
206,6,4,1,4,1,2
207,5,3,4,4,1,2
208,3,3,2,3,2,2
209,4,3,5,4,4,1
210,5,3,4,4,1,2
211,6,3,4,3,5,2
212,6,3,3,3,1,2
213,4,3,4,4,1,2
214,4,3,4,3,2,2
215,3,3,4,3,3,2
216,3,2,4,2,2,2
217,4,3,4,1,2,2
218,4,3,4,3,2,2
219,1,2,3,1,1,2
220,3,3,1,2,2,2
221,2,3,4,1,1,2
222,2,3,3,3,2,2
