ID,cnt_call,cnt_msg,cnt_wei,cnt_web
001964627,46,90,36,31
003107769,53,2,0,2
003686296,28,24,5,8
003961002,9,2,0,4
004174839,145,2,0,1
005068087,186,4,3,1
005574319,34,34,31,16
005733390,61,3,0,2
006148334,87,14,14,7
006190226,103,2,0,2
006794044,22,2,0,1
008806327,58,2,0,1
009337857,56,30,45,22
009545675,106,2,0,2
012830089,54,5,0,2
013088420,28,9,30,12
013830644,110,54,28,22
014321378,89,50,31,22
017432437,13,9,1,2
018297289,28,40,21,14
018633203,3,2,0,0
019006275,90,30,10,9
019501849,57,2,0,1
022213441,75,34,46,23
023746234,15,13,7,7
024574017,144,33,90,37
031203185,84,8,1,2
033523674,79,16,7,6
038470850,144,2,0,2
040524929,12,10,1,2
042571470,14,2,0,2
044444171,60,2,0,1
044733230,10,5,0,3
046056236,59,5,12,4
049342221,163,19,4,5
049853771,56,42,11,13
051873745,45,2,0,1
054493626,40,2,0,1
056918870,92,34,8,10
057335986,41,5,0,2
059319033,19,11,2,3
064837074,7,2,0,0
066008620,111,19,41,18
067695886,80,2,0,0
070393919,48,52,22,18
071533065,110,14,6,6
071601391,50,7,1,1
076205684,89,2,0,1
076856670,50,20,4,5
080175682,33,2,0,0
080532151,45,34,40,21
081616872,14,2,0,0
082578429,68,2,0,3
083350197,30,42,17,14
083644879,328,2,0,1
085307522,9,23,5,9
087241863,58,88,55,35
087469631,135,21,5,7
089616802,190,16,53,21
090120796,33,2,23,8
092749578,44,10,30,12
093567222,36,4,14,5
095011593,79,2,6,2
096766333,13,2,0,0
098409940,124,9,1,4
098988350,14,2,0,0
100050907,57,2,0,1
101124040,63,5,0,2
104011739,43,37,10,9
105023634,39,2,0,0
105080681,13,4,0,1
105103356,23,14,15,10
107977170,110,32,8,8
108669317,7,29,14,10
115103248,65,2,0,0
118563063,101,25,30,17
119043769,144,2,0,1
119597006,75,2,0,0
120129156,46,23,13,10
121518058,70,2,0,1
122042785,133,19,105,39
125419152,4,6,0,4
128254222,10,2,0,0
128326127,8,6,0,3
129176318,120,2,0,2
130055921,12,2,0,2
130078026,81,2,8,4
136274207,7,11,2,5
136322860,174,21,5,8
137042222,286,2,0,0
138730564,116,30,19,10
