ID,PROD
30924038,和动漫
30924038,本地通话
30924038,来电提醒
30924038,飞信
30924062,和动漫
30924062,咪咕阅读
30924062,咪咕音乐
30924062,本地通话
30924062,来电提醒
30924167,咪咕阅读
30924167,国内漫游
30924167,本地通话
30924167,语音信箱
30924255,本地通话
30924492,和动漫
30924492,国内长途
30924492,彩铃
30924492,本地通话
30924492,来电提醒
30924492,短信回执
30924492,飞信
30924548,和通讯录
30924548,咪咕阅读
30924548,本地通话
30924548,来电提醒
30924685,MM
30924685,和动漫
30924685,咪咕阅读
30924685,国内漫游
30924685,国内长途
30924685,彩铃
30924685,本地通话
30924685,来电提醒
30924685,飞信
30924757,国内长途
30924773,MM
30924773,和动漫
30924773,和视界
30924773,咪咕阅读
30924773,来电提醒
30924812,和通讯录
30924812,国内长途
30924812,本地通话
30924861,国内漫游
30924861,国内长途
30924861,本地通话
30924861,短信回执
30924915,国内漫游
30924915,手机报
30925143,和动漫
30925143,咪咕阅读
30925143,咪咕音乐
30925143,国内长途
30925143,手机报
30925143,本地通话
30925143,来电提醒
30925143,飞信
30925250,本地通话
30925696,和动漫
30925696,咪咕阅读
30925696,来电提醒
30925696,飞信
30925731,MM
30925731,和动漫
30925731,和视界
30925731,和通讯录
30925731,咪咕阅读
30925731,国内漫游
30925731,国内长途
30925731,彩铃
30925731,本地通话
30925731,来电提醒
30926017,和视界
30926017,国内漫游
30926017,国内长途
30926017,手机报
30926084,MM
30926084,和视界
30926084,国内漫游
30926084,国内长途
30926084,彩铃
30926084,本地通话
30926121,国内漫游
30926121,国内长途
30926121,本地通话
30926121,短信回执
30926210,和视界
30926210,国内漫游
30926210,国内长途
30926210,本地通话
30926228,和动漫
30926228,咪咕阅读
30926228,国内长途
30926228,手机报
30926228,本地通话
30926228,来电提醒
30926228,短信回执
30926308,国内长途
30926566,国内长途
30926566,彩铃
30927253,本地通话
30927698,MM
30927698,国内漫游
30927698,国内长途
30927833,MM
30927833,国内漫游
30927833,国内长途
30927833,本地通话
30928692,MM
30928692,国内漫游
30928692,国内长途
30928692,彩铃
30928692,本地通话
30928713,和视界
30928713,国内漫游
30928713,国内长途
30928713,本地通话
30929953,彩铃
30930056,和视界
30930056,国内漫游
30930056,国内长途
30930056,彩印
30930056,本地通话
30930056,短信回执
30930407,和视界
30930407,国内漫游
30930407,国内长途
30930407,本地通话
30931514,国内漫游
30931514,国内长途
30931514,彩印
30931514,本地通话
30931514,短信回执
30932118,国内长途
30932118,彩铃
30932206,国内漫游
30932206,国内长途
30934863,MM
30934863,本地通话
30935124,MM
30935124,咪咕阅读
30935124,彩铃
30935124,本地通话
30935124,来电提醒
30936932,国内长途
30937961,国内漫游
30937961,本地通话
