Year,PopGrow
1949,16
1950,19
1951,20
1952,20
1953,23
1954,24
1955,20.32
1956,20.5
1957,23.23
1958,17.24
1959,10.19
1960,-4.74
1961,3.78
1962,26.99
1963,33.33
1964,27.64
1965,28.38
1966,26.22
1967,25.53
1968,27.38
1969,26.08
1970,25.83
1971,23.33
1972,22.16
1973,20.89
1974,17.48
1975,15.69
1976,12.66
1977,12.06
1978,12
1979,11.61
1980,11.87
1981,14.55
1982,15.68
1983,13.29
1984,13.08
1985,14.26
1986,15.57
1987,16.61
1988,15.73
1989,15.04
1990,14.39
1991,12.98
1992,11.6
1993,11.45
1994,11.21
1995,10.5
1996,10.42
1997,10.06
1998,9.14
1999,8.18
2000,7.58
2001,6.95
2002,6.45
2003,6.01
2004,5.87
