target_flag,gender,education,home_value,age,buy_online,mosaic_group,marital,poc,occupation,mortgage,home_owner,region,new_car,home_income
Y,M,4. Grad,756460,1_Unk,N,B,,U,Professional,1Low,,Midwest,1,L
N,F,3. Bach,213171,7_>65,N,E,,U,Professional,1Low,Owner,Northeast,3,G
N,M,2. Some College,111147,2_<=25,Y,C,,Y,Professional,1Low,Owner,Midwest,1,J
Y,M,2. Some College,354151,2_<=25,Y,B,Single,U,Sales/Service,1Low,,West,2,L
Y,F,2. Some College,117087,1_Unk,Y,J,Married,Y,Sales/Service,1Low,,South,7,H
Y,F,3. Bach,248694,6_<=65,Y,B,Married,N,Professional,2Med,Owner,West,1,G
Y,M,3. Bach,2000000,1_Unk,Y,A,Married,U,Professional,1Low,,Northeast,5,C
N,F,3. Bach,416925,5_<=55,Y,C,Married,Y,Professional,1Low,Owner,South,2,I
N,F,1. HS,207676,4_<=45,Y,G,,Y,Blue Collar,1Low,Renter,West,5,D
Y,M,1. HS,241380,1_Unk,Y,C,Married,U,Sales/Service,1Low,,Northeast,6,G
N,M,2. Some College,158268,7_>65,Y,C,,Y,Sales/Service,2Med,Owner,Midwest,3,E
Y,F,3. Bach,245686,4_<=45,N,F,Married,U,Blue Collar,1Low,Owner,South,3,E
Y,F,2. Some College,360587,5_<=55,Y,C,Married,Y,Professional,3High,Owner,Midwest,1,J
N,M,0. <HS,0,2_<=25,Y,I,,N,Others,1Low,,West,6,C
Y,F,3. Bach,380431,6_<=65,Y,B,,U,Professional,1Low,Owner,South,2,A
Y,M,0. <HS,162884,1_Unk,Y,G,Married,Y,Professional,1Low,Renter,South,7,C
N,F,1. HS,0,7_>65,N,I,Married,N,Retired,1Low,Owner,South,5,E
Y,F,2. Some College,239560,5_<=55,Y,C,Married,Y,Sales/Service,2Med,Owner,Midwest,3,F
N,M,0. <HS,60822,1_Unk,N,G,Single,Y,Blue Collar,1Low,Renter,Midwest,9,C
N,M,1. HS,90426,4_<=45,Y,I,,N,Blue Collar,1Low,Owner,South,6,E
Y,F,4. Grad,408750,3_<=35,Y,F,,Y,Sales/Service,3High,Owner,West,3,F
Y,M,3. Bach,0,4_<=45,N,G,Married,U,Professional,1Low,Renter,West,8,F
N,F,2. Some College,136729,4_<=45,Y,C,Married,Y,Blue Collar,1Low,Owner,Midwest,4,G
N,U,0. <HS,452622,3_<=35,N,F,Single,U,Professional,1Low,Renter,South,1,D
N,M,0. <HS,128402,1_Unk,N,G,Single,U,Sales/Service,1Low,Renter,Northeast,8,A
Y,M,3. Bach,308817,3_<=35,Y,C,Married,Y,Sales/Service,1Low,Renter,South,2,F
