,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
22,income=1.0,0.0,,,,,,,
37,income=16.0,0.0,,,,,,,
35,income=14.0,0.0,,,,,,,
33,income=12.0,0.0,,,,,,,
32,income=11.0,0.0,,,,,,,
31,income=10.0,0.0,,,,,,,
30,income=9.0,0.0,,,,,,,
29,income=8.0,0.0,,,,,,,
26,income=5.0,0.0,,,,,,,
25,income=4.0,0.0,,,,,,,
24,income=3.0,0.0,,,,,,,
23,income=2.0,0.0,,,,,,,
19,educ=5.0,0.0,,,,,,,
18,educ=4.0,0.0,,,,,,,
16,educ=2.0,0.0,,,,,,,
45,income=24.0,0.0,,,,,,,
13,TVnews=6.0,0.0,,,,,,,
12,TVnews=5.0,0.0,,,,,,,
11,TVnews=4.0,0.0,,,,,,,
10,TVnews=3.0,0.0,,,,,,,
15,educ=1.0,0.0,,,,,,,
40,income=19.0,0.00160139639389718,,,,,,,
36,income=15.0,0.0016094921565473351,,,,,,,
41,income=20.0,0.0016336316095980291,,,,,,,
42,income=21.0,0.002547537565888145,,,,,,,
39,income=18.0,0.0030596049962166136,,,,,,,
8,TVnews=1.0,0.0031004812290830568,,,,,,,
44,income=23.0,0.003243426298873542,,,,,,,
21,educ=7.0,0.006070854735917463,,,,,,,
20,educ=6.0,0.006378011419915044,,,,,,,
7,TVnews=0.0,0.007515181885407606,,,,,,,
27,income=6.0,0.008805254112063966,,,,,,,
34,income=13.0,0.010876326870274764,,,,,,,
17,educ=3.0,0.011849304320616458,,,,,,,
9,TVnews=2.0,0.012217052497548665,,,,,,,
38,income=17.0,0.013352358528881754,,,,,,,
14,TVnews=7.0,0.013720333413115113,,,,,,,
28,income=7.0,0.017566411297869945,,,,,,,
0,popul,0.022789158572081678,541.0165892749748,0.0010171547185989494,-0.0029520436123578082,0.0013647361574713201,0.0043775773515904465,0.0,0.0
43,income=22.0,0.0359613072225669,,,,,,,
6,logpopul,0.04692430024811284,1.5926774838565925,0.0023025424632013513,-0.005406636055619177,0.003939931298423732,0.008757933018849173,0.0,0.00184820748246879
5,age,0.05067757395931508,8.207214737650663,-0.0001310488876594653,0.00033233516041325875,0.004235881033181858,0.004519087545673688,0.0,0.0
1,selfLR,0.1003918529117281,0.7188370355606495,-0.044319871060703286,0.025102917762580442,0.04889623640394555,0.030474662820413518,0.010862010804314122,0.009983006937061443
3,DoleLR,0.1097124931509727,0.6343384507006852,0.02497766453941204,-0.044493634293408135,0.03732166542345903,0.04917175089726718,0.010385663126843692,0.007117088437889859
2,ClinLR,0.1197901022518348,0.69149614083844,0.042334139919283885,-0.04923637202678629,0.04601748712785947,0.05173162176557754,0.014393904400793696,0.016894926782965707
4,PID,0.3886065523516732,1.136066333387874,-0.05930451057365461,0.033113826059713386,0.06246943779729264,0.03522138647541656,0.006770471037901056,0.007261276635675618
