宝贝标题,图片Url,详情页Url,价格,销量,位置,货号,品牌,厚薄,面料,年份季节,中老年风格,中老年女装图案,适用年龄,裙长,裙型,成分含量,服装款式细节
阿妈迷中老年夏新款民族风女装裙中国风中长款a字型裙休闲半身裙,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1kWoRQXXXXXamXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546866309713&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=0,89.00,9人付款,北京,AMM1703CQ1617 ,阿妈迷 ,,聚酯 ,2017年夏季 ,民族风 ,碎花 ,50-59周岁 ,中长款 ,,91%(含)-95%(含) ,绑带 
阔太2017春季新款半身裙百搭修身宽松轻薄百褶裙中长款时尚妈妈裙,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1G_hVOVXXXXa2aXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=543499072329&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=0,299.00,17人付款,广东 深圳,6710456 ,阔太 ,薄 ,聚酯 ,2017年春季 ,时尚 ,纯色 ,,中长款 ,百褶裙 ,96%及以上 ,褶皱 
香颜中老年女装夏季印花真丝连衣裙妈妈装夏装半袖桑蚕丝新款裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB15YP6QFXXXXavXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549064562133&ns=1&abbucket=0,318.00,405人付款,浙江 嘉兴,XYZLK8726 ,香颜 ,适中 ,蚕丝 ,2017年夏季 ,时尚 ,其他 ,40-49周岁 ,中长款 ,,96%及以上 ,绑带 
妈妈夏装旗袍领连衣裙新款潮40-50岁中年妇女时尚中长款雪纺裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1RXzrRXXXXXXYXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548877965709&ns=1&abbucket=0,118.00,286人付款,江苏 苏州,C-X-YSM1766 ,雪夕 ,薄 ,聚酯 ,2013年夏季 ,民族风 ,花鸟图案 ,40-49周岁 ,中长款 ,蛋糕裙 ,96%及以上 ,纽扣 
夏装中老年女装大码垂坠冰丝凉爽妈妈半身裙子裙裤阔腿裤,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/1670989837/TB2xJ0onJFopuFjSZFHXXbSlXXa_!!1670989837.jpg,https://item.taobao.com/item.htm?id=547588619298&ns=1&abbucket=0#detail,88.00,387人付款,江苏 苏州,888,,,,"2016年夏季,2017年春季",,花色,,,,,
妈妈夏天半袖连衣裙40岁中老年女装2017新款夏款中长款短袖裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/833894620/TB2RUXYqSVmpuFjSZFFXXcZApXa_!!833894620.jpg,https://item.taobao.com/item.htm?id=547908333581&ns=1&abbucket=0#detail,59.00,570人付款,北京,支持真品,,薄,,2017年夏季,时尚,纯色,40-49周岁,中长款,,,口袋
天天特价中老年女装夏装短裙妈妈装松紧高腰半身裙大码广场舞裙子,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/1645603952/TB2gvJ3itRopuFjSZFtXXcanpXa_!!1645603952.jpg,https://item.taobao.com/item.htm?id=546410061991&ns=1&abbucket=0#detail,18.00,263人付款,江苏 苏州,2017,自主品牌,薄,聚酯,2017年夏季,时尚,花色,50-59周岁,中裙,百褶裙,96%及以上,褶皱
夏季中年妇女装连衣裙夏天民族风中长款复古裙子中老年妈妈装夏装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1Pu3DQpXXXXanaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548360251832&ns=1&abbucket=0,128.00,214人付款,浙江 嘉兴,slf/2017040910 ,淑丽坊 ,薄 ,其他 ,2017年夏季 ,民族风 ,花鸟图案 ,50-59周岁 ,中长款 ,,96%及以上 ,褶皱 
中老年女装夏装半身裙子中年妈妈装夏季百褶裙中裙半裙跳舞群高腰,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/909765262/TB2yD0cmodnpuFjSZPhXXbChpXa_!!909765262.jpg,https://item.taobao.com/item.htm?id=547923067029&ns=1&abbucket=0#detail,24.80,186人付款,江苏 苏州,松紧半身裙大裙摆,,,涤纶,2017年夏季,时尚,花色,40-49周岁,中裙,百褶裙,91%(含)-95%(含),
新款中老年半身裙夏季中年女装大码松紧腰裙长裙妈妈装冰丝太阳裙,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1.p_NLpXXXXafXXXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=526425001974&ns=1&abbucket=0#detail,38.00,224人付款,河北 廊坊,,,薄,"聚酯,其他",2016年夏季,时尚,其他,50-59周岁,中裙,其他,,
中老年夏季半袖加肥加大码女装200斤连衣裙子短袖中长款胖妈妈装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1Nx.9OFXXXXb8XpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=543341222966&ns=1&abbucket=0,89.00,318人付款,辽宁 鞍山,V-0003 ,圣世丹雅 ,薄 ,聚酯 ,2017年春季 ,民族风 ,花鸟图案 ,,中长款 ,不规则裙 ,96%及以上 ,荷叶边 
中老年半身裙夏装女中裙 妈妈装松紧腰冰丝太阳裙跳舞广场舞裙子,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/79803782/TB2vz1SsJBopuFjSZPcXXc9EpXa_!!79803782.jpg,https://item.taobao.com/item.htm?id=545609742520&ns=1&abbucket=0#detail,15.00,163人付款,江苏 苏州,,,薄,"聚酯,其他",2017年夏季,休闲,花色,50-59周岁,中裙,其他,,
中老年女装夏季短裙中年妇女裙裤妈妈装夏装半身裙大码裙子阔腿裤,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/714187561/TB2mmLIrVXXXXasXpXXXXXXXXXX_!!714187561.jpg,https://item.taobao.com/item.htm?id=529075970742&ns=1&abbucket=0#detail,19.90,229人付款,江苏 苏州,,,薄,"聚酯,其他","2017年春季,2017年夏季",休闲,花色,50-59周岁,中长款,荷叶边裙,,褶皱
