宝贝标题,图片Url,详情页Url,价格,销量,位置,货号,品牌,厚薄,面料,年份季节,中老年风格,中老年女装图案,适用年龄,裤长,服装版型,组合形式,穿着方式,衣长,裙长,领型,袖型,衣门襟,裙型,成分含量,服装款式细节
母亲节衣服中年妈妈装夏装短袖套装30中老年女装春装雪纺衫40岁50,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1MmI0QpXXXXXGaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548403734509&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=0,98.00,8869人付款,浙江 嘉兴,WD-A-01 ,浅恋 ,薄 ,聚酯 ,2017年夏季 ,知性 ,抽象图案 ,40-49周岁 ,,宽松 ,两件套 ,套头 ,常规 ,,V领 ,常规 ,,,96%及以上 ,纽扣 
妈妈装春夏装T恤宽松雪纺衬衫40-50岁中老年女装大码中袖上衣套装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/TB1MKS8RXXXXXc6XpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547319213955&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=0,99.00,25264人付款,湖北 武汉,Q17BW189 ,Q．PARMOE/千百萌 ,适中 ,其他 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,,宽松 ,单件 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,
母亲节衣服夏季妈妈装夏装套装短袖中年妇女40-50中老年女装T恤女,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/1655700751/TB2XvHhkbplpuFjSspiXXcdfFXa_!!1655700751.jpg,https://item.taobao.com/item.htm?id=547398114058&ns=1&abbucket=0#detail,39.00,22624人付款,江苏 苏州,XN705,,薄,"聚酯,其他",2017年夏季,时尚,其他,40-49周岁,七分裤,宽松,两件套,套头,常规,,圆领,蝙蝠袖,,,96%及以上,
妈妈夏装两件套母亲节衣服老人上衣60-70岁人夏季中老年女装套装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1odX.QpXXXXabaXXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=545310431767&ns=1&abbucket=0#detail,29.90,22730人付款,江苏 苏州,qs2181240,,薄,"聚酯,其他","2016年夏季,2017年春季",时尚,花色,50-59周岁,,宽松,两件套,套头,常规,,圆领,常规,,,,
母亲节衣服中老年人女装奶奶短袖两件套中年40岁胖妈妈装夏装套装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/1666568165/TB2LyU8pVXXXXaoXFXXXXXXXXXX_!!1666568165.jpg,https://item.taobao.com/item.htm?id=533135533113&ns=1&abbucket=0#detail,43.80,20796人付款,江苏 苏州,,,薄,棉麻,"2016年夏季,2017年夏季",时尚,花色,40-49周岁,九分裤,宽松,两件套,套头,中长款,,圆领,常规,,,,口袋
母亲节衣服夏季中老年女装夏装套装中年40-50岁妈妈装短袖两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1Q3ZDQVXXXXa7XVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549189310523&ns=1&abbucket=0,59.00,14891人付款,江苏 苏州,2229 ,pllofee/蒲洛妃 ,,聚酯 ,2017年夏季 ,时尚 ,风景 ,40-49周岁 ,,直筒 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,
中老年女装清凉两件套妈妈装夏装大码短袖T恤上衣雪纺衫裙裤套装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1XgpXQXXXXXcyaXXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=546635160504&ns=1&abbucket=0#detail,78.00,27766人付款,上海,,,适中,雪纺,2017年夏季,时尚,花色,40-49周岁,七分裤,宽松,两件套,套头,短款,,POLO领,花瓣袖,一粒扣,,,纽扣
母亲节衣服夏季妈妈装夏装套装短袖中年人40-50岁中老年女装T恤,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB1C4D0QXXXXXcGXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=533330889151&ns=1&abbucket=0,59.00,26562人付款,江苏 苏州,60314TB ,云新 ,薄 ,其他 ,2016年夏季 ,知性 ,花鸟图案 ,40-49周岁 ,七分裤 ,宽松 ,单件 ,套头 ,常规 ,,高领 ,常规 ,,,96%及以上 ,
妈妈装套装春夏装短袖上衣中年人大码40-50岁中老年女装T恤雪纺衫,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1yediRXXXXXb3XXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548529946192&ns=1&abbucket=0,25.00,14538人付款,江苏 苏州,ALJ2025HDJXFS ,AELENGA/爱莱嘉 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,纯色 ,40-49周岁 ,,宽松 ,单件 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,纱网 
母亲节衣服中老年人春装女40岁50中年妈妈装套装夏装奶奶装两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1if2XJVXXXXbkXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=528836555275&ns=1&abbucket=0,89.00,27674人付款,浙江 嘉兴,MN6833 ,韶妃 ,,其他 ,2016年夏季 ,休闲 ,花鸟图案 ,50-59周岁 ,九分裤 ,直筒 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,
