宝贝标题,图片Url,详情页Url,价格,销量,位置,货号,品牌,厚薄,面料,年份季节,中老年风格,中老年女装图案,适用年龄,裤长,服装版型,成分含量,服装款式细节
中老年女裤松紧腰棉麻九分裤妈妈装春装亚麻裤子老年人夏装母亲节,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/TB1TzYVQXXXXXXEapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546468208075&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=0,89.00,3643人付款,上海,8258 ,夕之美 ,薄 ,亚麻 ,2017年春季 ,通勤 ,圆点 ,50-59周岁 ,七分/九分裤 ,宽松 ,30%及以下 ,绣花 
中年妈妈装夏装套装中老年人女装春装上衣裤子两件套奶奶夏季短袖,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/TB14KeURXXXXXbAXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=544910394853&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=0,128.00,12418人付款,浙江 金华,FCH-VB807 ,FACHAIHUA/发财花 ,,聚酯 ,2017年夏季 ,民族风 ,复古图案 ,50-59周岁 ,,修身 ,91%(含)-95%(含) ,口袋 
中老年女裤夏装薄款中年松紧高腰九分裤老年人宽松大码妈妈裤子女,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1iiKDRXXXXXapXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547239115735&ns=1&abbucket=0,69.00,14305人付款,河北 石家庄,17900 ,Loueddss-d/倍艾 ,薄 ,聚酯 ,2017年夏季 ,休闲 ,纯色 ,50-59周岁 ,七分/九分裤 ,直筒 ,96%及以上 ,镶钻 
母亲节衣服中老年人女装奶奶短袖两件套中年40岁胖妈妈装夏装套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1666568165/TB2LyU8pVXXXXaoXFXXXXXXXXXX_!!1666568165.jpg,https://item.taobao.com/item.htm?id=533135533113&ns=1&abbucket=0#detail,43.80,20796人付款,江苏 苏州,,,薄,棉麻,"2016年夏季,2017年夏季",时尚,花色,40-49周岁,九分裤,宽松,,口袋
中老年女装清凉两件套妈妈装夏装大码短袖T恤上衣雪纺衫裙裤套装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1XgpXQXXXXXcyaXXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=546635160504&ns=1&abbucket=0#detail,78.00,27766人付款,上海,,,适中,雪纺,2017年夏季,时尚,花色,40-49周岁,七分裤,宽松,,纽扣
母亲节衣服夏季妈妈装夏装套装短袖中年人40-50岁中老年女装T恤,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB1C4D0QXXXXXcGXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=533330889151&ns=1&abbucket=0,59.00,26562人付款,江苏 苏州,60314TB ,云新 ,薄 ,其他 ,2016年夏季 ,知性 ,花鸟图案 ,40-49周岁 ,七分裤 ,宽松 ,96%及以上 ,
夏季薄款中老年女裤松紧腰九分裤宽松休闲裤中年妈妈裤子女老年人,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2809037268/TB2lOBElipnpuFjSZFIXXXh2VXa_!!2809037268.jpg,https://item.taobao.com/item.htm?id=537380494736&ns=1&abbucket=0#detail,29.00,9328人付款,河南 郑州,w01,,薄,化纤,2017年夏季,休闲,纯色,50-59周岁,长裤,宽松,91%(含)-95%(含),镶钻
母亲节衣服中老年人春装女40岁50中年妈妈装套装夏装奶奶装两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1if2XJVXXXXbkXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=528836555275&ns=1&abbucket=0,89.00,27674人付款,浙江 嘉兴,MN6833 ,韶妃 ,,其他 ,2016年夏季 ,休闲 ,花鸟图案 ,50-59周岁 ,九分裤 ,直筒 ,96%及以上 ,
母亲节衣服妈妈装夏装雪纺套装中老年女装40-50岁短袖修身大码T恤,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2543159439/TB2GV68lXXXXXaJXXXXXXXXXXXX_!!2543159439.jpg,https://item.taobao.com/item.htm?id=527879890813&ns=1&abbucket=0#detail,35.00,13417人付款,江苏 苏州,,,薄,"雪纺,蕾丝,聚酯",2017年春季,休闲,碎花,40-49周岁,七分裤,修身,96%及以上,镶钻
中老年人女装套装夏装妈妈装套装60-70-80岁老奶奶短袖上衣七分裤,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/841624000/TB2zc6nsVXXXXXaXXXXXXXXXXXX_!!841624000.jpg,https://item.taobao.com/item.htm?id=529703517278&ns=1&abbucket=0#detail,45.00,10512人付款,江苏 苏州,D001,,薄,其他,2017年夏季,民族风,花色,50-59周岁,九分裤,宽松,81%(含)-90%(含),镶钻
