宝贝标题,图片Url,详情页Url,价格,销量,位置,货号,品牌,厚薄,面料,年份季节,中老年风格,中老年女装图案,适用年龄,服装版型,组合形式,穿着方式,衣长,领型,袖型,衣门襟,成分含量,服装款式细节
妈妈装春夏装T恤宽松雪纺衬衫40-50岁中老年女装大码中袖上衣套装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/TB1MKS8RXXXXXc6XpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547319213955&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=0,99.00,25351人付款,湖北 武汉,Q17BW189 ,Q．PARMOE/千百萌 ,适中 ,其他 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,套头 ,常规 ,圆领 ,常规 ,,96%及以上 ,
中老年女装七分袖衬衫妈妈装夏装衬衣50岁老年人母亲节夏季衣服40,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB1N0vxPVXXXXc0XFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=526410612410&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=0,89.00,14630人付款,江苏 苏州,NDJ16A001 ,La Dirregy/纳笛佳 ,适中 ,聚酯 ,2016年春季 ,高贵 ,大花 ,40-49周岁 ,直筒 ,单件 ,开衫 ,常规 ,半开领 ,常规 ,单排扣 ,96%及以上 ,纽扣 
中老年衬衫长袖大码女装春装上衣老人衣服夏装中年妇女妈妈装衬衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1kmusRXXXXXXWapXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=546612947864&ns=1&abbucket=0#detail,28.80,3225人付款,北京,4104,other/其他,适中,聚酯,2017年春季,休闲,大花,40-49周岁,宽松,单件,开衫,常规,其他,常规,单排扣,96%及以上,纽扣
中老年女装春装长袖衬衫妈妈装40-50岁T恤上衣中年妇女打底衫夏装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/929217260/TB2jOxwfr0kpuFjy0FjXXcBbVXa_!!929217260.jpg,https://item.taobao.com/item.htm?id=545196508811&ns=1&abbucket=0#detail,29.90,5959人付款,北京,mry05,美如衣,适中,"聚酯,其他","2017年春季,2017年夏季",时尚,大花,40-49周岁,修身,单件,开衫,常规,,常规,单排扣,91%(含)-95%(含),纽扣
中老年女装春夏季七分袖衬衫40-50中年妈妈装开衫上衣大码T恤衬衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i6/TB1ql74PVXXXXcQXVXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=546665517444&ns=1&abbucket=0#detail,26.50,5672人付款,北京,801,卡菲玛依,适中,"聚酯,其他",2017年夏季,通勤,花色,40-49周岁,修身,单件,开衫,常规,POLO领,常规,单排扣,91%(含)-95%(含),纽扣
中老年女装夏装套装妈妈装两件套雪纺衫中年春装T恤母亲节上衣服,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB13ctERXXXXXckXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547871092839&ns=1&abbucket=0,158.00,10834人付款,浙江 嘉兴,XYJXC1717-1 ,香颜 ,适中 ,聚酯 ,2017年夏季 ,时尚 ,条纹 ,40-49周岁 ,修身 ,两件套 ,套头 ,常规 ,POLO领 ,常规 ,单排扣 ,96%及以上 ,肩章 
新款中老年女装夏季长袖妈妈装衬衫女T恤大码纯色夏装修身春装薄,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2803657411/TB2b8YXibJkpuFjy1zcXXa5FFXa_!!2803657411.jpg,https://item.taobao.com/item.htm?id=546984238171&ns=1&abbucket=0#detail,35.90,6669人付款,北京,8088,,薄,莫代尔,2017年夏季,民族风,纯色,40-49周岁,直筒,单件,开衫,常规,立领,常规,单排扣,31%(含)-50%(含),
中老年人女装夏装衬衫套装短袖母亲节衣服50-60-70岁奶奶装春装80,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1cK76QpXXXXaBapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546666085423&ns=1&abbucket=0,108.00,6927人付款,江苏 苏州,X-0104 ,孝慈轩 ,薄 ,聚酯 ,2017年春季 ,时尚 ,花色 ,60周岁以上 ,宽松 ,两件套 ,开衫 ,常规 ,立领 ,常规 ,单排扣 ,96%及以上 ,纽扣 
纯棉中老年衬衫女妈妈装全棉格子长袖衬衫春秋宽松大码衬衣加大码,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/1820388200/TB2AQ25ciGO.eBjSZFpXXb3tFXa_!!1820388200.jpg,https://item.taobao.com/item.htm?id=541319576034&ns=1&abbucket=0#detail,35.00,3055人付款,上海,纯棉衬衫,,适中,纯棉,"2016年春季,2016年秋季",朴实,格子,,宽松,单件,开衫,常规,方领,常规,单排扣,,
妈妈装春夏装雪纺衫大码中老年女装上衣中长袖t恤中年人打底衬衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1AJV0RXXXXXbLaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=45766471660&ns=1&abbucket=0,99.00,9330人付款,湖北 武汉,15B4444 ,千香 ,适中 ,聚酯 ,2016年春季 ,时尚 ,大花 ,40-49周岁 ,宽松 ,假两件 ,开衫 ,常规 ,圆领 ,泡泡袖 ,单排扣 ,96%及以上 ,荷叶边 
40-50岁妈妈装春装衬衣服 中老年女装夏装女长袖女衬衫中年老年人,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1BJ7XPVXXXXaIapXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=546513910309&ns=1&abbucket=0#detail,39.00,4496人付款,北京,XW-CSL,other/其他,薄,"聚酯,其他","2017年春季,2017年夏季",休闲,花色,40-49周岁,修身,单件,开衫,常规,POLO领,常规,单排扣,91%(含)-95%(含),纽扣
新款中老年女装夏装短袖t恤中年妇女妈妈装大码宽松碎花衬衫上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1W9PlQVXXXXcDXpXXXXXXXXXX_!!2-item_pic.png,https://item.taobao.com/item.htm?id=547838524538&ns=1&abbucket=0#detail,9.90,3547人付款,北京,,,薄,聚酯,2017年夏季,通勤,碎花,40-49周岁,宽松,单件,套头,短款,圆领,常规,,,
60-70岁中老年妈妈夏装短袖套装女80岁老人衣服两件套奶奶装衬衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1yG6YRXXXXXctXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546299425876&ns=1&abbucket=0,118.00,6161人付款,江苏 苏州,k176851 ,可可太太 ,薄 ,聚酯 ,2017年夏季 ,民族风 ,花色 ,60周岁以上 ,宽松 ,两件套 ,开衫 ,常规 ,其他 ,衬衫袖 ,单排扣 ,96%及以上 ,绣花 
奶奶装夏装衬衫60岁中老年人女装夏装套装短袖衬衫70老人衣服80,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/1053085030/TB2WW8CnS0jpuFjy0FlXXc0bpXa_!!1053085030.jpg,https://item.taobao.com/item.htm?id=548114524261&ns=1&abbucket=0#detail,49.00,4059人付款,江苏 苏州,,,薄,其他,"2017年夏季,2017年春季",时尚,花色,60周岁以上,宽松,,开衫,常规,POLO领,常规,单排扣,,纽扣
中老年女装夏装短袖T恤大码宽松上衣妈妈装短款衬衫老年人衣服,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/1640489286/TB2OkSmpXXXXXXZXpXXXXXXXXXX_!!1640489286.jpg,https://item.taobao.com/item.htm?id=531859083283&ns=1&abbucket=0#detail,12.80,4112人付款,北京,0126,,薄,聚酯,2017年夏季,时尚,花色,40-49周岁,宽松,单件,套头,短款,圆领,常规,,96%及以上,镶钻
中老年女装衬衫妈妈装春装长袖60-70岁老人衣服奶奶装春秋薄外套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/407534273/TB2MPgRktBopuFjSZPcXXc9EpXa_!!407534273.jpg,https://item.taobao.com/item.htm?id=544449281085&ns=1&abbucket=0#detail,38.00,4145人付款,江苏 苏州,,,适中,聚酯,2017年春季,休闲,花色,60周岁以上,宽松,单件,开衫,常规,POLO领,常规,单排扣,81%(含)-90%(含),口袋
母亲节上衣服夏季中年妈妈春装雪纺衫夏装短袖中老年女装大码外套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1cpEEQFXXXXXbXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=528496057928&ns=1&abbucket=0,99.00,10030人付款,湖北 武汉,Q1631 ,Chophilly＆Co/乔芙丽 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,开衫 ,中长款 ,POLO领 ,常规 ,单排扣 ,96%及以上 ,纽扣 
老人夏装套装60-70岁中老年人女装短袖 奶奶衣服妈妈上衣夏季衬衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB1ViCMQVXXXXc.XpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546841800869&ns=1&abbucket=0,128.00,5988人付款,浙江 金华,T-17017 ,大唐夫人 ,适中 ,聚酯 ,2017年春季 ,福态 ,花色 ,60周岁以上 ,宽松 ,两件套 ,开衫 ,常规 ,其他 ,,单排扣 ,96%及以上 ,纽扣 
中老年衬衫女长袖夏季纯色上衣中年女装大码妈妈装夏装开衫春秋装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/1658190089/TB29CrZjHBnpuFjSZFGXXX51pXa_!!1658190089.jpg,https://item.taobao.com/item.htm?id=547011147711&ns=1&abbucket=0#detail,35.90,4971人付款,北京,8088,考尼斯,,莫代尔,2017年夏季,,纯色,40-49周岁,直筒,单件,开衫,常规,立领,常规,,31%(含)-50%(含),
香颜妈妈装夏装真丝T恤中老年女装短袖上衣服中年女桑蚕丝衬衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1R_2nQFXXXXcvXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547149916546&ns=1&abbucket=0,198.00,8700人付款,浙江 嘉兴,YXZLK8601-1 ,香颜 ,适中 ,蚕丝 ,2017年夏季 ,时尚 ,其他 ,50-59周岁 ,宽松 ,单件 ,套头 ,中长款 ,V领 ,常规 ,三粒扣 ,96%及以上 ,纽扣 
中老年女装夏季短袖T恤40-50岁妈妈装夏装老年人宽松大码上衣衬衫,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/128928429/TB2CVWRl80lpuFjSszdXXcdxFXa_!!128928429.jpg,https://item.taobao.com/item.htm?id=548783368172&ns=1&abbucket=0#detail,59.00,6509人付款,浙江 杭州,WX-77,,薄,聚酯,2017年夏季,时尚,花色,40-49周岁,宽松,单件,套头,中长款,立领,常规,单排扣,96%及以上,纽扣
母亲节中老年女夏装衬衫雪纺衫2017新款妈妈春装中年人大码上衣服,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1FyD2QFXXXXbnXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=530479848888&ns=1&abbucket=0,98.00,6521人付款,湖北 武汉,S16TX0089 ,SONMELLNY/尚曼妮 ,薄 ,其他 ,2016年夏季 ,民族风 ,花色 ,40-49周岁 ,宽松 ,单件 ,开衫 ,中长款 ,POLO领 ,常规 ,单排扣 ,81%(含)-90%(含) ,纽扣 
夏装衬衫中年宽松大码雪纺上衣中老年女装春中袖T恤妈妈装打底衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/1646196787/TB2AVeuiUlnpuFjSZFjXXXTaVXa_!!1646196787.jpg,https://item.taobao.com/item.htm?id=539818340040&ns=1&abbucket=0#detail,29.90,4216人付款,北京,20165558,钱丽娜,适中,"聚酯,雪纺",2017年夏季,时尚,大花,40-49周岁,宽松,单件,套头,常规,POLO领,常规,三粒扣,96%及以上,纽扣
中老年女装t恤2017新款夏季中年大码雪纺衬衫妈妈夏装上衣40岁50,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1KGo3QXXXXXa7aXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547499331259&ns=1&abbucket=0,88.00,7772人付款,湖北 武汉,01SS543 ,顶慕 ,适中 ,其他 ,2017年夏季 ,时尚 ,,40-49周岁 ,修身 ,单件 ,套头 ,短款 ,POLO领 ,常规 ,,96%及以上 ,纽扣 
中老年女夏装上衣短袖雪纺衬衫40-50岁大码胖妈妈装T恤母亲节衣服,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1HfqNQpXXXXbOXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546881753311&ns=1&abbucket=0,88.00,8397人付款,湖北 武汉,KLNG17218 ,凯利娜格 ,,聚酯 ,2017年夏季 ,时尚 ,大花 ,40-49周岁 ,宽松 ,假两件 ,套头 ,常规 ,圆领 ,荷叶袖 ,,96%及以上 ,纽扣 
夏季中老年女装春装女长袖女衬衫 40-50岁中年女夏装妈妈装衬衣服,https://g-search1.alicdn.com/img/bao/uploaded/i4/i6/TB1WDWIQpXXXXbaaFXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=546526633827&ns=1&abbucket=0#detail,39.00,3465人付款,北京,AZB-CS,other/其他,薄,"聚酯,其他","2017年春季,2017年夏季",时尚,花色,40-49周岁,宽松,单件,开衫,中长款,POLO领,常规,单排扣,91%(含)-95%(含),纽扣
乐卡索中老年女夏装衬衫妈妈装大码中袖上衣40-50岁春装中年女装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1mNB0QpXXXXXSaFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547725477933&ns=1&abbucket=0,119.00,6914人付款,上海,L1704J1718 ,乐卡索 ,,其他 ,2017年夏季 ,时尚 ,条纹 ,40-49周岁 ,宽松 ,单件 ,开衫 ,中长款 ,半高领 ,衬衫袖 ,单排扣 ,96%及以上 ,纽扣 
妈妈夏装上衣2017春新款中年大码雪纺衫中老年女装夏装衬衫40岁50,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB12.nURXXXXXXMXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=528892215719&ns=1&abbucket=0,99.00,6349人付款,湖北 武汉,01CS147 ,顶慕 ,薄 ,聚酯 ,2017年春季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,开衫 ,中长款 ,POLO领 ,常规 ,单排扣 ,96%及以上 ,
母亲节衣服夏季妈妈装夏装中袖套装中年女雪纺衫T恤中老年人衬衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1vSHORXXXXXaRXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547692595375&ns=1&abbucket=0,68.00,4032人付款,江苏 苏州,BY898881 ,冰盈 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,纯色 ,40-49周岁 ,宽松 ,单件 ,套头 ,中长款 ,V领 ,常规 ,三粒扣 ,96%及以上 ,纽扣 
母亲节衣服妈妈夏装上衣女40-50岁2017夏新款雪纺衫套装中老年T恤,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1ozzMRXXXXXbfXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549285187165&ns=1&abbucket=0,98.00,5071人付款,浙江 嘉兴,P-X-PP0317 ,雪夕 ,,聚酯 ,2017年夏季 ,休闲 ,花鸟图案 ,40-49周岁 ,宽松 ,两件套 ,套头 ,常规 ,POLO领 ,衬衫袖 ,,96%及以上 ,铆钉 
中老年女装夏装长袖衬衫套装大码奶奶装春装60-70-80岁老人衣服薄,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1mC5AQFXXXXXzXFXXYXGcGpXX_M2.SS2,https://detail.tmall.com/item.htm?id=548640520842&ns=1&abbucket=0,108.00,3656人付款,江苏 苏州,X-0150 ,孝慈轩 ,薄 ,聚酯 ,2017年夏季 ,民族风 ,花色 ,60周岁以上 ,宽松 ,两件套 ,开衫 ,常规 ,圆领 ,常规 ,单排扣 ,96%及以上 ,口袋 
中年女装夏装天丝棉短袖T恤打底衫妈妈装衬衫40-50岁大码薄款上衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/1893915532/TB28PZYpr4npuFjSZFmXXXl4FXa_!!1893915532.jpg,https://item.taobao.com/item.htm?id=548517903062&ns=1&abbucket=0#detail,29.00,6410人付款,江苏 苏州,魏-短袖,,薄,"聚酯,棉,其他",2017年夏季,时尚,花色,40-49周岁,宽松,单件,套头,常规,圆领,,,81%(含)-90%(含),
奶奶装夏装套装中老年女装两件套老人母亲节衣服夏季妈妈60-70岁,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1sKCUQFXXXXapXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546439069356&ns=1&abbucket=0,89.00,3769人付款,江苏 苏州,XQA1614 ,夏清 ,薄 ,棉 ,2017年春季 ,休闲 ,碎花 ,60周岁以上 ,宽松 ,单件 ,开衫 ,常规 ,圆领 ,常规 ,单排扣 ,81%(含)-90%(含) ,口袋 
中老年女真丝上衣夏新款真丝T恤妈妈大码半袖印花桑蚕丝宽松衬衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/816536076/TB2G4lgpmFmpuFjSZFrXXayOXXa_!!816536076.jpg,https://item.taobao.com/item.htm?id=545985235265&ns=1&abbucket=0#detail,108.00,4672人付款,浙江 嘉兴,,,,蚕丝,2017年夏季,时尚,花鸟图案,,宽松,单件,套头,常规,圆领,常规,,,
2017春季新品妈妈装真丝衬衣七分袖桑蚕丝中老年女装夏装长袖衬衫,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2884990804/TB2B6nqghBmpuFjSZFsXXcXpFXa_!!2884990804.jpg,https://item.taobao.com/item.htm?id=545588870729&ns=1&abbucket=0#detail,78.00,4554人付款,浙江 嘉兴,,,适中,其他,"2017年春季,2017年夏季",时尚,花鸟图案,40-49周岁,宽松,单件,开衫,常规,POLO领,常规,,30%及以下,纽扣
预售迪葵纳中年女装春装上衣中老年夏装雪纺衫妈妈装衬衫FQ5395莜,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1M_RbLFXXXXcsXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=526926041373&ns=1&abbucket=0,139.00,5901人付款,山东 济南,FQ5395 ,De quanna/迪葵纳 ,薄 ,聚酯 ,2017年春季 ,时尚 ,抽象图案 ,40-49周岁 ,宽松 ,单件 ,套头 ,中长款 ,圆领 ,常规 ,,96%及以上 ,纽扣 
母亲节夏季中老年女装夏装女长袖衬衫妈妈装春装衬衣服中年老年人,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1027730190/TB2AAL8pItnpuFjSZFvXXbcTpXa_!!1027730190.jpg,https://item.taobao.com/item.htm?id=545860277998&ns=1&abbucket=0#detail,38.00,2567人付款,北京,17XWCS01020,other/其他,薄,聚酯,"2017年春季,2017年夏季",时尚,花色,40-49周岁,修身,单件,开衫,常规,POLO领,常规,单排扣,96%及以上,纽扣
母亲节迪葵纳妈妈装夏装中年女装雪纺衫中老年人衬衫WF5940咲,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1JdcCJXXXXXX4XVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=527961293272&ns=1&abbucket=0,119.00,5633人付款,山东 济南,WF5940 ,De quanna/迪葵纳 ,适中 ,聚酯 ,2016年夏季 ,时尚 ,纯色 ,40-49周岁 ,修身 ,单件 ,开衫 ,常规 ,立领 ,常规 ,,96%及以上 ,绣花 
中老年女装夏装T恤宽松大码胖妈妈装套装中长款衬衫春季40-50岁上,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/118643690/TB2Z9dznJ0opuFjSZFxXXaDNVXa_!!118643690.jpg,https://item.taobao.com/item.htm?id=529053521981&ns=1&abbucket=0#detail,79.00,5216人付款,北京,BYM1603XT3002,棒约美,薄,"雪纺,聚酯,其他","2017年春季,2017年夏季",时尚,抽象图案,40-49周岁,宽松,单件,套头,中长款,立领,常规,,71%(含)-80%(含),
中老年女装夏装短袖衬衫妈妈装40-50岁T恤上衣中年妇女打底衫夏装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/1964577496/TB2qvhQlNBmpuFjSZFsXXcXpFXa_!!1964577496.jpg,https://item.taobao.com/item.htm?id=546903613964&ns=1&abbucket=0#detail,35.00,2751人付款,江苏 苏州,666#,,适中,"聚酯,其他",2017年夏季,高贵,花色,40-49周岁,修身,单件,开衫,常规,方领,常规,单排扣,81%(含)-90%(含),纽扣
春装母亲节纯棉妈妈装衬衫长袖大码夏装中老年薄女老人奶奶装衬衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/863323062/TB24iTdnS0mpuFjSZPiXXbssVXa_!!863323062.jpg,https://item.taobao.com/item.htm?id=545408037834&ns=1&abbucket=0#detail,85.00,2701人付款,浙江 嘉兴,1562,,适中,棉,"2017年春季,2017年夏季",休闲,花色,,宽松,单件,开衫,常规,POLO领,常规,单排扣,51%(含)-70%(含),纽扣
妈妈夏装套装女40-50岁2017新款母亲节衣服中老年夏装短袖t恤上衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1gDurRXXXXXadXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549645439620&ns=1&abbucket=0,79.00,4860人付款,江苏 苏州,7-2721 ,法奈莉 ,薄 ,聚酯 ,2017年夏季 ,知性 ,花鸟图案 ,40-49周岁 ,宽松 ,单件 ,套头 ,中长款 ,圆领 ,荷叶袖 ,,96%及以上 ,绣花 
中老年女装衬衫老年人加肥加大码宽松妈妈装雪纺衬衣奶奶装夏装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1752207647/TB2smp.ltBopuFjSZPcXXc9EpXa_!!1752207647.jpg,https://item.taobao.com/item.htm?id=547663279672&ns=1&abbucket=0#detail,89.00,2832人付款,北京,ZG-JTL-2008-7,JINTEL,薄,雪纺,"2017年春季,2017年夏季",休闲,纯色,50-59周岁,宽松,单件,开衫,常规,方领,常规,单排扣,,绣花
妈妈夏装雪纺T恤气质中老年女装短袖上衣40-50岁2017新款半袖衬衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1TLfvRXXXXXaCXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547917582810&ns=1&abbucket=0,88.00,2853人付款,江苏 苏州,HW2017000060 ,洪威 ,薄 ,聚酯 ,2017年夏季 ,知性 ,花色 ,40-49周岁 ,宽松 ,单件 ,套头 ,中长款 ,圆领 ,,,96%及以上 ,
夏季妈妈装短袖T恤中老年人婆婆唐装60-70岁奶奶衬衫裤子两件套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB15s6VQVXXXXckaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549483399157&ns=1&abbucket=0,69.00,2022人付款,江苏 苏州,MQM1751 ,米旗蔓 ,适中 ,聚酯 ,2017年夏季 ,知性 ,花色 ,60周岁以上 ,宽松 ,两件套 ,开衫 ,常规 ,其他 ,常规 ,,96%及以上 ,纽扣 
妈妈装衬衫中老年女装4050岁衬衣雪纺衫中长袖上衣中年妇女夏装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB16m4GMXXXXXcpXVXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=531427207360&ns=1&abbucket=0#detail,39.00,3191人付款,上海,YZ1009,,薄,雪纺,"2016年夏季,2016年春季",知性,豹纹,40-49周岁,宽松,单件,开衫,中长款,POLO领,其他,单排扣,,纽扣
特价中老年女装衬衫胖妈妈装加肥加大码衬衫夏装宽松休闲女式衬衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/365985287/TB2EsP7mdRopuFjSZFtXXcanpXa_!!365985287.jpg,https://item.taobao.com/item.htm?id=528760819943&ns=1&abbucket=0#detail,58.00,2404人付款,北京,,,,"其他,棉",2017年夏季,时尚,花色,50-59周岁,宽松,单件,开衫,常规,POLO领,常规,单排扣,71%(含)-80%(含),口袋
