宝贝标题,图片Url,详情页Url,价格,销量,位置,货号,品牌,厚薄,面料,年份季节,中老年风格,中老年女装图案,适用年龄,服装版型,组合形式,穿着方式,衣长,裙长,领型,袖型,衣门襟,裙型,成分含量,服装款式细节
母亲节衣服夏季中年女装连衣裙中长款裙子中老年妈妈装夏装40岁50,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1IukWQXXXXXcMXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547373603965&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=0,148.00,9276人付款,浙江 嘉兴,QZ-8606 ,浅恋 ,薄 ,聚酯 ,2017年夏季 ,民族风 ,花色 ,40-49周岁 ,宽松 ,单件 ,套头 ,中长款 ,中长款 ,立领 ,常规 ,,荷叶边裙 ,96%及以上 ,纽扣 
中年女夏装40-50岁中老年女装妈妈装雪纺连衣裙短袖中长款裙子,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1Zmf_PXXXXXXdXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=533924906355&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=0,129.00,3593人付款,浙江 杭州,P621531L2 ,胖织缘福 ,适中 ,LYCRA莱卡 ,2016年夏季 ,时尚 ,大花 ,40-49周岁 ,宽松 ,单件 ,,,中长款 ,圆领 ,常规 ,,,30%及以下 ,
母亲节衣服夏季中年女装夏装短袖40-50岁妈妈装中老年女装连衣裙,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1BHyMQFXXXXblXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=44639448398&ns=1&abbucket=0,59.00,18569人付款,江苏 苏州,PLF1504-109 ,pllofee/蒲洛妃 ,薄 ,聚酯 ,2016年夏季 ,时尚 ,大花 ,50-59周岁 ,宽松 ,单件 ,套头 ,中长款 ,中长款 ,圆领 ,常规 ,,,96%及以上 ,
中老年女装夏装连衣裙中年雪纺上衣妈妈装中长款40-50岁大码裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1039949205/TB2olOEqYJmpuFjSZFwXXaE4VXa_!!1039949205.jpg,https://item.taobao.com/item.htm?id=545935374407&ns=1&abbucket=0#detail,38.80,10296人付款,上海,,,薄,"雪纺,绸缎,其他",2017年夏季,时尚,花色,40-49周岁,宽松,单件,套头,中长款,,圆领,,,,96%及以上,
妈妈夏装套装40岁中老年女装春装中年连衣裙两件套母亲节衣服夏季,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1lRM1QpXXXXcwXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545899639617&ns=1&abbucket=0,128.00,13313人付款,江苏 苏州,KQ-6058 ,悦薇孔雀 ,适中 ,聚酯 ,2017年春季 ,时尚 ,花鸟图案 ,40-49周岁 ,宽松 ,两件套 ,套头 ,常规 ,中长款 ,圆领 ,,,,91%(含)-95%(含) ,纱网 
新款妈妈装连衣裙中长款短袖夏装中年妇女40-50大码气质打底裙子,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2136811384/TB2lZpwiORnpuFjSZFCXXX2DXXa_!!2136811384.jpg,https://item.taobao.com/item.htm?id=546422992766&ns=1&abbucket=0#detail,37.80,8844人付款,北京,806,卡菲玛依,薄,聚酯,2017年夏季,时尚,花色,40-49周岁,修身,单件,套头,,中长款,方领,常规,,百褶裙,91%(含)-95%(含),纱网
中老年女装春装长袖T恤打底衫妈妈装夏装40-50岁蕾丝上衣连衣裙女,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2298614513/TB2htVrpkqvpuFjSZFhXXaOgXXa_!!2298614513.jpg,https://item.taobao.com/item.htm?id=543291638952&ns=1&abbucket=0#detail,35.00,5492人付款,江苏 苏州,1636-177,other/其他,适中,"聚酯,其他",2017年春季,时尚,其他,40-49周岁,修身,单件,套头,常规,,圆领,常规,,荷叶边裙,,镶钻
妈妈夏装套装女40-50岁上衣2017新款时尚两件套中老年春装连衣裙,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1mXL2QFXXXXc9aXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546691392858&ns=1&abbucket=0,98.00,8494人付款,浙江 嘉兴,RLJD9048 ,若澜锦蒂 ,薄 ,其他 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,两件套 ,套头 ,中长款 ,中长款 ,圆领 ,常规 ,,,96%及以上 ,褶皱 
新款中老年蕾丝绣花中长款妈妈装连衣裙女 40-50大码修身印花裙夏,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1prZRJVXXXXapXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545848031893&ns=1&abbucket=0,32.84,5652人付款,北京,E17DZA6805 ,鄂尔菲雪 ,,聚酯 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,修身 ,假两件 ,套头 ,,中长款 ,圆领 ,常规 ,,不规则裙 ,81%(含)-90%(含) ,
中老年女装绵绸连衣裙40-50岁中年妈妈装短袖大码修身碎花裙子夏,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/751966525/TB2klFuoR0kpuFjSsppXXcGTXXa_!!751966525.jpg,https://item.taobao.com/item.htm?id=547680941306&ns=1&abbucket=0#detail,49.00,7889人付款,北京,05,自主品牌,适中,"其他,棉","2017年春季,2017年夏季",时尚,花色,40-49周岁,修身,单件,套头,,中长款,圆领,常规,单排扣,荷叶边裙,81%(含)-90%(含),口袋
母亲节妈妈夏装套装2017新款连衣裙40-50岁中老年女装春装两件套,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2528783791/TB2ky3XnS0mpuFjSZPiXXbssVXa_!!2528783791.jpg,https://item.taobao.com/item.htm?id=547072034097&ns=1&abbucket=0#detail,89.00,6476人付款,浙江 嘉兴,15888,颖欣然,薄,"雪纺,聚酯",2017年夏季,民族风,花色,40-49周岁,宽松,两件套,套头,常规,,圆领,常规,,,71%(含)-80%(含),纽扣
中年女装40岁妈妈装夏装连衣裙假两件短袖母亲节中老年女装中长款,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB10xbcQFXXXXcpXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548746916125&ns=1&abbucket=0,69.00,3966人付款,江苏 苏州,XKN-301028 ,香蔻妮 ,适中 ,其他 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,假两件 ,套头 ,中长款 ,中长款 ,圆领 ,常规 ,,,96%及以上 ,
母亲节衣服妈妈夏装雪纺连衣裙40岁50中年短袖中老年女装夏季裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1XCNlQFXXXXcwXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546607323008&ns=1&abbucket=0,138.00,8569人付款,湖北 武汉,S17Q17M12 ,SONMELLNY/尚曼妮 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,修身 ,假两件 ,套头 ,,中裙 ,圆领 ,常规 ,,,81%(含)-90%(含) ,拉链 
中老年大码女装连衣裙35-55岁夏装短袖新款中长妈妈装中年打底裙,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/649556633/TB25w03fHXlpuFjSszfXXcSGXXa_!!649556633.jpg,https://item.taobao.com/item.htm?id=527583136129&ns=1&abbucket=0#detail,15.80,3872人付款,北京,1009,,薄,,2017年夏季,通勤,花色,40-49周岁,修身,单件,套头,,,圆领,常规,,,,
女装中年连衣裙夏季妈妈装35-50岁中老年连衣裙中长款碎花裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i7/TB1CINZQXXXXXcKXFXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=545842582583&ns=1&abbucket=0#detail,15.50,4271人付款,北京,50,other/其他,薄,,2017年夏季,时尚,碎花,,,单件,套头,,中长款,圆领,,,,,
香颜妈妈装春装连衣裙中老年女装夏装两件套雪纺衫中年套装裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB16FwrQVXXXXaVXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547604420153&ns=1&abbucket=0,139.00,8640人付款,浙江 嘉兴,XYZG0888-1 ,香颜 ,适中 ,聚酯 ,2017年夏季 ,时尚 ,其他 ,40-49周岁 ,宽松 ,两件套 ,开衫 ,中长款 ,中长款 ,其他 ,常规 ,单排扣 ,,96%及以上 ,纽扣 
