出发地,目的地,路线信息,酒店信息
杭州,丽江,"机酒自由行
丽江5日自由行,入住丽江添富太和休闲度假酒店+接送机,品古城文化,享至尊服务,良辰美景,一网打尽！
spa/按摩
5天4晚|天天出发|飞机|舒适游
1888起/人","4.4分
高档型"
杭州,丽江,"机酒自由行
丽江6日自由行,入住丽江添富太和休闲度假酒店+接送机,品古城文化,享至尊服务,良辰美景,一网打尽！
6天5晚|天天出发|飞机|舒适游
1872起/人","4.4分
高档型"
杭州,丽江,"机酒自由行
丽江+香格里拉 丽江+香格里拉6日自由行,机票+特色客栈,丽江往返+接机
特色客栈
6天5晚|天天出发|飞机|经济游
1517起/人","4.4分
经济型"
杭州,丽江,"机酒自由行
丽江+大理 丽江、大理双城6天自由行,3晚丽江特色客栈,2晚大理洱海边客栈,赠送丽江接机服务,行程自己做主,悠闲假期,彩云之南！
海边客栈特色客栈
6天5晚|天天出发|飞机|经济游
1612起/人","4.4分
经济型"
杭州,丽江,"机酒自由行
丽江5日自由行,入住丽江听心祥和院+接送机
5天4晚|天天出发|飞机|舒适游
1740起/人","4.7分
高档型"
杭州,丽江,"机酒自由行
丽江+泸沽湖6日自由行,机票+特色客栈,丽江往返+接机
特色客栈
6天5晚|天天出发|飞机|经济游
1669起/人","4.4分
经济型"
杭州,丽江,"机酒自由行
丽江+大理 丽江、大理6天5晚自由行,丽江进大理出,不走回头路
6天5晚|飞机|经济游
1703起/人","4.4分
经济型"
杭州,丽江,"自由行
昆明+大理+丽江 VIP私人定制：昆明-大理洱海骑行-雪山大索道-丽江1天DIY印象丽江6日游
大理古城与玉洱园南门相邻洱海骑行乘索道印象丽江
6天5晚|天天出发|飞机|大理兰林阁酒店
5.0分 | 已售23人
4530起/人","3.9分
豪华型"
杭州,丽江,"机酒自由行
昆明+大理+丽江+香格里拉 专属定制 即刻出发 自在旅行 昆明大理丽江香格里拉泸沽湖8日全自由行
多商圈
8天7晚|天天出发|多机票可选|多酒店可选
5.0分 | 已售23人
2920起/人","4.8分
舒适型"
杭州,丽江,"自由行
丽江+大理 全自由行 我的旅游我做主杭州双飞—大理 丽江6+N天自由行
大研古城, 含接送机
6天5晚|端午|直飞|丽江凌云·花舍精品客栈
5.0分 | 已售22人
3100起/人","3.5分
豪华型"
杭州,丽江,"自由行
约惠端午丨直飞丽江4天3晚丨含特色客栈丨赠接送机+玫瑰庄园丨随心游L3-H
束河古镇, 在茶马古道博物馆附近, 含接送机
4天3晚|天天出发|中国国际航空直飞|丽江束河云上居精品客栈
2100起/人","4.5分
其他"
杭州,丽江,"自由行
昆明+大理+丽江+香格里拉 云南旅游新模式，分离试旅游。丽江自由行，云南/大理/丽江香格里拉10天9晚游
洱海湾
10天9晚|天天出发|直飞|大理金沙半岛海景养生酒店
5.0分 | 已售23人
2180起/人","4.1分
高档型"
杭州,丽江,"自由行
直飞丽江全自由行 旅行新主张杭州双飞—丽江 泸沽湖6+N天
豪华型大研古城海边客栈特色客栈
6天5晚|端午|直飞|丽江凌云·花舍精品客栈
5.0分 | 已售26人
3100起/人","3.5分
豪华型"
杭州,丽江,"自由行
杭州飞丽江自由行4天完美组合机票+酒店+接送+各地专线直达 ZYZZ09
大研古城
4天3晚|天天出发|多机票可选|丽江牧羊人精品酒店
5.0分 | 已售29人
2360起/人","4.8分
舒适型"
杭州,丽江,"自由行
昆明+大理+丽江+香格里拉 <高端定制>独立专车-五星酒店-品质纯玩 昆明大理丽江香格里拉8天7晚VZ8
豪华型多商圈玉龙雪山游双古城印象丽江
8天7晚|端午|直飞|多酒店可选
5.0分 | 已售30人
6280起/人","4.7分
豪华型"
杭州,丽江,"自由行
丽江+大理 全自由行 我的旅游我做主杭州双飞—昆明 大理 丽江6+N天自由行
大研古城海边客栈特色客栈
6天5晚|端午|直飞|丽江凌云·花舍精品客栈
5.0分 | 已售27人
3150起/人","4.7分
高档型"
杭州,丽江,"自由行
昆明+大理+丽江 特惠大促，丽江自由行，云南/昆明/大理/丽江雪山8天7晚游
洱海湾
8天7晚|天天出发|直飞|大理金沙半岛海景养生酒店
5.0分 | 已售24人
2980起/人","4.5分
其他"
杭州,丽江,"自由行
昆明+大理+丽江+香格里拉 <飞机往返昆明> 丽江+大理+香格里拉9天自由行+管家式服务（内附游玩攻略）
主题乐园多商圈特色客栈
9天8晚|端午|直飞|多酒店可选
5.0分 | 已售23人
3180起/人","4.9分
其他"
杭州,丽江,"自由行
昆明+大理+丽江+香格里拉 <高端定制>独立专车-五星酒店-品质纯玩 昆明大理丽江香格里拉8天7晚VZ8
豪华型多商圈玉龙雪山游双古城印象丽江
8天7晚|端午|直飞|多酒店可选
5.0分 | 已售30人
6280起/人","4.7分
豪华型"
杭州,丽江,"自由行
丽江+大理 全自由行 我的旅游我做主杭州双飞—昆明 大理 丽江6+N天自由行
大研古城海边客栈特色客栈
6天5晚|端午|直飞|丽江凌云·花舍精品客栈
5.0分 | 已售27人
3150起/人","4.7分
高档型"
杭州,丽江,"自由行
昆明+大理+丽江 特惠大促，丽江自由行，云南/昆明/大理/丽江雪山8天7晚游
洱海湾
8天7晚|天天出发|直飞|大理金沙半岛海景养生酒店
5.0分 | 已售24人
2980起/人","4.5分
其他"
杭州,丽江,"自由行
昆明+大理+丽江+香格里拉 <飞机往返昆明> 丽江+大理+香格里拉9天自由行+管家式服务（内附游玩攻略）
主题乐园多商圈特色客栈
9天8晚|端午|直飞|多酒店可选
5.0分 | 已售23人
3180起/人","4.9分
其他"
