序號,年度,總戶數,總人口數,男性人數,女性人數,平地原住民,山地原住民
1,91,109231,352154,185554,166600,54236,32520
2,92,110985,351146,184682,166464,59126,32669
3,93,112948,349149,183149,166000,53529,33105
4,94,114220,347298,181557,165741,55256,33575
5,95,115378,345303,180042,165261,55266,33860
6,96,116766,343302,178376,164926,55319,34028
7,97,118073,341433,177032,164404,55499,35199
8,98,119916,340964,176151,164813,55977,34627
9,99,120903,338805,174584,164221,56087,34842
10,100,121833,336838,173205,163653,56116,34903
11,101,122651,335190,172064,163126,55948,35028
12,102,123440,333897,171016,162881,55963,35159
13,103,124243,333392,170322,163068,56214,35461
14,104,124956,331945,169335,162610,56309,35690
15,105,125361,330911,168375,162536,56490,35989
16,106,125901,329374,167288,162086,56629,36107
