ID,Length_cm,Weight_g,Species,Scientific Name,Inspector,Measurement Date
1,45,2847,Galapagos penguin,Spheniscus mendiculus,Janet,1990/9/19
2,53,3625,Chinstrap penguin,Pygoscelis antarcticus,Elbert,1991/6/21
3,83,3600,Chinstrap penguin,Pygoscelis antarcticus,Janet,1991/3/17
4,72,3282,Chinstrap penguin,Pygoscelis antarcticus,Antisthenes,1991/3/25
5,,5630,Gentoo penguin,Pygoscelis papua,Alisha,1990/9/21
6,83,5678,Gentoo penguin,Pygoscelis papua,Raymond,1990/12/20
7,99,5993,Gentoo penguin,Pygoscelis papua,Raymond,1991/6/8
8,64,3289,Chinstrap penguin,Pygoscelis antarcticus,Elbert,1991/3/18
9,52,3014,Galapagos penguin,Spheniscus mendiculus,Raymond,1991/6/22
10,69,5825,Gentoo penguin,Pygoscelis papua,Elbert,1990/9/3
11,54,1858,Galapagos penguin,Spheniscus mendiculus,Raymond,1990/9/7
12,109,5306,Gentoo penguin,Pygoscelis papua,Alisha,1991/3/4
13,39,2743,Galapagos penguin,Spheniscus mendiculus,Janet,1990/9/26
14,70,4588,Chinstrap penguin,Pygoscelis antarcticus,Charpentier,1990/12/24
15,71,4531,Chinstrap penguin,Pygoscelis antarcticus,Janet,1991/3/15
16,111,6896,Gentoo penguin,Pygoscelis papua,Alisha,1990/12/3
17,77,4562,Chinstrap penguin,Pygoscelis antarcticus,Charpentier,1991/6/28
18,75,3764,Chinstrap penguin,Pygoscelis antarcticus,Alisha,1990/12/29
19,79,4865,Chinstrap penguin,Pygoscelis antarcticus,Bannier,1991/6/16
20,51,1153,Little penguin,Eudyptula minor,Charpentier,1991/6/19
21,38,2713,Galapagos penguin,Spheniscus mendiculus,Elbert,1990/12/1
22,65,5285,Chinstrap penguin,Pygoscelis antarcticus,Janet,1990/12/25
23,105,6445,Gentoo penguin,Pygoscelis papua,Bannier,1990/9/25
24,31,1012,Little penguin,Eudyptula minor,Raymond,1990/12/1
25,54,1175,Little penguin,Eudyptula minor,Charpentier,1990/12/1
26,62,3288,Chinstrap penguin,Pygoscelis antarcticus,Bannier,1990/9/1
27,32,762,Little penguin,Eudyptula minor,Elbert,1990/9/27
28,74,5202,Chinstrap penguin,Pygoscelis antarcticus,Alisha,1990/9/18
29,50,1140,Little penguin,Eudyptula minor,Antisthenes,1990/12/1
30,74,4575,Chinstrap penguin,Pygoscelis antarcticus,Raymond,1990/12/9
31,107,8806,Gentoo penguin,Pygoscelis papua,Janet,1991/3/21
32,50,2934,Galapagos penguin,Spheniscus mendiculus,Bannier,1991/3/4
33,88,6392,Gentoo penguin,Pygoscelis papua,Alisha,1991/6/8
34,33,802,Little penguin,Eudyptula minor,Janet,1990/9/1
35,35,2396,Galapagos penguin,Spheniscus mendiculus,Antisthenes,1991/6/27
36,83,7647,Gentoo penguin,Pygoscelis papua,Raymond,1991/6/22
37,82,3652,Chinstrap penguin,Pygoscelis antarcticus,Elbert,1991/6/19
38,52,2428,Galapagos penguin,Spheniscus mendiculus,Raymond,1991/6/3
39,68,5595,Gentoo penguin,Pygoscelis papua,Bannier,1990/12/12
40,51,3557,Chinstrap penguin,Pygoscelis antarcticus,Janet,1990/12/29
41,55,2954,Galapagos penguin,Spheniscus mendiculus,Alisha,1990/9/20
42,64,4220,Chinstrap penguin,Pygoscelis antarcticus,Charpentier,1991/3/19
43,44,2376,Galapagos penguin,Spheniscus mendiculus,Antisthenes,1990/12/3
44,78,3332,Chinstrap penguin,Pygoscelis antarcticus,Bannier,1990/12/4
45,80,8814,Gentoo penguin,Pygoscelis papua,Raymond,1991/3/31
46,105,5115,Gentoo penguin,Pygoscelis papua,Janet,1990/12/3
47,44,1127,Little penguin,Eudyptula minor,Janet,1990/9/16
48,95,8390,Gentoo penguin,Pygoscelis papua,Elbert,1990/9/18
49,43,998,Little penguin,Eudyptula minor,Alisha,1990/12/19
50,82,5597,Gentoo penguin,Pygoscelis papua,Antisthenes,1991/3/22
51,53,2573,Galapagos penguin,Spheniscus mendiculus,Alisha,1990/9/7
52,37,3218,Galapagos penguin,Spheniscus mendiculus,Elbert,1991/3/2
53,77,,Chinstrap penguin,Pygoscelis antarcticus,Janet,1990/9/22
54,49,4315,Chinstrap penguin,Pygoscelis antarcticus,Bannier,1991/3/10
55,71,3418,Chinstrap penguin,Pygoscelis antarcticus,Alisha,1991/3/29
56,,5577,Chinstrap penguin,Pygoscelis antarcticus,Raymond,1991/6/30
57,61,4356,Chinstrap penguin,Pygoscelis antarcticus,Antisthenes,1991/3/26
58,92,5118,Gentoo penguin,Pygoscelis papua,Janet,1990/9/3
59,91,7620,Gentoo penguin,Pygoscelis papua,Janet,1991/6/16
60,82,3406,Chinstrap penguin,Pygoscelis antarcticus,Bannier,1990/9/11
61,48,903,Little penguin,Eudyptula minor,Antisthenes,1991/6/2
62,,5830,Gentoo penguin,Pygoscelis papua,Antisthenes,1991/3/1
54,49,4315,Chinstrap penguin,Pygoscelis antarcticus,Bannier,1991/3/10
63,35,1054,Little penguin,Eudyptula minor,Janet,1991/6/22
64,87,6473,Gentoo penguin,Pygoscelis papua,Charpentier,1990/9/27
65,37,1091,Little penguin,Eudyptula minor,Alisha,1990/9/27
66,46,2777,Galapagos penguin,Spheniscus mendiculus,Bannier,1991/6/14
90,51,1857,Galapagos penguin,Spheniscus mendiculus,Charpentier,1991/6/21
67,30,759,Little penguin,Eudyptula minor,Antisthenes,1991/3/3
68,,5543,Gentoo penguin,Pygoscelis papua,Bannier,1991/3/27
69,102,8249,Gentoo penguin,Pygoscelis papua,Raymond,1991/6/15
70,31,1209,Little penguin,Eudyptula minor,Alisha,1990/9/17
77,50,3358,Chinstrap penguin,Pygoscelis antarcticus,Bannier,1990/9/4
71,68,8138,Gentoo penguin,Pygoscelis papua,Raymond,1991/3/27
72,35,3242,Galapagos penguin,Spheniscus mendiculus,Bannier,1990/12/23
73,61,4073,Chinstrap penguin,Pygoscelis antarcticus,Bannier,1990/9/2
74,75,3922,Chinstrap penguin,Pygoscelis antarcticus,Antisthenes,1990/12/30
75,,842,Galapagos penguin,Spheniscus mendiculus,Raymond,1991/6/16
76,33,1227,Little penguin,Eudyptula minor,Janet,1990/12/10
77,50,3358,Chinstrap penguin,Pygoscelis antarcticus,Bannier,1990/9/4
78,,5846,Chinstrap penguin,Pygoscelis antarcticus,Antisthenes,1990/12/29
79,46,2800,Galapagos penguin,Spheniscus mendiculus,Charpentier,1990/12/9
80,51,806,Little penguin,Eudyptula minor,Elbert,1991/6/25
81,48,4379,Chinstrap penguin,Pygoscelis antarcticus,Bannier,1991/3/21
82,48,2152,Galapagos penguin,Spheniscus mendiculus,Bannier,1990/9/7
83,59,4877,Chinstrap penguin,Pygoscelis antarcticus,Janet,1990/9/16
84,54,2327,Galapagos penguin,Spheniscus mendiculus,Alisha,1990/12/7
85,52,2226,Galapagos penguin,Spheniscus mendiculus,Raymond,1991/3/5
86,35,2453,Galapagos penguin,Spheniscus mendiculus,Antisthenes,1990/12/31
87,48,4043,Chinstrap penguin,Pygoscelis antarcticus,Charpentier,1990/12/2
88,73,7563,Gentoo penguin,Pygoscelis papua,Antisthenes,1991/3/15
89,50,2820,Galapagos penguin,Spheniscus mendiculus,Bannier,1990/12/21
90,51,1857,Galapagos penguin,Spheniscus mendiculus,Charpentier,1991/6/21
91,34,1952,Galapagos penguin,Spheniscus mendiculus,Janet,1991/3/2
92,66,5024,Chinstrap penguin,Pygoscelis antarcticus,Charpentier,1990/12/28
93,33,781,Little penguin,Eudyptula minor,Raymond,1991/6/25
94,38,790,Little penguin,Eudyptula minor,Antisthenes,1990/12/12
95,41,1107,Little penguin,Eudyptula minor,Bannier,1990/12/1
96,51,,Chinstrap penguin,Pygoscelis antarcticus,Raymond,1990/9/1
97,47,2701,Galapagos penguin,Spheniscus mendiculus,Charpentier,1990/12/8
98,51,3929,Chinstrap penguin,Pygoscelis antarcticus,Charpentier,1990/9/20
99,46,2329,Galapagos penguin,Spheniscus mendiculus,Bannier,1990/12/21
100,63,2145,Galapagos penguin,Spheniscus mendiculus,Janet,1990/12/24
101,67,5906,Gentoo penguin,Pygoscelis papua,Raymond,1990/12/30
102,111,5006,Gentoo penguin,Pygoscelis papua,Elbert,1991/3/26
89,50,2820,Galapagos penguin,Spheniscus mendiculus,Bannier,1990/12/21
103,79,4720,Chinstrap penguin,Pygoscelis antarcticus,Bannier,1991/3/24
104,53,1140,Little penguin,Eudyptula minor,Elbert,1991/6/14
105,108,8348,Gentoo penguin,Pygoscelis papua,Charpentier,1991/6/16
106,112,8630,Gentoo penguin,Pygoscelis papua,Alisha,1990/9/27
108,75,8051,Gentoo penguin,Pygoscelis papua,Bannier,1991/6/15
109,37,2844,Galapagos penguin,Spheniscus mendiculus,Antisthenes,1990/12/31
110,79,6130,Gentoo penguin,Pygoscelis papua,Janet,1990/12/19
111,46,3088,Galapagos penguin,Spheniscus mendiculus,Janet,1990/12/18
112,53,2132,Galapagos penguin,Spheniscus mendiculus,Elbert,1991/6/8
113,56,5632,Chinstrap penguin,Pygoscelis antarcticus,Janet,1991/3/29
114,89,8488,Gentoo penguin,Pygoscelis papua,Elbert,1990/9/3
115,86,7423,Gentoo penguin,Pygoscelis papua,Bannier,1991/3/25
116,69,3626,Chinstrap penguin,Pygoscelis antarcticus,Janet,1991/6/26
117,67,4864,Chinstrap penguin,Pygoscelis antarcticus,Bannier,1991/3/24
118,47,3868,Chinstrap penguin,Pygoscelis antarcticus,Charpentier,1991/3/23
119,46,3011,Galapagos penguin,Spheniscus mendiculus,Raymond,1991/6/21
120,61,5269,Gentoo penguin,Pygoscelis papua,Raymond,1990/12/5
121,50,5546,Chinstrap penguin,Pygoscelis antarcticus,Elbert,1990/9/11
122,82,8593,Gentoo penguin,Pygoscelis papua,Alisha,1991/3/3
123,79,3425,Chinstrap penguin,Pygoscelis antarcticus,Elbert,1991/3/6
124,52,,Galapagos penguin,Spheniscus mendiculus,Janet,1991/6/11
125,44,910,Little penguin,Eudyptula minor,Raymond,1991/3/27
127,39,,Little penguin,Eudyptula minor,Elbert,1990/9/20
128,60,5285,Chinstrap penguin,Pygoscelis antarcticus,Alisha,1990/9/17
129,47,1124,Little penguin,Eudyptula minor,Antisthenes,1991/6/2
130,47,1222,Little penguin,Eudyptula minor,Raymond,1990/12/9
131,84,5684,Gentoo penguin,Pygoscelis papua,Elbert,1991/6/8
132,,813,Galapagos penguin,Spheniscus mendiculus,Charpentier,1990/12/25
133,48,,Chinstrap penguin,Pygoscelis antarcticus,Janet,1991/3/2
134,62,2198,Galapagos penguin,Spheniscus mendiculus,Elbert,1990/12/17
135,76,4248,Chinstrap penguin,Pygoscelis antarcticus,Antisthenes,1991/3/28
136,53,4247,Chinstrap penguin,Pygoscelis antarcticus,Alisha,1991/3/5
137,,7528,Gentoo penguin,Pygoscelis papua,Charpentier,1990/9/29
138,79,5272,Gentoo penguin,Pygoscelis papua,Elbert,1990/9/16
139,62,2547,Galapagos penguin,Spheniscus mendiculus,Janet,1990/9/24
140,79,4514,Chinstrap penguin,Pygoscelis antarcticus,Janet,1991/6/13
141,41,2352,Galapagos penguin,Spheniscus mendiculus,Alisha,1990/9/6
142,35,2249,Galapagos penguin,Spheniscus mendiculus,Bannier,1991/6/24
143,48,1209,Little penguin,Eudyptula minor,Alisha,1990/12/11
144,60,2793,Galapagos penguin,Spheniscus mendiculus,Alisha,1990/12/27
145,65,5871,Gentoo penguin,Pygoscelis papua,Bannier,1990/9/28
146,46,2496,Galapagos penguin,Spheniscus mendiculus,Elbert,1991/6/18
147,54,1782,Galapagos penguin,Spheniscus mendiculus,Alisha,1991/6/4
148,55,772,Little penguin,Eudyptula minor,Elbert,1990/12/3
149,110,7542,Gentoo penguin,Pygoscelis papua,Bannier,1991/6/11
150,79,3459,Chinstrap penguin,Pygoscelis antarcticus,Alisha,1990/9/11
152,62,5571,Chinstrap penguin,Pygoscelis antarcticus,Janet,1990/9/11
153,44,1129,Little penguin,Eudyptula minor,Antisthenes,1990/12/5
154,72,5731,Chinstrap penguin,Pygoscelis antarcticus,Antisthenes,1990/9/8
155,58,3385,Chinstrap penguin,Pygoscelis antarcticus,Bannier,1991/6/18
156,82,5564,Chinstrap penguin,Pygoscelis antarcticus,Alisha,1990/12/12
157,45,5262,Chinstrap penguin,Pygoscelis antarcticus,Alisha,1990/12/31
129,47,1124,Little penguin,Eudyptula minor,Antisthenes,1991/6/2
158,51,2058,Galapagos penguin,Spheniscus mendiculus,Bannier,1990/12/28
159,98,8213,Gentoo penguin,Pygoscelis papua,Bannier,1990/12/22
160,54,3964,Chinstrap penguin,Pygoscelis antarcticus,Antisthenes,1990/9/19
161,55,4806,Chinstrap penguin,Pygoscelis antarcticus,Raymond,1990/9/14
162,40,2327,Galapagos penguin,Spheniscus mendiculus,Bannier,1990/9/22
163,104,6209,Gentoo penguin,Pygoscelis papua,Bannier,1991/6/14
164,60,4892,Chinstrap penguin,Pygoscelis antarcticus,Janet,1990/9/10
165,50,2543,Galapagos penguin,Spheniscus mendiculus,Charpentier,1991/6/27
166,49,842,Little penguin,Eudyptula minor,Janet,1990/12/9
167,92,8403,Gentoo penguin,Pygoscelis papua,Charpentier,1991/6/13
168,53,1128,Little penguin,Eudyptula minor,Elbert,1990/9/5
169,109,7356,Gentoo penguin,Pygoscelis papua,Janet,1990/12/26
170,31,1049,Little penguin,Eudyptula minor,Elbert,1991/3/16
171,96,8165,Gentoo penguin,Pygoscelis papua,Bannier,1990/12/20
172,,1007,Galapagos penguin,Spheniscus mendiculus,Raymond,1990/12/5
173,46,2111,Galapagos penguin,Spheniscus mendiculus,Charpentier,1990/12/18
174,,4919,Chinstrap penguin,Pygoscelis antarcticus,Bannier,1990/9/26
175,47,1767,Galapagos penguin,Spheniscus mendiculus,Elbert,1991/6/28
176,,7048,Gentoo penguin,Pygoscelis papua,Elbert,1991/6/24
177,80,7307,Gentoo penguin,Pygoscelis papua,Bannier,1990/9/23
178,31,923,Little penguin,Eudyptula minor,Charpentier,1990/9/25
179,48,1298,Little penguin,Eudyptula minor,Bannier,1990/9/19
180,30,818,Little penguin,Eudyptula minor,Antisthenes,1991/3/9
181,48,1052,Little penguin,Eudyptula minor,Elbert,1991/3/22
182,72,8563,Gentoo penguin,Pygoscelis papua,Alisha,1991/3/13
183,,6633,Gentoo penguin,Pygoscelis papua,Raymond,1991/3/13
184,46,2730,Galapagos penguin,Spheniscus mendiculus,Alisha,1991/6/10
185,63,,Galapagos penguin,Spheniscus mendiculus,Antisthenes,1991/3/17
186,85,6733,Gentoo penguin,Pygoscelis papua,Bannier,1991/6/22
187,58,2785,Galapagos penguin,Spheniscus mendiculus,Janet,1990/12/11
188,101,8262,Gentoo penguin,Pygoscelis papua,Raymond,1991/3/5
189,45,714,Little penguin,Eudyptula minor,Raymond,1991/6/4
190,80,4470,Chinstrap penguin,Pygoscelis antarcticus,Antisthenes,1990/12/22
191,76,4937,Gentoo penguin,Pygoscelis papua,Elbert,1990/12/31
192,71,5018,Gentoo penguin,Pygoscelis papua,Raymond,1991/6/14
193,81,7322,Gentoo penguin,Pygoscelis papua,Alisha,1990/12/18
194,55,2304,Galapagos penguin,Spheniscus mendiculus,Alisha,1991/3/1
195,40,812,Little penguin,Eudyptula minor,Antisthenes,1990/12/11
196,41,2659,Galapagos penguin,Spheniscus mendiculus,Charpentier,1990/12/2
197,73,3592,Chinstrap penguin,Pygoscelis antarcticus,Elbert,1991/3/26
198,100,7124,Gentoo penguin,Pygoscelis papua,Antisthenes,1990/12/15
199,57,2418,Galapagos penguin,Spheniscus mendiculus,Antisthenes,1990/9/7
200,86,8736,Gentoo penguin,Pygoscelis papua,Alisha,1990/9/22
201,48,4144,Chinstrap penguin,Pygoscelis antarcticus,Bannier,1990/9/17
202,40,763,Little penguin,Eudyptula minor,Alisha,1991/6/8
203,92,5271,Gentoo penguin,Pygoscelis papua,Raymond,1990/9/19
