,SiteId,SiteName,County,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,Concentration
0,1,基隆,基隆市,33,細懸浮微粒,PM2.5,μg/m3,2021-05-06 00:00:00,18
1,2,汐止,新北市,33,細懸浮微粒,PM2.5,μg/m3,2021-05-06 00:00:00,25
2,3,萬里,新北市,33,細懸浮微粒,PM2.5,μg/m3,2021-05-06 00:00:00,19
3,4,新店,新北市,33,細懸浮微粒,PM2.5,μg/m3,2021-05-06 00:00:00,19
4,5,土城,新北市,33,細懸浮微粒,PM2.5,μg/m3,2021-05-06 00:00:00,21
5,6,板橋,新北市,33,細懸浮微粒,PM2.5,μg/m3,2021-05-06 00:00:00,21
6,7,新莊,新北市,33,細懸浮微粒,PM2.5,μg/m3,2021-05-06 00:00:00,21
7,8,菜寮,新北市,33,細懸浮微粒,PM2.5,μg/m3,2021-05-06 00:00:00,22
8,9,林口,新北市,33,細懸浮微粒,PM2.5,μg/m3,2021-05-06 00:00:00,21
9,10,淡水,新北市,33,細懸浮微粒,PM2.5,μg/m3,2021-05-06 00:00:00,18
10,11,士林,臺北市,33,細懸浮微粒,PM2.5,μg/m3,2021-05-06 00:00:00,20
11,12,中山,臺北市,33,細懸浮微粒,PM2.5,μg/m3,2021-05-06 00:00:00,26
12,13,萬華,臺北市,33,細懸浮微粒,PM2.5,μg/m3,2021-05-06 00:00:00,24
13,14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,2021-05-06 00:00:00,22
14,15,松山,臺北市,33,細懸浮微粒,PM2.5,μg/m3,2021-05-06 00:00:00,26
15,16,大同,臺北市,33,細懸浮微粒,PM2.5,μg/m3,2021-05-06 00:00:00,25
16,17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,2021-05-06 00:00:00,22
17,18,大園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,2021-05-06 00:00:00,22
18,19,觀音,桃園市,33,細懸浮微粒,PM2.5,μg/m3,2021-05-06 00:00:00,19
19,20,平鎮,桃園市,33,細懸浮微粒,PM2.5,μg/m3,2021-05-06 00:00:00,22
