ID,Gender,Height_cm,Weight_kg,Shoe size_cm
1,Male,175,83,28
2,Male,195,112,31
3,Male,175,90,28.5
4,Female,154,58,22.5
5,Female,154,58,22.5
6,Male,180,93,29
7,Male,177,87,28.5
8,Female,167,70,24.5
9,Male,172,77,28
10,Female,152,57,22.5
11,Male,180,91,29
12,Male,172,83,28
13,Male,,102,30
14,Female,172,77,25.5
15,Female,172,70,25.5
16,Male,182,95,28
17,Male,167,73,26.5
18,Male,170,82,27.5
19,Female,142,43,20.5
20,Male,172,77,27
21,Male,177,86,28.5
22,Female,152,53,22.5
23,Female,170,73,25
24,Male,180,95,29.5
25,Male,172,85,28
26,Male,175,87,28.5
27,Female,175,80,25.5
28,Male,193,102,30
29,Male,175,75,28.5
30,Male,175,86,28.5
31,Female,162,67,24
32,Female,154,61,22
33,Female,172,82,25.5
34,Male,162,75,27
35,Male,182,91,29
36,Female,149,55,22
37,Female,147,51,21
38,Female,165,74,24.5
39,Male,177,89,28.5
40,Male,175,85,29.5
41,Female,165,62,24.5
42,Male,180,92,29
43,Male,180,94,29
44,Male,172,87,28
45,Female,157,53,23
46,Female,160,65,24
47,Female,162,66,24
48,Male,170,80,28
49,Female,147,44,21
50,Male,175,88,28.5
51,Female,157,53,23
52,Female,160,62,24
53,Female,167,72,24.5
54,Male,,103,29.5
55,Male,172,78,28
56,Female,170,73,25
57,Male,180,88,29
58,Male,182,99,28
59,Male,180,89,29
60,Male,167,77,26.5
61,Female,160,63,24
62,Male,165,75,27.5
63,Female,157,66,23
64,Female,160,59,24.5
65,Male,165,70,27.5
66,Male,170,80,28
67,Male,182,92,29
68,Male,172,81,28
69,Male,175,88,28.5
70,Male,165,71,27.5
71,Female,160,60,24
72,Female,165,66,24.5
73,Male,177,75,28.5
74,Male,167,75,27
75,Female,157,54,22.5
76,Male,175,88,28.5
77,Female,157,53,23
78,Male,172,77,28
79,Male,177,92,28.5
80,Male,172,75,28.5
81,Male,170,74,28
82,Female,165,69,24.5
83,Male,167,75,27.5
84,Male,167,81,27.5
85,Female,157,57,23
86,Male,175,84,28.5
87,Male,172,81,28
88,Male,170,83,28
89,Male,175,82,28.5
90,Female,165,66,24.5
91,Female,160,60,24
92,Male,182,93,29
93,Male,170,77,28
94,Male,182,90,28.5
95,Female,162,66,24
96,Male,167,77,27.5
97,Female,167,70,24.5
98,Male,177,91,28.5
99,Female,165,66,24.5
100,Female,160,64,24
101,Male,167,83,27.5
102,Female,157,57,23
103,Female,157,53,23
104,Female,154,50,23
105,Female,157,50,23
106,Male,187,95,29.5
107,Male,157,63,26
108,Male,170,86,28
109,Male,165,70,27
110,Male,167,70,27.5
111,Male,182,101,29
112,Male,187,100,29.5
113,Female,165,63,24.5
114,Female,160,66,24
115,Male,175,81,28.5
116,Male,165,80,28
117,Female,154,54,22.5
118,Female,167,63,24
119,Female,162,70,24
120,Male,170,71,28
121,Male,180,94,29
122,Female,160,60,24
123,Female,160,57,24
124,Female,160,61,24
125,Male,172,85,28
126,Male,165,80,27.5
127,Female,157,62,23
128,Male,177,84,28.5
129,Female,160,65,23
130,Male,170,77,29
131,Female,157,72,23
132,Female,167,72,24.5
133,Male,175,79,28.5
134,Female,152,57,22.5
135,Female,175,77,26
136,Male,172,88,28
137,Male,167,71,27.5
138,Female,162,64,24
139,Female,160,64,24
140,Female,162,68,24
141,Male,177,81,28.5
142,Female,162,64,24
143,Male,182,94,29.5
144,Male,170,79,28
145,Male,177,97,29
146,Male,175,79,29
147,Male,180,95,29
148,Male,185,101,30
149,Male,182,88,29
150,Female,165,70,24.5
151,Male,180,89,29
152,Female,165,65,24.5
153,Male,170,81,28
154,Male,177,87,28.5
155,Female,160,55,24
156,Female,149,50,22
157,Female,162,63,24
158,Male,167,79,27.5
159,Male,175,81,28.5
160,Female,160,57,24.5
161,Male,170,68,28
162,Male,172,75,28
163,Female,160,59,24
