name,value
Hokkaido,5320
Aomori,1278
Iwate,1255
Miyagi,2323
Akita,996
Yamagata,1102
Fukushima,1882
Ibaraki,2892
Tochigi,1957
Gunma,1960
Saitama,7310
Chiba,6246
Tokyo,13724
Kanagawa,9159
Niigata,2267
Toyama,1056
Ishikawa,1147
Fukui,779
Yamanashi,823
Nagano,2076
Gifu,2008
Shizuoka,3675
Aichi,7525
Mie,1800
Shiga,1413
Kyoto,2599
Osaka,8823
Hyogo,5503
Nara,1348
Wakayama,945
Tottori,565
Shimane,685
Okayama,1907
Hiroshima,2829
Yamaguchi,1383
Tokushima,743
Kagawa,967
Ehime,1364
Kochi,714
Fukuoka,5107
Saga,824
Nagasaki,1354
Kumamoto,1765
Oita,1152
Miyazaki,1089
Kagoshima,1626
Okinawa,1443
