Stress Balls:
    # shapes | FPS...
1 | 62
10 | 62
20 | 62
30 | 62
40 | 62
50 | 62
75 | 62
100 | 62
200 | 62
300 | 62
400 | 62
500 | 62
750 | 62
1000 | 60
1250 | 52
1500 | 44
1750 | 38
2000 | 34
Results: {1: 62, 10: 62, 20: 62, 30: 62, 40: 62, 50: 62, 75: 62, 100: 62, 200: 62, 300: 62, 400: 62, 500: 62, 750: 62, 1000: 60, 1250: 52, 1500: 44, 1750: 38, 2000: 34}
Stress Balls:
    # shapes | FPS...
2000 | 33
1750 | 38
1500 | 43
1250 | 51
1000 | 60
750 | 62
500 | 62
400 | 62
300 | 62
200 | 62
100 | 62
75 | 62
50 | 62
40 | 62
30 | 62
20 | 62
10 | 62
1 | 62
Results: {1: 62, 10: 62, 20: 62, 30: 62, 40: 62, 50: 62, 75: 62, 100: 62, 200: 62, 300: 62, 400: 62, 500: 62, 750: 62, 1000: 60, 1250: 51, 1500: 43, 1750: 38, 2000: 33}
Stress Balls:
    # shapes | FPS...
1 | 62
10 | 62
20 | 62
30 | 62
40 | 62
50 | 62
75 | 62
100 | 62
200 | 62
300 | 62
400 | 62
500 | 62
750 | 62
1000 | 61
1250 | 50
1500 | 44
1750 | 38
2000 | 34
Results: {1: 62, 10: 62, 20: 62, 30: 62, 40: 62, 50: 62, 75: 62, 100: 62, 200: 62, 300: 62, 400: 62, 500: 62, 750: 62, 1000: 61, 1250: 50, 1500: 44, 1750: 38, 2000: 34}
Stress Balls:
    # shapes | FPS...
2000 | 33
1750 | 38
1500 | 43
1250 | 51
1000 | 60
750 | 62
500 | 62
400 | 62
300 | 62
200 | 62
100 | 62
75 | 62
50 | 62
40 | 62
30 | 62
20 | 62
10 | 62
1 | 62
Results: {1: 62, 10: 62, 20: 62, 30: 62, 40: 62, 50: 62, 75: 62, 100: 62, 200: 62, 300: 62, 400: 62, 500: 62, 750: 62, 1000: 60, 1250: 51, 1500: 43, 1750: 38, 2000: 33}
