Stress Balls:
    # shapes | FPS...
1 | 57
10 | 60
20 | 59
30 | 59
40 | 59
50 | 59
75 | 59
100 | 59
200 | 59
300 | 59
400 | 59
500 | 59
750 | 59
1000 | 61
1250 | 51
1500 | 43
1750 | 37
2000 | 33
Results: {1: 57, 10: 60, 20: 59, 30: 59, 40: 59, 50: 59, 75: 59, 100: 59, 200: 59, 300: 59, 400: 59, 500: 59, 750: 59, 1000: 61, 1250: 51, 1500: 43, 1750: 37, 2000: 33}
Stress Balls:
    # shapes | FPS...
2000 | 32
1750 | 37
1500 | 43
1250 | 51
1000 | 60
750 | 59
500 | 59
400 | 59
300 | 59
200 | 59
100 | 59
75 | 59
50 | 59
40 | 59
30 | 60
20 | 60
10 | 60
1 | 59
Results: {1: 59, 10: 60, 20: 60, 30: 60, 40: 59, 50: 59, 75: 59, 100: 59, 200: 59, 300: 59, 400: 59, 500: 59, 750: 59, 1000: 60, 1250: 51, 1500: 43, 1750: 37, 2000: 32}
Stress Balls:
    # shapes | FPS...
1 | 60
10 | 59
20 | 59
30 | 60
40 | 59
50 | 59
75 | 60
100 | 59
200 | 60
300 | 59
400 | 59
500 | 59
750 | 59
1000 | 60
1250 | 56
1500 | 47
1750 | 39
2000 | 35
Results: {1: 60, 10: 59, 20: 59, 30: 60, 40: 59, 50: 59, 75: 60, 100: 59, 200: 60, 300: 59, 400: 59, 500: 59, 750: 59, 1000: 60, 1250: 56, 1500: 47, 1750: 39, 2000: 35}
Stress Balls:
    # shapes | FPS...
2000 | 36
1750 | 42
1500 | 49
1250 | 59
1000 | 60
750 | 59
500 | 59
400 | 59
300 | 60
200 | 60
100 | 60
75 | 59
50 | 59
40 | 59
30 | 59
20 | 59
10 | 59
1 | 59
Results: {1: 59, 10: 59, 20: 59, 30: 59, 40: 59, 50: 59, 75: 59, 100: 60, 200: 60, 300: 60, 400: 59, 500: 59, 750: 59, 1000: 60, 1250: 59, 1500: 49, 1750: 42, 2000: 36}
