Stress Balls:
    # shapes | FPS...
1 | 62
10 | 62
20 | 62
30 | 62
40 | 62
50 | 62
75 | 62
100 | 62
200 | 62
300 | 62
400 | 62
500 | 62
750 | 60
1000 | 48
1250 | 39
1500 | 34
1750 | 29
2000 | 25
Results: {1: 62, 10: 62, 20: 62, 30: 62, 40: 62, 50: 62, 75: 62, 100: 62, 200: 62, 300: 62, 400: 62, 500: 62, 750: 60, 1000: 48, 1250: 39, 1500: 34, 1750: 29, 2000: 25}
Stress Balls:
    # shapes | FPS...
2000 | 26
1750 | 29
1500 | 33
1250 | 40
1000 | 48
750 | 60
500 | 62
400 | 62
300 | 62
200 | 62
100 | 62
75 | 62
50 | 62
40 | 62
30 | 62
20 | 62
10 | 62
1 | 62
Results: {1: 62, 10: 62, 20: 62, 30: 62, 40: 62, 50: 62, 75: 62, 100: 62, 200: 62, 300: 62, 400: 62, 500: 62, 750: 60, 1000: 48, 1250: 40, 1500: 33, 1750: 29, 2000: 26}
Stress Balls:
    # shapes | FPS...
1 | 62
10 | 62
20 | 62
30 | 62
40 | 62
50 | 62
75 | 62
100 | 62
200 | 62
300 | 62
400 | 62
500 | 62
750 | 61
1000 | 48
1250 | 40
1500 | 33
1750 | 29
2000 | 26
Results: {1: 62, 10: 62, 20: 62, 30: 62, 40: 62, 50: 62, 75: 62, 100: 62, 200: 62, 300: 62, 400: 62, 500: 62, 750: 61, 1000: 48, 1250: 40, 1500: 33, 1750: 29, 2000: 26}
Stress Balls:
    # shapes | FPS...
2000 | 26
1750 | 29
1500 | 34
1250 | 38
1000 | 49
750 | 60
500 | 62
400 | 62
300 | 62
200 | 62
100 | 62
75 | 62
50 | 62
40 | 62
30 | 62
20 | 62
10 | 62
1 | 62
Results: {1: 62, 10: 62, 20: 62, 30: 62, 40: 62, 50: 62, 75: 62, 100: 62, 200: 62, 300: 62, 400: 62, 500: 62, 750: 60, 1000: 49, 1250: 38, 1500: 34, 1750: 29, 2000: 26}
