Stress Balls:
    # shapes | FPS...
1 | 59
10 | 59
20 | 59
30 | 59
40 | 59
50 | 59
75 | 59
100 | 59
200 | 60
300 | 59
400 | 59
500 | 59
750 | 59
1000 | 47
1250 | 38
1500 | 32
1750 | 27
2000 | 24
Results: {1: 59, 10: 59, 20: 59, 30: 59, 40: 59, 50: 59, 75: 59, 100: 59, 200: 60, 300: 59, 400: 59, 500: 59, 750: 59, 1000: 47, 1250: 38, 1500: 32, 1750: 27, 2000: 24}
Stress Balls:
    # shapes | FPS...
2000 | 23
1750 | 26
1500 | 30
1250 | 36
1000 | 44
750 | 57
500 | 60
400 | 59
300 | 59
200 | 59
100 | 60
75 | 60
50 | 60
40 | 60
30 | 59
20 | 60
10 | 60
1 | 59
Results: {1: 59, 10: 60, 20: 60, 30: 59, 40: 60, 50: 60, 75: 60, 100: 60, 200: 59, 300: 59, 400: 59, 500: 60, 750: 57, 1000: 44, 1250: 36, 1500: 30, 1750: 26, 2000: 23}
Stress Balls:
    # shapes | FPS...
1 | 59
10 | 60
20 | 60
30 | 60
40 | 60
50 | 60
75 | 60
100 | 59
200 | 60
300 | 60
400 | 59
500 | 60
750 | 59
1000 | 54
1250 | 43
1500 | 36
1750 | 31
2000 | 27
Results: {1: 59, 10: 60, 20: 60, 30: 60, 40: 60, 50: 60, 75: 60, 100: 59, 200: 60, 300: 60, 400: 59, 500: 60, 750: 59, 1000: 54, 1250: 43, 1500: 36, 1750: 31, 2000: 27}
Stress Balls:
    # shapes | FPS...
2000 | 28
1750 | 31
1500 | 36
1250 | 46
1000 | 57
750 | 60
500 | 59
400 | 59
300 | 59
200 | 59
100 | 60
75 | 59
50 | 59
40 | 59
30 | 59
20 | 59
10 | 59
1 | 59
Results: {1: 59, 10: 59, 20: 59, 30: 59, 40: 59, 50: 59, 75: 59, 100: 60, 200: 59, 300: 59, 400: 59, 500: 59, 750: 60, 1000: 57, 1250: 46, 1500: 36, 1750: 31, 2000: 28}
