編號,相機序號,色調結果,時間,存檔檔名,目標R,目標G,目標B,大小,WPT,BPT,位置x,位置y,結果R,結果B,作業時間
1, N2201001A0001, OK, 2021/09/03 13:43:11, 20210903_134311_N2201001A0001_11.bmp,230,229,242,190,35,20,-40,-40,1943,1236,63.34
2, N2201001A0002, OK, 2021/09/03 13:48:47, 20210903_134847_N2201001A0002_11.bmp,230,229,242,190,35,20,-35,-30,1969,1276,48.27
3, N2201001A0003, OK, 2021/09/03 13:52:48, 20210903_135248_N2201001A0003_11.bmp,230,229,242,190,35,20,-45,-45,1963,1284,53.45
5, N2201001A0005, AWB作業延時,2021/09/03 14:00:29, 20210903_135610_N2201001A0007_11.bmp,230,229,242,190,35,20,-35,-40,1970,1279,52.73
6, N2201001A0006, OK, 2021/09/03 14:07:25, 20210903_135610_N2201001A0008_11.bmp,230,229,242,190,35,20,-40,-50,1981,1258,66.12
7, N2201001A0007, OK, 2021/09/03 13:48:47, 20210903_134847_N2201001A0002_11.bmp,230,229,242,190,35,20,-35,-30,1969,1276,48.27
8, N2201001A0008, OK, 2021/09/03 13:52:48, 20210903_135248_N2201001A0003_11.bmp,230,229,242,190,35,20,-45,-45,1963,1284,53.45
10, N2201001A0010, OK, 2021/09/03 13:56:10, 20210903_135610_N2201001A0005_11.bmp,230,229,242,190,35,20,-45,-35,1976,1277,49.56
12, N2201001A0012, OK, 2021/09/03 13:48:47, 20210903_134847_N2201001A0002_11.bmp,230,229,242,190,35,20,-35,-30,1969,1276,48.27
14, N2201001A0014, OK, 2021/09/03 13:56:10, 20210903_135610_N2201001A0005_11.bmp,230,229,242,190,35,20,-45,-35,1976,1277,49.56
15, N2201001A0015, OK, 2021/09/03 14:00:29, 20210903_135610_N2201001A0007_11.bmp,230,229,242,190,35,20,-35,-40,1970,1279,52.73
16, N2201001A0016, OK, 2021/09/03 14:07:25, 20210903_135610_N2201001A0008_11.bmp,230,229,242,190,35,20,-40,-50,1981,1258,66.12
17, N2201001A0017, OK, 2021/09/03 13:48:47, 20210903_134847_N2201001A0002_11.bmp,230,229,242,190,35,20,-35,-30,1969,1276,48.27
18, N2201001A0018, OK, 2021/09/03 13:52:48, 20210903_135248_N2201001A0003_11.bmp,230,229,242,190,35,20,-45,-45,1963,1284,53.45
20, N2201001A0020, OK, 2021/09/03 13:56:10, 20210903_135610_N2201001A0005_11.bmp,230,229,242,190,35,20,-45,-35,1976,1277,49.56
