編號,相機序號,間隙的數值,進站時間,出站時間
1,N2201001A0001,1.336,2022/11/07 15:59:01,2022/11/07 16:01:20
2,N2201001A0002,1.412,2022/11/07 16:02:06,2022/11/07 16:03:55
3,N2201001A0003,1.138,2022/11/07 16:04:12,2022/11/07 16:06:32
4,N2201001A0005,1.368,2022/11/07 16:10:28,2022/11/07 16:12:12
5,N2201001A0006,1.311,2022/11/07 16:15:21,2022/11/07 16:16:13
6,N2201001A0007,1.257,2022/11/07 16:17:28,2022/11/07 16:19:07
7,N2201001A0008,1.385,2022/11/07 16:22:31,2022/11/07 16:24:20
8,N2201001A0009,1.385,2022/11/07 16:22:31,2022/11/07 16:24:20
9,N2201001A0010,1.385,2022/11/07 16:22:31,2022/11/07 16:24:20
10,N2201001A0011,1.336,2022/11/07 15:59:01,2022/11/07 16:01:20
11,N2201001A0012,1.412,2022/11/07 16:02:06,2022/11/07 16:03:55
12,N2201001A0014,1.224,2022/11/07 16:08:19,2022/11/07 16:10:01
13,N2201001A0015,1.368,2022/11/07 16:10:28,2022/11/07 16:12:12
14,N2201001A0016,1.311,2022/11/07 16:15:21,2022/11/07 16:16:13
15,N2201001A0017,1.257,2022/11/07 16:17:28,2022/11/07 16:19:07
16,N2201001A0018,1.385,2022/11/07 16:22:31,2022/11/07 16:24:20
17,N2201001A0019,1.385,2022/11/07 16:22:31,2022/11/07 16:24:20
18,N2201001A0020,1.385,2022/11/07 16:22:31,2022/11/07 16:24:20


