編號,相機序號,判定等級,判定時間,不良原因,存檔檔名
1,N2201001A0001,B,2020/10/05 15:42:05,,20201005_154205_N2201001A0001_13a.bmp
2,N2201001A0002,A,2020/10/05 15:42:34,,20201005_154234_N2201001A0002_13a.bmp
3,N2201001A0003,B,2020/10/05 15:42:38,,20201005_154238_N2201001A0003_13a.bmp
4,N2201001A0006,B,2020/10/05 15:43:39,,20201005_154247_N2201001A0006_13a.bmp
5,N2201001A0007,A,2020/10/05 16:09:13,,20201005_154247_N2201001A0007_13a.bmp
6,N2201001A0008,B,2020/10/05 15:42:38,,20201005_154238_N2201001A0008_13a.bmp
7,N2201001A0010,B,2020/10/05 15:42:34,,20201005_154234_N2201001A0010_13a.bmp
8,N2201001A0012,A,2020/10/05 15:42:34,,20201005_154234_N2201001A0012_13a.bmp
9,N2201001A0014,F,2020/10/05 15:42:47,,20201005_154247_N2201001A0014_13a.bmp
10,N2201001A0015,NG,2020/10/05 15:42:55,2G:外觀補膠過厚,20201005_154247_N2201001A0015_13a.bmp
11,N2201001A0016,B,2020/10/05 15:43:39,,20201005_154247_N2201001A0016_13a.bmp
12,N2201001A0017,A,2020/10/05 16:09:13,,20201005_154247_N2201001A0017_13a.bmp
13,N2201001A0018,B,2020/10/05 15:42:38,,20201005_154238_N2201001A0018_13a.bmp
14,N2201001A0020,B,2020/10/05 15:42:34,,20201005_154234_N2201001A0020_13a.bmp
