編號,相機序號,COSMO資料,時間
1,N2201001A0001,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:03:27
2,N2201001A0002,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:03:51
3,N2201001A0003,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:04:03
4,N2201001A0005,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:04:22
5,N2201001A0006,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:04:31
7,N2201001A0007,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:04:46
8,N2201001A0008,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:04:46
9,N2201001A0009,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:04:46
10,N2201001A0010,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:04:46
12,N2201001A0012,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:03:51
14,N2201001A0014,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:04:13
15,N2201001A0015,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:04:22
16,N2201001A0016,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:04:31
17,N2201001A0017,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:04:46
18,N2201001A0018,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:04:46
20,N2201001A0020,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:04:46
