編號,相機序號,進站時間,存圖路徑,CCD檢測結果,出站時間,編號,相機序號,進站時間,點膠參數,點膠設定檔,點膠結果,存圖路徑,出站時間,編號,相機序號,進站時間,出站時間,不良品,編號,相機序號,進站時間,出站時間,編號,相機序號,間隙的數值,進站時間,出站時間,編號,相機序號,UV能量值,進站時間,出站時間,編號,相機序號,0度,90度,180度,270度,進站時間,出站時間,編號,相機序號,進站時間,出站時間,不良品,編號,相機序號,COSMO資料,時間,編號,相機序號,漏電流值,結果,進站時間,出站時間,編號,相機序號,色調結果,時間,存檔檔名,目標R,目標G,目標B,大小,WPT,BPT,位置x,位置y,結果R,結果B,作業時間,編號,相機序號,進站時間,出站時間,不良品,編號,相機序號,判定等級,判定時間,不良原因,存檔檔名,編號,相機序號,燒錄時間,燒錄失敗原因,編號,相機序號,進站時間,出站時間,不良品,編號,相機序號,進站時間,出站時間
1,N2201001A0001,2022/11/07 15:59:01,20221107_160110_N2201001A0001_1.bmp,OK,2022/11/07 16:01:20,1,N2201001A0001,2022/11/07 15:59:01,''50-2'',ims1229a.svr,OK,20200615_114434_N2201001A0001_2.bmp,2022/11/07 16:01:20,,,,,,1,N2201001A0001,2022/11/07 15:59:01,2022/11/07 16:01:20,1,N2201001A0001,1.336,2022/11/07 15:59:01,2022/11/07 16:01:20,1,N2201001A0001,5.54,2022/11/07 15:59:01,2022/11/07 16:01:20,1,N2201001A0001,1.24,2.34,3.33,4.12,2022/11/07 15:59:01,2022/11/07 16:01:20,,,,,,1,N2201001A0001,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:03:27,1,N2201001A0001,11.1,OK,2022/11/07 15:59:01,2022/11/07 16:01:20,1,N2201001A0001,OK,2021/09/03 13:43:11,20210903_134311_N2201001A0001_11.bmp,230,229,242,190,35,20,-40,-40,1943,1236,63.34,,,,,,1,N2201001A0001,B,2020/10/05 15:42:05,,20201005_154205_N2201001A0001_13a.bmp,1,N2201001A0001,2022/02/25 10:24:40,OK,,,,,,1,N2201001A0001,2022/11/07 15:59:01,2022/11/07 16:01:20
2,N2201001A0002,2022/11/07 16:02:06,20221107_160345_N2201001A0002_1.bmp,OK,2022/11/07 16:03:55,2,N2201001A0002,2022/11/07 16:02:06,''50-2'',ims1229a.svr,OK,20200615_114434_N2201001A0002_2.bmp,2022/11/07 16:03:55,,,,,,2,N2201001A0002,2022/11/07 16:02:06,2022/11/07 16:03:55,2,N2201001A0002,1.412,2022/11/07 16:02:06,2022/11/07 16:03:55,2,N2201001A0002,6.34,2022/11/07 16:02:06,2022/11/07 16:03:55,2,N2201001A0002,1.24,2.34,3.33,4.12,2022/11/07 16:02:06,2022/11/07 16:03:55,,,,,,2,N2201001A0002,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:03:51,2,N2201001A0002,10.0,OK,2022/11/07 16:02:06,2022/11/07 16:03:55,2,N2201001A0002,OK,2021/09/03 13:48:47,20210903_134847_N2201001A0002_11.bmp,230,229,242,190,35,20,-35,-30,1969,1276,48.27,,,,,,2,N2201001A0002,A,2020/10/05 15:42:34,,20201005_154234_N2201001A0002_13a.bmp,2,N2201001A0002,2022/02/25 10:27:51,OK,,,,,,2,N2201001A0002,2022/11/07 16:02:06,2022/11/07 16:03:55
3,N2201001A0003,2022/11/07 16:04:12,20221107_160622_N2201001A0003_1.bmp,OK,2022/11/07 16:06:32,3,N2201001A0003,2022/11/07 16:04:12,''50-2'',ims1229a.svr,OK,20200615_114434_N2201001A0003_2.bmp,2022/11/07 16:06:32,,,,,,3,N2201001A0003,2022/11/07 16:04:12,2022/11/07 16:06:32,3,N2201001A0003,1.138,2022/11/07 16:04:12,2022/11/07 16:06:32,3,N2201001A0003,4.58,2022/11/07 16:04:12,2022/11/07 16:06:32,3,N2201001A0003,1.24,2.34,3.33,4.12,2022/11/07 16:04:12,2022/11/07 16:06:32,,,,,,3,N2201001A0003,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:04:03,3,N2201001A0003,9.5,OK,2022/11/07 16:04:12,2022/11/07 16:06:32,3,N2201001A0003,OK,2021/09/03 13:52:48,20210903_135248_N2201001A0003_11.bmp,230,229,242,190,35,20,-45,-45,1963,1284,53.45,,,,,,3,N2201001A0003,B,2020/10/05 15:42:38,,20201005_154238_N2201001A0003_13a.bmp,3,N2201001A0003,2022/02/25 10:28:38,OK,,,,,,3,N2201001A0003,2022/11/07 16:04:12,2022/11/07 16:06:32
4,N2201001A0004,2022/11/07 16:08:19,20221107_160951_N2201001A0004_1.bmp,OK,2022/11/07 16:10:01,4,N2201001A0004,2022/11/07 16:08:19,''50-2'',ims1229a.svr,NG,20200615_114434_N2201001A0004_2.bmp,2022/11/07 16:10:01,1,N2201001A0004,2022/11/07 16:08:19,2022/11/07 16:04:35,不良品點膠NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,N2201001A0005,2022/11/07 16:10:28,20221107_161202_N2201001A0005_1.bmp,OK,2022/11/07 16:12:12,5,N2201001A0005,2022/11/07 16:10:28,''50-2'',ims1229a.svr,OK,20200615_114434_N2201001A0005_2.bmp,2022/11/07 16:12:12,,,,,,4,N2201001A0005,2022/11/07 16:10:28,2022/11/07 16:12:12,4,N2201001A0005,1.368,2022/11/07 16:10:28,2022/11/07 16:12:12,4,N2201001A0005,4.15,2022/11/07 16:10:28,2022/11/07 16:12:12,4,N2201001A0005,1.24,2.34,3.33,4.12,2022/11/07 16:10:28,2022/11/07 16:12:12,,,,,,4,N2201001A0005,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:04:22,4,N2201001A0005,80.1,OK,2022/11/07 16:10:28,2022/11/07 16:12:12,5,N2201001A0005,AWB作業延時,2021/09/03 14:00:29,20210903_135610_N2201001A0007_11.bmp,230,229,242,190,35,20,-35,-40,1970,1279,52.73,1,N2201001A0005,2022/11/07 15:59:01,2022/11/07 16:01:20,AWB作業延時,,,,,,,,,,,,,,,,,,,
6,N2201001A0006,2022/11/07 16:15:21,20221107_161603_N2201001A0006_1.bmp,OK,2022/11/07 16:16:13,6,N2201001A0006,2022/11/07 16:15:21,''50-2'',ims1229a.svr,OK,20200615_114434_N2201001A0006_2.bmp,2022/11/07 16:16:13,,,,,,5,N2201001A0006,2022/11/07 16:15:21,2022/11/07 16:16:13,5,N2201001A0006,1.311,2022/11/07 16:15:21,2022/11/07 16:16:13,5,N2201001A0006,6.25,2022/11/07 16:15:21,2022/11/07 16:16:13,5,N2201001A0006,1.24,2.34,3.33,4.12,2022/11/07 16:15:21,2022/11/07 16:16:13,,,,,,5,N2201001A0006,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:04:31,5,N2201001A0006,120.1,OK,2022/11/07 16:14:43,2022/11/07 16:15:23,6,N2201001A0006,OK,2021/09/03 14:07:25,20210903_135610_N2201001A0008_11.bmp,230,229,242,190,35,20,-40,-50,1981,1258,66.12,,,,,,4,N2201001A0006,B,2020/10/05 15:43:39,,20201005_154247_N2201001A0006_13a.bmp,4,N2201001A0006,2022/02/25 10:30:49,相機無法讀寫,1,N2201001A0006,2022/11/07 15:59:01,2022/11/07 16:01:20,相機無法讀寫,,,,
7,N2201001A0007,2022/11/07 16:17:28,20221107_161857_N2201001A0007_1.bmp,OK,2022/11/07 16:19:07,7,N2201001A0007,2022/11/07 16:17:28,''50-2'',ims1229a.svr,OK,20200615_114434_N2201001A0007_2.bmp,2022/11/07 16:19:07,,,,,,6,N2201001A0007,2022/11/07 16:17:28,2022/11/07 16:19:07,6,N2201001A0007,1.257,2022/11/07 16:17:28,2022/11/07 16:19:07,6,N2201001A0007,4.38,2022/11/07 16:17:28,2022/11/07 16:19:07,6,N2201001A0007,1.24,2.34,3.33,4.12,2022/11/07 16:17:28,2022/11/07 16:19:07,,,,,,7,N2201001A0007,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:04:46,6,N2201001A0007,33.1,OK,2022/11/07 16:19:28,2022/11/07 16:21:07,7,N2201001A0007,OK,2021/09/03 13:48:47,20210903_134847_N2201001A0002_11.bmp,230,229,242,190,35,20,-35,-30,1969,1276,48.27,,,,,,5,N2201001A0007,A,2020/10/05 16:09:13,,20201005_154247_N2201001A0007_13a.bmp,5,N2201001A0007,2022/02/25 10:39:03,OK,,,,,,4,N2201001A0007,2022/11/07 16:17:28,2022/11/07 16:19:07
8,N2201001A0008,2022/11/07 16:22:31,20221107_162410_N2201001A0008_1.bmp,OK,2022/11/07 16:24:20,8,N2201001A0008,2022/11/07 16:22:31,''50-2'',ims1229a.svr,OK,20200615_114434_N2201001A0008_2.bmp,2022/11/07 16:24:20,,,,,,7,N2201001A0008,2022/11/07 16:22:31,2022/11/07 16:24:20,7,N2201001A0008,1.385,2022/11/07 16:22:31,2022/11/07 16:24:20,7,N2201001A0008,5.33,2022/11/07 16:22:31,2022/11/07 16:24:20,7,N2201001A0008,1.24,2.34,3.33,4.12,2022/11/07 16:22:31,2022/11/07 16:24:20,,,,,,8,N2201001A0008,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:04:46,7,N2201001A0008,9.5,OK,2022/11/07 16:04:12,2022/11/07 16:06:32,8,N2201001A0008,OK,2021/09/03 13:52:48,20210903_135248_N2201001A0003_11.bmp,230,229,242,190,35,20,-45,-45,1963,1284,53.45,,,,,,6,N2201001A0008,B,2020/10/05 15:42:38,,20201005_154238_N2201001A0008_13a.bmp,6,N2201001A0008,2022/02/25 10:29:10,OK,,,,,,5,N2201001A0008,2022/11/07 16:22:31,2022/11/07 16:24:20
9,N2201001A0009,2022/11/07 16:22:31,20221107_162410_N2201001A0009_1.bmp,OK,2022/11/07 16:24:20,9,N2201001A0009,2022/11/07 16:22:31,''50-2'',ims1229a.svr,OK,20200615_114434_N2201001A0009_2.bmp,2022/11/07 16:24:20,,,,,,8,N2201001A0009,2022/11/07 16:22:31,2022/11/07 16:24:20,8,N2201001A0009,1.385,2022/11/07 16:22:31,2022/11/07 16:24:20,8,N2201001A0009,5.33,2022/11/07 16:22:31,2022/11/07 16:24:20,8,N2201001A0009,1.24,2.34,3.33,4.12,2022/11/07 16:22:31,2022/11/07 16:24:20,,,,,,9,N2201001A0009,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:04:46,8,N2201001A0009,132.1,NG,2022/11/07 16:08:19,2022/11/07 16:10:01,,,,,,,,,,,,,,,,,2,N2201001A0009,2022/11/07 16:22:31,2022/11/07 16:24:20,Hi-pot NG,,,,,,,,,,,,,,,,,,,
10,N2201001A0010,2022/11/07 16:22:31,20221107_162410_N2201001A0010_1.bmp,OK,2022/11/07 16:24:20,10,N2201001A0010,2022/11/07 16:22:31,''50-2'',ims1229a.svr,OK,20200615_114434_N2201001A0010_2.bmp,2022/11/07 16:24:20,,,,,,9,N2201001A0010,2022/11/07 16:22:31,2022/11/07 16:24:20,9,N2201001A0010,1.385,2022/11/07 16:22:31,2022/11/07 16:24:20,9,N2201001A0010,5.33,2022/11/07 16:22:31,2022/11/07 16:24:20,9,N2201001A0010,1.24,2.34,3.33,4.12,2022/11/07 16:22:31,2022/11/07 16:24:20,,,,,,10,N2201001A0010,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:04:46,9,N2201001A0010,80.1,OK,2022/11/07 16:10:28,2022/11/07 16:12:12,10,N2201001A0010,OK,2021/09/03 13:56:10,20210903_135610_N2201001A0005_11.bmp,230,229,242,190,35,20,-45,-35,1976,1277,49.56,,,,,,7,N2201001A0010,B,2020/10/05 15:42:34,,20201005_154234_N2201001A0010_13a.bmp,7,N2201001A0010,2022/02/25 10:39:03,OK,,,,,,6,N2201001A0010,2022/11/07 16:22:31,2022/11/07 16:24:20
11,N2201001A0011,2022/11/07 16:22:31,20221107_162410_N2201001A0011_1.bmp,OK,2022/11/07 16:24:20,11,N2201001A0011,2022/11/07 15:59:01,''50-2'',ims1229a.svr,OK,20200615_114434_N2201001A0011_2.bmp,2022/11/07 16:01:20,,,,,,10,N2201001A0011,2022/11/07 15:59:01,2022/11/07 16:01:20,10,N2201001A0011,1.336,2022/11/07 15:59:01,2022/11/07 16:01:20,10,N2201001A0011,5.54,2022/11/07 15:59:01,2022/11/07 16:01:20,10,N2201001A0011,1.24,2.34,3.33,4.12,2022/11/07 15:59:01,2022/11/07 16:01:20,1,N2201001A0011,2022/11/07 15:59:01,2022/11/07 16:01:20,點膠線檢查NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,N2201001A0012,2022/11/07 16:22:31,20221107_162410_N2201001A0012_1.bmp,OK,2022/11/07 16:24:20,12,N2201001A0012,2022/11/07 16:02:06,''50-2'',ims1229a.svr,OK,20200615_114434_N2201001A0012_2.bmp,2022/11/07 16:03:55,,,,,,11,N2201001A0012,2022/11/07 16:02:06,2022/11/07 16:03:55,11,N2201001A0012,1.412,2022/11/07 16:02:06,2022/11/07 16:03:55,11,N2201001A0012,6.34,2022/11/07 16:02:06,2022/11/07 16:03:55,11,N2201001A0012,1.24,2.34,3.33,4.12,2022/11/07 16:02:06,2022/11/07 16:03:55,,,,,,12,N2201001A0012,#00 00 2 -005.874 +024.000 -024.000 -005.874 +012.431 +100.000 +000.100 +040.020 +124.000 -124.000 +012.429 +015.000 +010.500 +000.000 00:10,2020/06/15 14:03:51,10,N2201001A0012,10.0,OK,2022/11/07 16:02:06,2022/11/07 16:03:55,12,N2201001A0012,OK,2021/09/03 13:48:47,20210903_134847_N2201001A0002_11.bmp,230,229,242,190,35,20,-35,-30,1969,1276,48.27,,,,,,8,N2201001A0012,A,2020/10/05 15:42:34,,20201005_154234_N2201001A0012_13a.bmp,8,N2201001A0012,2022/02/25 10:27:51,OK,,,,,,7,N2201001A0012,2022/11/07 16:02:06,2022/11/07 16:03:55
