Province/State,Country/Region,Last Update,Deaths,Confirmed,Recovered
0,Afghanistan,2020-03-23 23:19:21,1,40,1
0,Albania,2020-03-23 23:19:21,4,104,2
0,Algeria,2020-03-23 23:19:21,17,230,65
0,Andorra,2020-03-23 23:19:21,1,133,1
0,Angola,2020-03-23 23:19:21,0,3,0
0,Antigua and Barbuda,2020-03-23 23:19:21,0,3,0
0,Argentina,2020-03-23 23:19:21,4,266,27
0,Armenia,2020-03-23 23:19:21,0,235,2
0,Austria,2020-03-23 23:19:21,21,4474,9
0,Azerbaijan,2020-03-23 23:19:21,1,72,10
0,Bahamas,2020-03-23 23:19:21,0,4,0
0,Bahrain,2020-03-23 23:19:21,2,377,164
0,Bangladesh,2020-03-23 23:19:21,3,33,5
0,Barbados,2020-03-23 23:19:21,0,17,0
0,Belarus,2020-03-23 23:19:21,0,81,22
0,Belgium,2020-03-23 23:19:21,88,3743,401
0,Belize,2020-03-23 23:19:21,0,1,0
0,Benin,2020-03-23 23:19:21,0,5,0
0,Bhutan,2020-03-23 23:19:21,0,2,0
0,Bolivia,2020-03-23 23:19:21,0,27,0
0,Bosnia and Herzegovina,2020-03-23 23:19:21,1,132,2
0,Brazil,2020-03-23 23:19:21,34,1924,2
0,Brunei,2020-03-23 23:19:21,0,91,2
0,Bulgaria,2020-03-23 23:19:21,3,201,3
0,Burkina Faso,2020-03-23 23:19:21,4,99,5
0,Cabo Verde,2020-03-23 23:19:21,0,3,0
0,Cambodia,2020-03-23 23:19:21,0,87,2
0,Cameroon,2020-03-23 23:19:21,0,56,2
0,Central African Republic,2020-03-23 23:19:21,0,3,0
0,Chad,2020-03-23 23:19:21,0,1,0
0,Chile,2020-03-23 23:19:21,2,746,11
0,Colombia,2020-03-23 23:19:21,3,277,3
0,Congo (Brazzaville),2020-03-23 23:19:21,0,4,0
0,Congo (Kinshasa),2020-03-23 23:19:21,1,36,0
0,Costa Rica,2020-03-23 23:19:21,2,158,2
0,Cote d'Ivoire,2020-03-23 23:19:21,0,25,2
0,Croatia,2020-03-23 23:19:21,1,315,5
0,Cuba,2020-03-23 23:19:21,1,40,0
0,Cyprus,2020-03-23 23:19:21,1,116,3
0,Czechia,2020-03-23 23:19:21,1,1236,7
0,Denmark,2020-03-23 23:19:21,24,1450,1
0,Djibouti,2020-03-23 23:19:21,0,3,0
0,Dominica,2020-03-23 23:19:21,0,2,0
0,Dominican Republic,2020-03-23 23:19:21,3,245,3
0,Ecuador,2020-03-23 23:19:21,18,981,3
0,Egypt,2020-03-23 23:19:21,19,366,68
0,El Salvador,2020-03-23 23:19:21,0,3,0
0,Equatorial Guinea,2020-03-23 23:19:21,0,9,0
0,Eritrea,2020-03-23 23:19:21,0,1,0
0,Estonia,2020-03-23 23:19:21,0,352,4
0,Eswatini,2020-03-23 23:19:21,0,4,0
0,Ethiopia,2020-03-23 23:19:21,0,11,0
0,Fiji,2020-03-23 23:19:21,0,3,0
0,Finland,2020-03-23 23:19:21,1,700,10
0,Gabon,2020-03-23 23:19:21,1,5,0
0,Gambia,2020-03-23 23:19:21,1,2,0
0,Georgia,2020-03-23 23:19:21,0,61,8
0,Germany,2020-03-23 23:19:21,123,29056,453
0,Ghana,2020-03-23 23:19:21,2,27,0
0,Greece,2020-03-23 23:19:21,17,695,29
0,Grenada,2020-03-23 23:19:21,0,1,0
0,Guatemala,2020-03-23 23:19:21,1,20,0
0,Guinea,2020-03-23 23:19:21,0,4,0
0,Guyana,2020-03-23 23:19:21,1,20,0
0,Haiti,2020-03-23 23:19:21,0,6,0
0,Holy See,2020-03-23 23:19:21,0,1,0
0,Honduras,2020-03-23 23:19:21,0,27,0
0,Hungary,2020-03-23 23:19:21,7,167,16
0,Iceland,2020-03-23 23:19:21,1,588,51
0,India,2020-03-23 23:19:21,10,499,34
0,Indonesia,2020-03-23 23:19:21,49,579,30
0,Iran,2020-03-23 23:19:21,1812,23049,8376
0,Iraq,2020-03-23 23:19:21,23,266,62
0,Ireland,2020-03-23 23:19:21,6,1125,5
0,Israel,2020-03-23 23:19:21,1,1442,41
0,Italy,2020-03-23 23:19:21,6077,63927,7432
0,Jamaica,2020-03-23 23:19:21,1,19,2
0,Japan,2020-03-23 23:19:21,42,1128,235
0,Jordan,2020-03-23 23:19:21,0,127,1
0,Kazakhstan,2020-03-23 23:19:21,0,62,0
0,Kenya,2020-03-23 23:19:21,0,16,0
0,"Korea, South",2020-03-23 23:19:21,111,8961,3166
0,Kuwait,2020-03-23 23:19:21,0,189,30
0,Kyrgyzstan,2020-03-23 23:19:21,0,16,0
0,Latvia,2020-03-23 23:19:21,0,180,1
0,Lebanon,2020-03-23 23:19:21,4,267,8
0,Liberia,2020-03-23 23:19:21,0,3,0
0,Liechtenstein,2020-03-23 23:19:21,0,51,0
0,Lithuania,2020-03-23 23:19:21,1,179,1
0,Luxembourg,2020-03-23 23:19:21,8,875,6
0,Madagascar,2020-03-23 23:19:21,0,12,0
0,Malaysia,2020-03-23 23:19:21,14,1518,159
0,Maldives,2020-03-23 23:19:21,0,13,5
0,Malta,2020-03-23 23:19:21,0,107,2
0,Mauritania,2020-03-23 23:19:21,0,2,0
0,Mauritius,2020-03-23 23:19:21,2,36,0
0,Mexico,2020-03-23 23:19:21,3,316,4
0,Moldova,2020-03-23 23:19:21,1,109,2
0,Monaco,2020-03-23 23:19:21,0,23,1
0,Mongolia,2020-03-23 23:19:21,0,10,0
0,Montenegro,2020-03-23 23:19:21,1,27,0
0,Morocco,2020-03-23 23:19:21,4,143,5
0,Mozambique,2020-03-23 23:19:21,0,1,0
0,Namibia,2020-03-23 23:19:21,0,4,0
0,Nepal,2020-03-23 23:19:21,0,2,1
0,Netherlands,2020-03-23 23:19:21,213,4749,2
0,New Zealand,2020-03-23 23:19:21,0,102,0
0,Nicaragua,2020-03-23 23:19:21,0,2,0
0,Niger,2020-03-23 23:19:21,0,3,0
0,Nigeria,2020-03-23 23:19:21,1,40,2
0,North Macedonia,2020-03-23 23:19:21,2,136,1
0,Norway,2020-03-23 23:19:21,10,2621,6
0,Oman,2020-03-23 23:19:21,0,66,17
0,Pakistan,2020-03-23 23:19:21,6,875,13
0,Panama,2020-03-23 23:19:21,3,313,1
0,Papua New Guinea,2020-03-23 23:19:21,0,1,0
0,Paraguay,2020-03-23 23:19:21,1,22,0
0,Peru,2020-03-23 23:19:21,5,395,1
0,Philippines,2020-03-23 23:19:21,33,462,18
0,Poland,2020-03-23 23:19:21,8,749,13
0,Portugal,2020-03-23 23:19:21,23,2060,14
0,Qatar,2020-03-23 23:19:21,0,501,33
0,Romania,2020-03-23 23:19:21,7,576,73
0,Russia,2020-03-23 23:19:21,1,438,17
0,Rwanda,2020-03-23 23:19:21,0,36,0
0,Saint Lucia,2020-03-23 23:19:21,0,3,0
0,Saint Vincent and the Grenadines,2020-03-23 23:19:21,0,1,0
0,San Marino,2020-03-23 23:19:21,20,187,4
0,Saudi Arabia,2020-03-23 23:19:21,0,562,19
0,Senegal,2020-03-23 23:19:21,0,79,8
0,Serbia,2020-03-23 23:19:21,3,249,3
0,Seychelles,2020-03-23 23:19:21,0,7,0
0,Singapore,2020-03-23 23:19:21,2,509,152
0,Slovakia,2020-03-23 23:19:21,0,186,7
0,Slovenia,2020-03-23 23:19:21,3,442,0
0,Somalia,2020-03-23 23:19:21,0,1,0
0,South Africa,2020-03-23 23:19:21,0,402,4
0,Spain,2020-03-23 23:19:21,2311,35136,3355
0,Sri Lanka,2020-03-23 23:19:21,0,97,2
0,Sudan,2020-03-23 23:19:21,1,2,0
0,Suriname,2020-03-23 23:19:21,0,5,0
0,Sweden,2020-03-23 23:19:21,25,2046,16
0,Switzerland,2020-03-23 23:19:21,120,8795,131
0,Syria,2020-03-23 23:19:21,0,1,0
0,Taiwan*,2020-03-23 06:45:13,2,195,28
0,Tanzania,2020-03-23 23:19:21,0,12,0
0,Thailand,2020-03-23 23:19:21,1,721,52
0,Timor-Leste,2020-03-23 23:19:21,0,1,0
0,Togo,2020-03-23 23:19:21,0,18,0
0,Trinidad and Tobago,2020-03-23 23:19:21,0,51,0
0,Tunisia,2020-03-23 23:19:21,3,89,1
0,Turkey,2020-03-23 23:19:21,37,1529,0
0,Uganda,2020-03-23 23:19:21,0,9,0
0,Ukraine,2020-03-23 23:19:21,3,73,1
0,United Arab Emirates,2020-03-23 23:19:21,2,198,41
0,United Kingdom,2020-03-23 23:19:21,335,6650,135
0,Uruguay,2020-03-23 23:19:21,0,158,0
0,Uzbekistan,2020-03-23 23:19:21,0,46,0
0,Venezuela,2020-03-23 23:19:21,0,77,15
0,Vietnam,2020-03-23 23:19:21,0,123,17
0,Zambia,2020-03-23 23:19:21,0,3,0
0,Zimbabwe,2020-03-23 23:19:21,1,3,0
