編號,相機序號,進站時間,出站時間
1,N2201001A0001,2022/11/07 15:59:01,2022/11/07 16:01:20
2,N2201001A0002,2022/11/07 16:02:06,2022/11/07 16:03:55
3,N2201001A0003,2022/11/07 16:04:12,2022/11/07 16:06:32
4,N2201001A0007,2022/11/07 16:17:28,2022/11/07 16:19:07
5,N2201001A0008,2022/11/07 16:22:31,2022/11/07 16:24:20
6,N2201001A0010,2022/11/07 16:22:31,2022/11/07 16:24:20
7,N2201001A0012,2022/11/07 16:02:06,2022/11/07 16:03:55
8,N2201001A0014,2022/11/07 16:08:19,2022/11/07 16:10:01
9,N2201001A0016,2022/11/07 16:15:21,2022/11/07 16:16:13
10,N2201001A0017,2022/11/07 16:17:28,2022/11/07 16:19:07
11,N2201001A0018,2022/11/07 16:22:31,2022/11/07 16:24:20
12,N2201001A0020,2022/11/07 16:22:31,2022/11/07 16:24:20
