player,pos,salary
Stephen Curry,Point Guard,37457154
Chris Paul,Point Guard,35654150
LeBron James,Small Forward,35654150
Russell Westbrook,Point Guard,35350000
Blake Griffin,Power Forward,32088932
Gordon Hayward,Shooting Guard,31214295
Kyle Lowry,Point Guard,31000000
Paul George,Small Forward,30560700
Mike Conley,Point Guard,30521115
James Harden,Shooting Guard,30421854
Kevin Durant,Small Forward,30000000
Paul Millsap,Power Forward,29230769
Al Horford,Center,28928709
Damian Lillard,Point Guard,27977689
Carmelo Anthony,Small Forward,27928140
DeMar DeRozan,Shooting Guard,27739975
Jrue Holiday,Point Guard,26161111
Otto Porter Jr.,Small Forward,26011913
C.J. McCollum,Shooting Guard,25759766
Nikola Jokic,Center,25467250
Anthony Davis,Power Forward,25434263
Andre Drummond,Center,25434263
Hassan Whiteside,Center,25434263
Bradley Beal,Shooting Guard,25434263
Joel Embiid,Center,25250000
Andrew Wiggins,Shooting Guard,25250000
Steven Adams,Center,24157303
Giannis Antetokounmpo,Small Forward,24157303
Kevin Love,Center,24119025
Marc Gasol,Center,24119025
Harrison Barnes,Small Forward,24107258
Chandler Parsons,Small Forward,24107258
Nicolas Batum,Shooting Guard,24000000
Rudy Gobert,Center,23491573
Kawhi Leonard,Small Forward,23114066
DeAndre Jordan,Center,22897200
LaMarcus Aldridge,Power Forward,22347015
Serge Ibaka,Power Forward,21666667
Aaron Gordon,Power Forward,21590909
Danilo Gallinari,Small Forward,21587579
Victor Oladipo,Shooting Guard,21000000
Jimmy Butler,Shooting Guard,20445779
Ryan Anderson,Power Forward,20421546
Kyrie Irving,Point Guard,20099188
Jabari Parker,Power Forward,20000000
Zach LaVine,Shooting Guard,19500000
Tyler Johnson,Shooting Guard,19245370
John Wall,Point Guard,19169800
George Hill,Point Guard,19000000
Jeff Teague,Point Guard,19000000
Klay Thompson,Shooting Guard,18988725
Enes Kanter,Center,18622513
Wesley Matthews,Shooting Guard,18622513
Joakim Noah,Center,18530000
Allen Crabbe,Shooting Guard,18500000
Goran Dragic,Point Guard,18109175
Kent Bazemore,Small Forward,18089887
Luol Deng,Small Forward,18000000
Evan Turner,Shooting Guard,17868852
Tristan Thompson,Center,17469565
Draymond Green,Power Forward,17469565
Tim Hardaway Jr.,Shooting Guard,17325000
Reggie Jackson,Point Guard,17043478
Evan Fournier,Shooting Guard,17000000
Bismack Biyombo,Center,17000000
Derrick Favors,Power Forward,16900000
Jonas Valanciunas,Center,16539326
Gary Harris,Shooting Guard,16517857
Timofey Mozgov,Center,16000000
Andre Iguodala,Small Forward,16000000
Pau Gasol,Power Forward,16000000
Ian Mahinmi,Center,15944154
Dennis Schroder,Point Guard,15500000
DeMarre Carroll,Small Forward,15400000
Clint Capela,Center,15293103
Gorgui Dieng,Center,15170787
Trevor Ariza,Small Forward,15000000
Eric Bledsoe,Point Guard,15000000
Ricky Rubio,Point Guard,14975000
Tobias Harris,Small Forward,14800000
J.R. Smith,Shooting Guard,14720000
James Johnson,Power Forward,14651700
Brandon Knight,Point Guard,14631250
Robin Lopez,Center,14357750
Marvin Williams,Power Forward,14087500
Taj Gibson,Power Forward,14000000
Jeremy Lin,Point Guard,13768421
Thaddeus Young,Power Forward,13764045
Kenneth Faried,Power Forward,13764045
Tyson Chandler,Center,13585000
Marcin Gortat,Center,13565218
Cody Zeller,Power Forward,13528090
Eric Gordon,Shooting Guard,13500375
Joe Ingles,Small Forward,13045455
Khris Middleton,Small Forward,13000000
Michael Kidd-Gilchrist,Small Forward,13000000
Mason Plumlee,Center,12917808
Wilson Chandler,Small Forward,12800562
Solomon Hill,Small Forward,12752928
Nikola Vucevic,Center,12750000
