年月,東京-平均氣溫(℃),東京-降雨量合計(mm),東京-日照時間(時間),大阪-平均氣溫(℃),大阪-降雨量合計(mm),大阪-日照時間(時間),那霸-平均氣溫(℃),那霸-降雨量合計(mm),那霸-日照時間(時間),函館-平均氣溫(℃),函館-降雨量合計(mm),函館-日照時間(時間)
2015/1/1,5.8,92.5,182,6.1,93,123.3,16.6,22,90.7,-0.9,43,108.2
2015/2/1,5.7,62,166.9,6.9,25.5,136.8,16.8,47,114.1,0.1,52.5,129.4
2015/3/1,10.3,94,194.2,10.2,174.5,175.4,19,95.5,126.5,4.3,100,160
2015/4/1,14.5,129,149.5,15.9,107,152.1,22.2,100,118.9,8.3,133.5,227.5
2015/5/1,21.1,88,240.6,21.5,104,249.3,24.9,197.5,144.2,13.2,74.5,251.4
2015/6/1,22.1,195.5,137.3,22.9,196,144.1,28.7,38,221.7,16.6,93,169.9
2015/7/1,26.2,234.5,181.8,27,358,168.2,29,369,202.3,21,90,169.4
2015/8/1,26.7,103.5,137.6,28.6,185.5,202.3,28.7,278,170.2,22.2,72.5,128.3
2015/9/1,22.6,503.5,113.3,23.2,163,158.8,27.8,46.5,208.5,18.2,149,148.8
2015/10/1,18.4,57,181.3,19,40.5,231.2,25.5,63.5,174.6,11,86,175.7
2015/11/1,13.9,139.5,120.1,15.2,111.5,120.4,23.8,95,139.7,7.3,174.5,112.8
2015/12/1,9.3,82.5,162,10.1,90,144.3,20.1,73,102.4,1.8,74.5,89.5
2016/1/1,6.1,85,201.5,6.8,66.5,161.3,17.4,272.5,75.8,-2.5,82,102.7
2016/2/1,7.2,57,160.1,7.4,81,170.4,16.9,157.5,83.1,-1.3,79.5,121.1
2016/3/1,10.1,103,161.9,10.8,91,207,18.7,168.5,106.6,3,46.5,196.9
2016/4/1,15.4,120,149.2,16.6,127.5,168,23,350.5,125.5,8,74.5,159.6
2016/5/1,20.2,137.5,204.9,21.2,136.5,229.7,25.7,129.5,143.2,14.3,63.5,243.5
2016/6/1,22.4,174.5,139.1,23.3,325,148,28.4,319.5,185.7,16,149.5,145.4
2016/7/1,25.4,81.5,143.7,28,66,214.1,29.8,193,253,20.3,147.5,138.6
2016/8/1,27.1,414,156.5,29.5,161.5,262.6,29.5,209,226.4,23.7,168.5,204.7
2016/9/1,24.4,287,79.4,25.8,183.5,106.2,28.4,342,141.8,19.5,122.5,148.4
2016/10/1,18.7,96.5,119.6,20.3,42,148.3,27.7,75.5,175.6,10.9,53.5,172.8
2016/11/1,11.4,139,132.1,13.4,69,155.5,23.2,103,128.4,3.7,83.5,90.7
2016/12/1,8.9,84,193.7,9.4,104,155.9,20.5,47.5,112.1,0.8,173,102.7
2017/1/1,5.8,26,226.7,6.2,33.5,166.7,18.4,92.5,77,-1.9,70,100.5
2017/2/1,6.9,15.5,193.7,6.3,45,144.3,17.1,84,79.9,-1,43.5,101.2
2017/3/1,8.5,85.5,190.3,9.2,46.5,186.8,18.3,96.5,102.4,2,47,166.9
2017/4/1,14.7,122,198.8,15.7,94,199,21.6,67,128.6,8.2,85.5,187
2017/5/1,20,49,216.9,21.1,96,245.8,24.2,315.5,112.1,13.4,72.5,215
2017/6/1,22,106.5,158.8,22.7,167.5,216,26.6,444.5,107.7,15.8,181.5,188.5
2017/7/1,27.3,81,189.1,28.8,45.5,193.7,29.9,44,267.2,22.5,139.5,182.7
2017/8/1,26.4,141.5,83.7,29.2,104.5,214.8,30.4,56.5,242.1,20.3,98,119.9
2017/9/1,22.8,209.5,124.4,24.4,127.5,158.4,28.9,239.5,186.1,18.1,145.5,214.9
2017/10/1,16.8,531.5,94.7,18.4,430,105,27,270,155.8,11.8,96.5,164.1
2017/11/1,11.9,47,162.7,12.6,58,178.9,22.8,146.5,85.6,5.2,180,87.2
2017/12/1,6.6,15,211.1,7,27.5,175.2,18,50.5,101.5,-1.4,131.5,88.9
2018/1/1,4.7,48.5,206.1,5,51.5,172.7,17.2,150.5,74.9,-1.8,127,95
2018/2/1,5.4,20,167.3,5.3,28.5,186.1,16.9,84,97.9,-3.2,108.5,98.3
2018/3/1,11.5,220,198,11.5,137,223.7,19.9,100.5,181.6,3.4,112,171.3
2018/4/1,17,109,201.8,16.9,140,218.4,21.6,126,161.3,8,76,175.7
2018/5/1,19.8,165.5,199.3,20.1,230.5,203.7,25.6,33,238.4,12.5,124,195.8
2018/6/1,22.4,155.5,163.1,23.4,192,179.3,27.8,218.5,171.7,16.3,135,157.7
2018/7/1,28.3,107,227.2,29.5,332,235.4,28.3,429,179.7,21.2,160,120.3
2018/8/1,28.1,86.5,217.4,29.7,41.5,260.7,28.5,310,203.4,21.3,243.5,103.9
2018/9/1,22.9,365,96.7,24.1,372,91.7,28.4,334.5,174.6,18.7,156,158.3
2018/10/1,19.1,61.5,139,19.7,24,198.7,23.9,375,151.8,13.9,191.5,198
2018/11/1,14,63,151,14.6,30.5,161.9,23.1,160.5,155.9,7.2,53,154
2018/12/1,8.3,44,145.3,9.4,72,133.3,20.4,148,85.3,-0.3,91.5,87.1
