ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
2016-01-04,35223237,2804319760,81.2,81.2,78.6,79.0,-1.8,16770
2016-01-05,30125219,2386189217,79.0,80.3,78.8,79.1,0.1,14528
2016-01-06,42557972,3325714092,78.3,79.1,77.3,79.0,-0.1,18197
2016-01-07,40523284,3145237135,77.5,78.5,77.0,78.3,-0.7,19184
2016-01-08,27621439,2150126885,77.2,78.3,77.2,78.0,-0.3,11120
2016-01-11,52037798,3941548966,77.1,77.2,75.3,75.4,-2.6,21521
2016-01-12,31183903,2366446781,76.0,76.5,75.4,76.3,0.9,12094
2016-01-13,22765911,1746518147,77.0,77.3,76.3,76.6,0.3,10691
2016-01-14,23289710,1754900905,75.3,76.0,74.6,76.0,-0.6,10649
2016-01-15,39925385,3005386728,76.3,76.6,74.3,75.3,-0.7,17573
2016-01-18,26696429,1986068436,73.3,75.3,73.1,74.9,-0.4,12714
2016-01-19,21056220,1583829584,75.5,75.7,74.7,75.3,0.4,9492
2016-01-20,38245743,2815100260,74.9,74.9,73.1,73.1,-2.2,17447
2016-01-21,31464728,2306793552,73.3,74.1,72.7,72.7,-0.4,12270
2016-01-22,33147265,2452723986,73.5,74.8,73.4,74.8,2.1,13520
2016-01-25,27076870,2057032785,76.2,76.2,75.5,76.0,1.2,11469
2016-01-26,16786673,1265015391,75.3,75.8,75.0,75.5,-0.5,7579
2016-01-27,18326129,1382569696,76.0,76.0,75.1,75.3,-0.2,7241
2016-01-28,29878020,2235488669,73.7,75.4,73.7,75.1,-0.2,10717
2016-01-29,47980886,3688681070,74.5,77.8,74.5,77.8,2.7,17725
2016-01-30,12962678,1016178365,78.1,78.7,78.1,78.2,0.4,6619
2016-02-01,30157185,2380536596,79.1,79.5,78.2,79.5,1.3,12679
2016-02-02,20296804,1602270378,79.8,79.9,78.4,78.4,-1.1,8980
2016-02-03,37096455,2851281820,78.0,78.1,76.3,76.6,-1.8,14846
2016-02-15,62766696,4687062431,73.9,75.5,73.8,74.7,-1.9,20856
2016-02-16,31952108,2425632902,74.8,77.0,74.8,76.6,1.9,12693
2016-02-17,30568970,2337961277,77.0,77.0,75.6,76.7,0.1,11897
2016-02-18,37357500,2896594654,77.0,77.8,76.8,77.7,1.0,11124
2016-02-19,26453471,2031965637,77.7,77.7,76.2,76.7,-1.0,10326
2016-02-22,19170876,1475401352,76.2,77.7,76.1,76.7,0.0,9178
2016-02-23,12491217,960989945,76.6,77.2,76.6,77.0,0.3,6326
2016-02-24,21319849,1639110073,77.0,78.0,76.2,76.5,-0.5,10774
2016-02-25,57174826,4484549498,76.5,80.0,76.3,78.5,2.0,28586
2016-02-26,40829071,3159358738,77.5,78.0,76.5,78.0,-0.5,16485
2016-03-01,33626757,2601641695,76.8,77.9,76.8,77.7,-0.3,12871
2016-03-02,37017482,2921496584,78.7,79.5,78.2,79.5,1.8,15917
2016-03-03,47911415,3840195571,80.5,80.5,79.5,80.5,1.0,20145
2016-03-04,64064567,5250696683,81.0,83.0,80.5,82.9,2.4,27940
2016-03-07,41415199,3415968111,83.1,83.8,81.5,81.6,-1.3,17870
2016-03-08,35495757,2915963731,81.6,83.0,81.1,83.0,1.4,15314
2016-03-09,22545828,1861757709,82.7,83.3,82.2,82.8,-0.2,9325
2016-03-10,22369892,1859499046,83.3,83.5,82.8,83.0,0.2,9615
2016-03-11,21411465,1775875095,83.0,83.2,82.3,83.2,0.2,8430
2016-03-14,25702309,2154167224,83.8,84.0,83.4,84.0,0.8,11355
2016-03-15,34133063,2830915164,84.0,84.2,82.0,82.3,-1.7,14432
2016-03-16,26268551,2186537133,82.6,84.0,82.6,83.0,0.7,10950
2016-03-17,25510531,2127337546,83.9,84.1,82.5,82.5,-0.5,10505
2016-03-18,61108150,5122968377,83.0,84.0,82.9,84.0,1.5,15464
2016-03-21,26058738,2195214172,84.4,84.6,83.5,84.5,0.5,10890
2016-03-22,23500975,1973276015,84.5,84.5,83.5,84.3,-0.2,7129
2016-03-23,21765794,1829663476,84.0,84.5,83.6,84.2,-0.1,6753
2016-03-24,22310548,1878607519,84.1,84.9,83.5,84.5,0.3,8787
2016-03-25,9545967,802554299,84.8,84.8,83.8,83.8,-0.7,4658
2016-03-28,25892636,2193102455,84.7,85.0,84.3,84.5,0.7,10311
2016-03-29,25066364,2105335416,85.0,85.0,83.2,83.7,-0.8,10466
2016-03-31,82367366,7027003188,86.1,86.8,84.0,84.8,0.0,29575
2016-04-01,32984173,2754116470,84.1,84.6,83.0,83.0,-1.8,13665
2016-04-06,42845227,3499983755,83.2,83.2,81.2,81.2,-1.8,17634
2016-04-07,27719716,2248151825,81.0,81.9,80.3,81.5,0.3,11752
2016-04-08,19158544,1560952644,81.1,81.9,80.9,81.9,0.4,6839
2016-04-11,11172615,908969169,81.8,81.9,80.7,81.2,-0.7,5228
2016-04-12,15336442,1257932644,81.8,82.6,81.2,82.0,0.8,8689
2016-04-13,34118996,2844118702,82.3,83.8,82.3,83.7,1.7,12866
2016-04-14,23561652,1952127136,83.0,83.8,82.4,82.4,-1.3,9315
2016-04-15,18495433,1528138072,82.2,83.2,81.7,82.9,0.5,7862
2016-04-18,14088317,1167142576,83.2,83.2,82.5,82.6,-0.3,6180
2016-04-19,18744362,1537015121,82.8,83.3,81.2,81.5,-1.1,8284
2016-04-20,51459224,4124103890,81.1,82.4,79.2,79.2,-2.3,24792
2016-04-21,20871346,1671359076,79.8,80.5,79.5,80.3,1.1,10099
2016-04-22,17410609,1407072129,81.1,81.1,80.3,81.0,0.7,7229
2016-04-25,14003524,1128851414,81.1,81.4,80.2,80.3,-0.7,5789
2016-04-26,18296084,1473987563,80.0,81.2,80.0,80.2,-0.1,6294
2016-04-27,25054153,1996661601,79.9,80.2,79.3,79.5,-0.7,8560
2016-04-28,30085745,2383149655,80.0,80.2,78.6,78.6,-0.9,11396
2016-04-29,38516302,2976891928,77.1,77.7,77.1,77.1,-1.5,16551
2016-05-03,31440331,2390836097,77.0,77.1,75.6,75.6,-1.5,15383
2016-05-04,33607879,2536035474,75.6,76.4,74.9,75.7,0.1,15249
2016-05-05,24899964,1877594635,75.7,76.1,75.0,75.4,-0.3,10543
2016-05-06,46281315,3427558390,75.4,75.5,73.6,73.8,-1.6,19248
2016-05-09,38311047,2795465081,74.0,74.2,72.5,72.6,-1.2,17832
2016-05-10,29746734,2199602350,72.6,74.8,72.5,74.8,2.2,13395
2016-05-11,27889767,2067590923,74.8,75.5,73.4,74.0,-0.8,11971
2016-05-12,26316063,1930895356,73.9,74.1,73.0,73.3,-0.7,9697
2016-05-13,63339780,4706304000,75.0,75.4,73.5,74.4,1.1,27592
2016-05-16,26475300,1959623182,74.1,74.4,73.5,74.0,-0.4,13009
2016-05-17,29030680,2156356027,74.2,74.7,74.0,74.3,0.3,11869
2016-05-18,28906865,2142547277,74.3,74.5,73.5,74.4,0.1,10524
2016-05-19,25348906,1879143796,74.4,74.7,73.8,74.2,-0.2,9898
2016-05-20,24261731,1802007602,74.3,74.8,74.0,74.0,-0.2,8448
2016-05-23,52975328,4053551780,74.4,77.7,74.2,77.4,3.4,21593
2016-05-24,26754761,2053542542,77.3,77.4,76.4,76.4,-1.0,13366
2016-05-25,46903474,3687122354,77.5,79.7,77.4,78.4,2.0,20032
2016-05-26,18307909,1433864127,78.5,79.0,78.0,78.1,-0.3,8594
2016-05-27,20091932,1575252705,78.6,78.9,78.1,78.4,0.3,8528
2016-05-30,25266400,2003392511,79.0,79.9,78.5,79.5,1.1,11798
2016-05-31,66579085,5316736778,79.5,80.1,79.1,80.1,0.6,11613
2016-06-01,28491260,2294863500,79.6,81.0,79.6,80.6,0.5,13259
2016-06-02,29009876,2319181117,80.7,80.8,79.2,79.3,-1.3,11505
2016-06-03,17414792,1391439460,79.5,80.2,79.5,80.0,0.7,7527
2016-06-04,5532986,443138306,79.9,80.3,79.7,80.2,0.2,3447
2016-06-06,21625003,1738847529,79.8,81.4,79.6,80.2,0.0,9765
