SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity,Danger
4.4,0.47,32.2,31,24,3.46,20.84,2.309,0.231,2.078,1.91,24.86,77.11,0
6.4,0.52,30.2,32,32,5.64,26.3,2.186,0.227,1.959,1.72,26.58,71.93,0
3.2,0.45,30.5,46,20,2.36,18.05,0,0,0,2.08,24.75,76.33,1
5.2,0.47,32.5,38,24,3.18,20.64,2.374,0.225,2.15,1.66,24.97,79.97,1
4.5,0.72,29.9,32,29,5.43,23.82,2.29,0.287,2.004,1.03,26.18,73.78,0
3.7,0.48,35.3,30,21,2.2,18.95,2.202,0.179,2.023,2.08,24.58,79.22,0
4.8,0.63,30.4,34,31,5.94,25.24,2.233,0.228,2.005,1.78,25.64,72.95,0
2.9,0.56,33.1,35,26,2.96,23.17,2.287,0.252,2.035,1.55,25.85,70.83,0
3,0.45,31.2,40,22,3.81,17.81,2.188,0.213,1.975,1.89,24.49,77.84,1
1.8,0.35,33.1,24,10,1.54,8.22,0,0,0,0.96,25.25,76.11,0
5,0.4,41,38,18,1.9,16.16,2.201,0.103,2.098,2.11,25.53,76.27,1
3.7,0.51,34.6,35,21,3.36,17.43,2.197,0.171,2.027,2.16,24.77,77.4,0
4.5,0.44,47.1,28,20,1.61,18.52,2.235,0.201,2.034,1.97,26.14,73.2,0
5,0.44,43.7,35,18,1.76,16.17,2.353,0.176,2.177,1.52,26.17,78.2,0
4.1,0.38,53.8,29,12,0.85,11.24,2.184,0.094,2.09,2.22,26.63,74.09,0
3.8,0.53,45,30,20,1.61,18.72,2.239,0.224,2.015,1.73,27.35,66.75,0
6.7,0.47,43.7,29,25,3.49,21.17,2.155,0.186,1.969,1.82,27.8,67.62,0
1.9,0.34,43.3,24,8,0.98,6.81,0,0,0,1.02,26.31,75.42,0
5,0.64,43.7,29,24,3.06,20.79,2.252,0.242,2.011,0.96,27.13,70.88,0
5.1,0.57,44.3,29,26,3.37,22.28,2.237,0.195,2.042,1.65,27.01,69.31,0
3.4,0.46,49.6,32,16,1.8,13.78,2.129,0.136,1.993,2.27,26.18,72.71,0
3.1,0.43,45.8,38,18,2.62,15.32,2.143,0.16,1.983,1.91,25.93,73.62,1
3.8,0.45,48.8,30,17,1.55,15.24,2.118,0.142,1.976,2.11,26.02,73.8,0
3.4,0.42,44.1,40,16,1.21,14.94,0,0,0,2.32,26.26,73.87,1
7.1,0.35,27,15,21,4.31,16.27,2.008,0.153,1.855,1.85,30.02,76.86,0
3.3,0.23,34.2,16,8,0.94,6.92,2.023,0.057,1.966,2.39,28.66,78.67,0
3,0.34,32.8,19,13,2.24,10.38,1.959,0.098,1.861,2.28,28.73,77.16,0
4.3,0.5,27.8,15,19,4.07,15.36,2.076,0.194,1.882,0.99,29.57,73.88,0
3,0.42,30.7,16,15,1.94,13.06,2.049,0.16,1.889,1.77,29.59,72.16,0
2.3,0.29,28.9,23,12,1.58,9.92,0,0,0,2.29,29.37,77.92,0
4.2,0.31,28.4,20,14,2.19,11.41,2.239,0.143,2.096,1.47,28.42,82.69,0
1.4,0.22,29.2,11,5,1.22,3.75,0,0,0,1.05,28.47,78.8,0
2.9,0.31,31.1,16,13,1.69,11.19,1.962,0.112,1.851,2.23,28.72,77.7,0
3.4,0.31,32.6,16,14,2.14,11.97,2.081,0.131,1.949,1.9,28.6,77.66,0
4.5,0.46,27.6,14,21,4.61,16.46,2.069,0.15,1.919,1.51,29.28,74.43,0
2.4,0.3,31.1,22,14,2.99,11.19,2.014,0.152,1.862,1.78,28.62,77.18,0
1.2,0.17,23.7,3,4,1.04,2.65,0,0,0,1.26,27.19,84.66,0
2.6,0.4,22.7,7,15,2.64,11.87,2.041,0.154,1.887,1.69,28.83,81.91,0
2.2,0.17,28.8,10,5,0.81,4.53,1.911,0.031,1.88,2.54,27.96,84.1,0
3.7,0.25,22.8,12,11,2.5,8.68,2.133,0.111,2.023,1.79,28.25,84.77,0
3.1,0.29,25.1,8,13,2.52,10.44,2.032,0.117,1.915,1.78,27.68,84.84,0
2.4,0.26,21.7,0,12,2.17,9.94,0,0,0,2.36,28.08,86.25,0
2.9,0.35,21.3,9,16,3.32,12.64,1.981,0.136,1.845,2.1,27.92,84.66,0
2.6,0.29,21.2,12,17,5.12,12.2,2.009,0.18,1.829,1.64,27.35,84.45,0
3.3,0.36,22.6,9,17,4.04,12.65,1.985,0.135,1.851,1.98,28.18,84.48,0
3.9,0.5,18.5,6,24,7.73,15.93,2.06,0.165,1.896,1.29,28.14,83.21,0
3.9,0.45,20.3,8,19,4.85,14.04,2.052,0.182,1.87,1.03,27.95,83.14,0
7.6,0.37,19.6,8,23,7.25,15.34,1.973,0.143,1.83,1.98,28.93,88.22,0
2.7,0.34,22.8,10,13,2.13,11.22,1.984,0.137,1.848,1.78,29.78,74.37,0
2.9,0.18,23.5,12,8,1.21,6.5,1.964,0.064,1.901,2.31,28.92,80.03,0
5.2,0.26,19.8,15,14,2.72,11.16,2.168,0.144,2.024,1.59,29.03,80.68,0
3.2,0.23,25.2,11,12,2.04,9.82,2.008,0.116,1.892,1.71,28.72,80.02,0
2.4,0.22,20.9,4,11,1.87,8.64,0,0,0,2.43,29.3,81.38,0
6,0.27,19,9,18,4.85,13.39,1.919,0.13,1.789,2.02,30.08,80.73,0
2,0.29,21.2,11,14,2.7,10.95,1.903,0.117,1.786,1.97,29.06,79.47,0
2.2,0.24,23.2,14,14,3.59,10,1.922,0.139,1.783,1.73,28.56,79.29,0
2.9,0.32,22.4,11,14,3.64,10.8,1.893,0.119,1.774,2.1,29.32,79.31,0
4.1,0.35,19.5,8,19,5.38,13.98,1.959,0.127,1.833,1.5,29.58,76.51,0
4.1,0.44,19.3,8,18,4.61,13.73,1.99,0.179,1.811,0.99,29.12,77.67,0
1.2,0.15,22.9,5,4,1.15,3.25,0,0,0,1.19,28.35,80.74,0
3.1,0.38,25.2,12,15,2.45,12.08,2.04,0.136,1.903,1.84,29.95,73.85,0
2.9,0.19,32.7,13,7,1.04,5.81,1.986,0.036,1.95,2.57,29.19,78.6,0
3.3,0.23,25.8,14,11,2.02,9.43,2.119,0.095,2.024,1.91,29.41,78.24,0
3.6,0.28,30,13,13,2.11,10.38,2.032,0.115,1.917,2.04,28.82,79.06,0
2.9,0.26,24.5,9,12,2,10,0,0,0,2.67,29.33,79.84,0
7.9,0.33,24.7,11,20,5.56,14.38,1.935,0.137,1.798,2.11,30.16,79.42,0
2.2,0.3,28.2,12,13,2.2,10.91,1.924,0.103,1.82,2.28,29.01,79.59,0
2.8,0.29,27.6,12,16,3.83,12.05,1.99,0.158,1.832,1.93,29.2,76.25,0
3.5,0.3,28.3,12,13,2.84,10.62,1.91,0.105,1.805,2.16,29.31,79.86,0
5.2,0.3,26.1,8,17,2.95,13.85,1.969,0.12,1.849,1.8,29.31,77.39,0
4.9,0.41,25.5,9,18,3.85,13.82,1.981,0.159,1.822,0.98,29.28,77.45,0
1.5,0.2,26.7,7,5,1.02,3.66,0,0,0,1.33,28.33,79.66,0
3.8,0.38,23.9,15,16,3.11,12.66,2.043,0.126,1.917,1.78,30.26,66.68,0
2.9,0.17,30.1,13,6,1.01,5.1,1.961,0.022,1.939,2.26,28.99,74.75,0
3.6,0.24,22.3,19,13,2.64,10.71,2.227,0.085,2.142,1.77,29.34,73.11,0
3.8,0.25,27.5,15,12,2.2,10.24,1.947,0.096,1.852,2,28.98,73.24,0
3,0.25,22.6,12,11,2.15,9.19,0,0,0,2.58,29.5,73.83,0
9.4,0.23,22.9,11,18,4.3,13.59,1.89,0.111,1.779,2.02,29.72,71.93,0
3,0.23,27.4,13,10,1.49,8.41,1.87,0.062,1.808,2.24,29.02,74.82,0
3,0.28,26.7,12,14,4.05,10.26,1.979,0.138,1.841,1.99,29.1,71.24,0
3.5,0.22,27.7,13,10,2.04,8.07,1.836,0.052,1.784,2.3,29.06,75.59,0
5.7,0.23,24.1,8,15,2.6,12.49,1.967,0.084,1.883,1.66,29.34,72.57,0
5.4,0.31,24.3,13,15,3.02,12.06,1.911,0.113,1.798,0.94,29.11,72.23,0
2.1,0.21,28.4,12,7,0.89,5.71,0,0,0,1.3,29.21,71.23,0
4,0.46,35.2,24,17,2.3,14.83,2.114,0.151,1.963,1.74,27.11,63.27,0
4,0.29,43,21,10,0.96,9.23,2.061,0.053,2.008,2.37,26.17,71.39,0
4,0.35,34.8,27,16,2.08,14.16,2.283,0.119,2.165,1.78,26.38,70.81,0
3.8,0.35,40.1,25,15,1.86,13.41,2.027,0.127,1.9,1.95,25.89,69.29,0
3.2,0.35,33.4,24,14,1.64,12.09,0,0,0,2.48,26.21,70.6,0
7.1,0.34,35.9,21,20,2.8,17.43,1.982,0.129,1.853,2.05,26.63,66.87,0
3.5,0.33,42.3,22,13,1.23,11.74,2.003,0.093,1.91,2.4,25.91,70.49,0
3.1,0.36,39.7,28,16,3.4,12.45,2.076,0.155,1.921,2.08,25.72,68.06,0
3.2,0.35,43,23,13,2.02,10.98,1.941,0.088,1.852,2.37,25.87,70.89,0
4.6,0.38,33.5,24,18,1.78,15.97,2.069,0.108,1.962,1.68,26.43,68.04,0
4.5,0.45,36.9,22,19,3.16,16.07,2.046,0.162,1.884,0.99,26.2,68.1,0
2.1,0.3,37.7,20,8,0.93,6.82,0,0,0,1.25,26.12,69.67,0
3.9,0.54,31.6,33,21,2.67,18.78,2.227,0.192,2.035,1.74,24.21,61.94,0
4.7,0.39,42.2,25,17,1.91,15.07,2.249,0.117,2.131,2.44,23.44,70.23,0
5.4,0.44,35.6,35,22,2.66,19.33,2.411,0.179,2.232,1.8,24.17,68.75,0
3.7,0.42,39.5,35,21,2.87,18.23,2.175,0.172,2.003,1.89,22.9,68.07,0

