holiday,ds,lower_window,upper_window
short,2016-01-01,0,2
long,2016-02-07,0,6
short,2016-04-04,0,2
short,2016-05-01,0,2
short,2016-06-09,0,2
short,2016-09-15,0,2
long,2016-10-01,0,6
short,2017-01-01,0,2
long,2017-01-27,0,6
short,2017-04-04,0,2
short,2017-05-01,0,2
short,2017-05-28,0,2
long,2017-10-01,0,7
short,2017-10-08,0,2
short,2018-01-01,0,2
long,2018-02-15,0,6
short,2018-04-05,0,2
short,2018-05-01,0,2
short,2018-06-16,0,2
short,2018-9-22,0,2
long,2018-10-01,0,6
short,2019-01-01,0,1
long,2019-02-04,0,6
short,2019-04-05,0,1
short,2019-05-01,0,2
short,2019-06-07,0,1
