PassengerId,Name,PClass,Age,Sex,Survived,SexCode,Title
1,"Allen, Miss Elisabeth Walton",1.0,29.0,female,1,1,Miss
2,"Allison, Miss Helen Loraine",1.0,2.0,female,0,1,Miss
3,"Allison, Mr Hudson Joshua Creighton",1.0,30.0,male,0,0,Mr
4,"Allison, Mrs Hudson JC (Bessie Waldo Daniels)",1.0,25.0,female,0,1,Mrs
5,"Allison, Master Hudson Trevor",1.0,0.92,male,1,0,Mr
6,"Anderson, Mr Harry",1.0,47.0,male,1,0,Mr
7,"Andrews, Miss Kornelia Theodosia",1.0,63.0,female,1,1,Miss
8,"Andrews, Mr Thomas, jr",1.0,39.0,male,0,0,Mr
9,"Appleton, Mrs Edward Dale (Charlotte Lamson)",1.0,58.0,female,1,1,Mrs
10,"Artagaveytia, Mr Ramon",1.0,71.0,male,0,0,Mr
11,"Astor, Colonel John Jacob",1.0,47.0,male,0,0,Mr
12,"Astor, Mrs John Jacob (Madeleine Talmadge Force)",1.0,19.0,female,1,1,Mrs
13,"Aubert, Mrs Leontine Pauline",1.0,30.397989417989415,female,1,1,Mrs
14,"Barkworth, Mr Algernon H",1.0,30.397989417989415,male,1,0,Mr
15,"Baumann, Mr John D",1.0,30.397989417989415,male,0,0,Mr
16,"Baxter, Mrs James (Helene DeLaudeniere Chaput)",1.0,50.0,female,1,1,Mrs
17,"Baxter, Mr Quigg Edmond",1.0,24.0,male,0,0,Mr
18,"Beattie, Mr Thomson",1.0,36.0,male,0,0,Mr
19,"Beckwith, Mr Richard Leonard",1.0,37.0,male,1,0,Mr
20,"Beckwith, Mrs Richard Leonard (Sallie Monypeny)",1.0,47.0,female,1,1,Mrs
21,"Behr, Mr Karl Howell",1.0,26.0,male,1,0,Mr
22,"Birnbaum, Mr Jakob",1.0,25.0,male,0,0,Mr
23,"Bishop, Mr Dickinson H",1.0,25.0,male,1,0,Mr
24,"Bishop, Mrs Dickinson H (Helen Walton)",1.0,19.0,female,1,1,Mrs
25,"Bjornstrm-Steffansson, Mr Mauritz Hakan",1.0,28.0,male,1,0,Mr
26,"Blackwell, Mr Stephen Weart",1.0,45.0,male,0,0,Mr
27,"Blank, Mr Henry",1.0,39.0,male,1,0,Mr
28,"Bonnell, Miss Caroline",1.0,30.0,female,1,1,Miss
29,"Bonnell, Miss Elizabeth",1.0,58.0,female,1,1,Miss
30,"Borebank, Mr John James",1.0,30.397989417989415,male,0,0,Mr
31,"Bowen, Miss Grace Scott",1.0,45.0,female,1,1,Miss
32,"Bowerman, Miss Elsie Edith",1.0,22.0,female,1,1,Miss
33,"Bradley, Mr George",1.0,30.397989417989415,male,1,0,Mr
34,"Brady, Mr John Bertram",1.0,41.0,male,0,0,Mr
35,"Brandeis, Mr Emil",1.0,48.0,male,0,0,Mr
36,"Brewe, Dr Arthur Jackson",1.0,30.397989417989415,male,0,0,Mr
37,"Brown, Mrs James Joseph (Margaret Molly"" Tobin)""",1.0,44.0,female,1,1,Mrs
38,"Brown, Mrs John Murray (Caroline Lane Lamson)",1.0,59.0,female,1,1,Mrs
39,"Bucknell, Mrs William Robert (Emma Eliza Ward)",1.0,60.0,female,1,1,Mrs
40,"Butt, Major Archibald Willingham",1.0,45.0,male,0,0,Mr
41,"Calderhead, Mr Edward P",1.0,30.397989417989415,male,1,0,Mr
42,"Candee, Mrs Edward (Helen Churchill Hungerford)",1.0,53.0,female,1,1,Mrs
43,"Cardeza, Mrs James Warburton Martinez (Charlotte Wardle Drake)",1.0,58.0,female,1,1,Mrs
44,"Cardeza, Mr Thomas Drake Martinez",1.0,36.0,male,1,0,Mr
45,"Carlsson, Mr Frans Olof",1.0,33.0,male,0,0,Mr
46,"Carrau, Mr Francisco M",1.0,30.397989417989415,male,0,0,Mr
47,"Carrau, Mr Jose Pedro",1.0,30.397989417989415,male,0,0,Mr
48,"Carter, Mr William Ernest",1.0,36.0,male,1,0,Mr
49,"Carter, Mrs William Ernest (Lucile Polk)",1.0,36.0,female,1,1,Mrs
50,"Carter, Miss Lucile Polk",1.0,14.0,female,1,1,Miss
51,"Carter, Master William T II",1.0,11.0,male,1,0,Mr
52,"Case, Mr Howard Brown",1.0,49.0,male,0,0,Mr
53,"Cassebeer, Mrs Henry Arthur jr (Genevieve Fosdick)",1.0,30.397989417989415,female,1,1,Mrs
54,"Cavendish, Mr Tyrell William",1.0,36.0,male,0,0,Mr
55,"Cavendish, Mrs Tyrell William Julia Florence Siegel",1.0,30.397989417989415,female,1,1,Mrs
56,"Chaffee, Mr Herbert Fuller",1.0,46.0,male,0,0,Mr
57,"Chaffee, Mrs Herbert Fuller (Carrie Constance Toogood)",1.0,47.0,female,1,1,Mrs
58,"Chambers, Mr Norman Campbell",1.0,27.0,male,1,0,Mr
59,"Chambers, Mrs Norman Campbell (Bertha Griggs)",1.0,31.0,female,1,1,Mrs
60,"Cherry, Miss Gladys",1.0,30.397989417989415,female,1,1,Miss
61,"Chevre, Mr Paul",1.0,30.397989417989415,male,1,0,Mr
62,"Chibnall (Bowerman), Mrs Edith Martha",1.0,30.397989417989415,female,1,1,Mrs
63,"Chisholm, Mr Roderick Robert",1.0,30.397989417989415,male,0,0,Mr
64,"Clark, Mr Walter Miller",1.0,27.0,male,0,0,Mr
65,"Clark, Mrs Walter Miller (Virginia McDowell)",1.0,26.0,female,1,1,Mrs
66,"Clifford, Mr George Quincy",1.0,30.397989417989415,male,0,0,Mr
67,"Colley, Mr Edward Pomeroy",1.0,30.397989417989415,male,0,0,Mr
68,"Compton, Mrs Alexander Taylor (Mary Eliza Ingersoll)",1.0,64.0,female,1,1,Mrs
69,"Compton, Mr Alexander Taylor, Jr",1.0,37.0,male,0,0,Mr
70,"Compton, Miss Sara Rebecca",1.0,39.0,female,1,1,Miss
71,"Cornell, Mrs Robert Clifford (Malvina Helen Lamson)",1.0,55.0,female,1,1,Mrs
72,"Crafton, Mr John Bertram",1.0,30.397989417989415,male,0,0,Mr
73,"Crosby, Captain Edward Gifford",1.0,70.0,male,0,0,Mr
74,"Crosby, Mrs Edward Gifford (Catherine Elizabeth Halstead)",1.0,69.0,female,1,1,Mrs
75,"Crosby, Miss Harriet R",1.0,36.0,female,1,1,Miss
76,"Cumings, Mr John Bradley",1.0,39.0,male,0,0,Mr
77,"Cumings, Mrs John Bradley (Florence Briggs Thayer)",1.0,38.0,female,1,1,Mrs
78,"Daly, Mr Peter Denis ",1.0,30.397989417989415,male,1,0,Mr
79,"Daniel, Mr Robert Williams",1.0,27.0,male,1,0,Mr
