編號,相機序號,進站時間,存圖路徑,CCD檢測結果,出站時間
1,N2201001A0001,2022/11/07 15:59:01,20221107_160110_N2201001A0001_1.bmp,OK,2022/11/07 16:01:20
2,N2201001A0002,2022/11/07 16:02:06,20221107_160345_N2201001A0002_1.bmp,OK,2022/11/07 16:03:55
3,N2201001A0003,2022/11/07 16:04:12,20221107_160622_N2201001A0003_1.bmp,OK,2022/11/07 16:06:32
4,N2201001A0004,2022/11/07 16:08:19,20221107_160951_N2201001A0004_1.bmp,OK,2022/11/07 16:10:01
5,N2201001A0005,2022/11/07 16:10:28,20221107_161202_N2201001A0005_1.bmp,OK,2022/11/07 16:12:12
6,N2201001A0006,2022/11/07 16:15:21,20221107_161603_N2201001A0006_1.bmp,OK,2022/11/07 16:16:13
7,N2201001A0007,2022/11/07 16:17:28,20221107_161857_N2201001A0007_1.bmp,OK,2022/11/07 16:19:07
8,N2201001A0008,2022/11/07 16:22:31,20221107_162410_N2201001A0008_1.bmp,OK,2022/11/07 16:24:20
9,N2201001A0009,2022/11/07 16:22:31,20221107_162410_N2201001A0009_1.bmp,OK,2022/11/07 16:24:20
10,N2201001A0010,2022/11/07 16:22:31,20221107_162410_N2201001A0010_1.bmp,OK,2022/11/07 16:24:20
11,N2201001A0011,2022/11/07 16:22:31,20221107_162410_N2201001A0011_1.bmp,OK,2022/11/07 16:24:20
12,N2201001A0012,2022/11/07 16:22:31,20221107_162410_N2201001A0012_1.bmp,OK,2022/11/07 16:24:20
13,N2201001A0013,2022/11/07 16:22:31,20221107_162410_N2201001A0013_1.bmp,NG,2022/11/07 16:24:20
14,N2201001A0014,2022/11/07 16:22:31,20221107_162410_N2201001A0014_1.bmp,OK,2022/11/07 16:24:20
15,N2201001A0015,2022/11/07 16:22:31,20221107_162410_N2201001A0015_1.bmp,OK,2022/11/07 16:24:20
16,N2201001A0016,2022/11/07 16:22:31,20221107_162410_N2201001A0016_1.bmp,OK,2022/11/07 16:24:20
17,N2201001A0017,2022/11/07 16:22:31,20221107_162410_N2201001A0017_1.bmp,OK,2022/11/07 16:24:20
18,N2201001A0018,2022/11/07 16:22:31,20221107_162410_N2201001A0018_1.bmp,OK,2022/11/07 16:24:20
19,N2201001A0019,2022/11/07 16:22:31,20221107_162410_N2201001A0019_1.bmp,OK,2022/11/07 16:24:20
20,N2201001A0020,2022/11/07 16:22:31,20221107_162410_N2201001A0020_1.bmp,OK,2022/11/07 16:24:20
