編號,相機序號,燒錄時間,燒錄失敗原因
1,N2201001A0001,2022/02/25 10:24:40,OK
2,N2201001A0002,2022/02/25 10:27:51,OK
3,N2201001A0003,2022/02/25 10:28:38,OK
4,N2201001A0006,2022/02/25 10:30:49,相機無法讀寫
5,N2201001A0007,2022/02/25 10:39:03,OK
6,N2201001A0008,2022/02/25 10:29:10,OK
7,N2201001A0010,2022/02/25 10:39:03,OK
8,N2201001A0012,2022/02/25 10:27:51,OK
9,N2201001A0014,2022/02/25 10:29:10,OK
10,N2201001A0016,2022/02/25 10:30:49,OK
11,N2201001A0017,2022/02/25 10:39:03,OK
12,N2201001A0018,2022/02/25 10:29:10,OK
13,N2201001A0020,2022/02/25 10:39:03,OK
