編號,相機序號,進站時間,點膠參數,點膠設定檔,點膠結果,存圖路徑,出站時間
1,N2201001A0001,2022/11/07 15:59:01,50-2,ims1229a.svr,OK,20200615_114434_N2201001A0001_2.bmp,2022/11/07 16:01:20
2,N2201001A0002,2022/11/07 16:02:06,50-2,ims1229a.svr,OK,20200615_114434_N2201001A0002_2.bmp,2022/11/07 16:03:55
3,N2201001A0003,2022/11/07 16:04:12,50-2,ims1229a.svr,OK,20200615_114434_N2201001A0003_2.bmp,2022/11/07 16:06:32
4,N2201001A0004,2022/11/07 16:08:19,50-2,ims1229a.svr,NG,20200615_114434_N2201001A0004_2.bmp,2022/11/07 16:10:01
5,N2201001A0005,2022/11/07 16:10:28,50-2,ims1229a.svr,OK,20200615_114434_N2201001A0005_2.bmp,2022/11/07 16:12:12
6,N2201001A0006,2022/11/07 16:15:21,50-2,ims1229a.svr,OK,20200615_114434_N2201001A0006_2.bmp,2022/11/07 16:16:13
7,N2201001A0007,2022/11/07 16:17:28,50-2,ims1229a.svr,OK,20200615_114434_N2201001A0007_2.bmp,2022/11/07 16:19:07
8,N2201001A0008,2022/11/07 16:22:31,50-2,ims1229a.svr,OK,20200615_114434_N2201001A0008_2.bmp,2022/11/07 16:24:20
9,N2201001A0009,2022/11/07 16:22:31,50-2,ims1229a.svr,OK,20200615_114434_N2201001A0009_2.bmp,2022/11/07 16:24:20
10,N2201001A0010,2022/11/07 16:22:31,50-2,ims1229a.svr,OK,20200615_114434_N2201001A0010_2.bmp,2022/11/07 16:24:20
11,N2201001A0011,2022/11/07 15:59:01,50-2,ims1229a.svr,OK,20200615_114434_N2201001A0011_2.bmp,2022/11/07 16:01:20
12,N2201001A0012,2022/11/07 16:02:06,50-2,ims1229a.svr,OK,20200615_114434_N2201001A0012_2.bmp,2022/11/07 16:03:55
13,N2201001A0013,2022/11/07 16:04:12,50-2,ims1229a.svr,OK,20200615_114434_N2201001A0013_2.bmp,2022/11/07 16:06:32
14,N2201001A0014,2022/11/07 16:08:19,50-2,ims1229a.svr,OK,20200615_114434_N2201001A0014_2.bmp,2022/11/07 16:10:01
15,N2201001A0015,2022/11/07 16:10:28,50-2,ims1229a.svr,OK,20200615_114434_N2201001A0015_2.bmp,2022/11/07 16:12:12
16,N2201001A0016,2022/11/07 16:15:21,50-2,ims1229a.svr,OK,20200615_114434_N2201001A0016_2.bmp,2022/11/07 16:16:13
17,N2201001A0017,2022/11/07 16:17:28,50-2,ims1229a.svr,OK,20200615_114434_N2201001A0017_2.bmp,2022/11/07 16:19:07
18,N2201001A0018,2022/11/07 16:22:31,50-2,ims1229a.svr,OK,20200615_114434_N2201001A0018_2.bmp,2022/11/07 16:24:20
19,N2201001A0019,2022/11/07 16:22:31,50-2,ims1229a.svr,OK,20200615_114434_N2201001A0019_2.bmp,2022/11/07 16:24:20
20,N2201001A0020,2022/11/07 16:22:31,50-2,ims1229a.svr,OK,20200615_114434_N2201001A0020_2.bmp,2022/11/07 16:24:20
