編號,相機序號,UV能量值,進站時間,出站時間
1,N2201001A0001,5.54,2022/11/07 15:59:01,2022/11/07 16:01:20
2,N2201001A0002,6.34,2022/11/07 16:02:06,2022/11/07 16:03:55
3,N2201001A0003,4.58,2022/11/07 16:04:12,2022/11/07 16:06:32
4,N2201001A0005,4.15,2022/11/07 16:10:28,2022/11/07 16:12:12
5,N2201001A0006,6.25,2022/11/07 16:15:21,2022/11/07 16:16:13
6,N2201001A0007,4.38,2022/11/07 16:17:28,2022/11/07 16:19:07
7,N2201001A0008,5.33,2022/11/07 16:22:31,2022/11/07 16:24:20
8,N2201001A0009,5.33,2022/11/07 16:22:31,2022/11/07 16:24:20
9,N2201001A0010,5.33,2022/11/07 16:22:31,2022/11/07 16:24:20
10,N2201001A0011,5.54,2022/11/07 15:59:01,2022/11/07 16:01:20
11,N2201001A0012,6.34,2022/11/07 16:02:06,2022/11/07 16:03:55
12,N2201001A0014,3.11,2022/11/07 16:08:19,2022/11/07 16:10:01
13,N2201001A0015,4.15,2022/11/07 16:10:28,2022/11/07 16:12:12
14,N2201001A0016,6.25,2022/11/07 16:15:21,2022/11/07 16:16:13
15,N2201001A0017,4.38,2022/11/07 16:17:28,2022/11/07 16:19:07
16,N2201001A0018,5.33,2022/11/07 16:22:31,2022/11/07 16:24:20
17,N2201001A0020,5.33,2022/11/07 16:22:31,2022/11/07 16:24:20



